카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년11월_계_총인구수,"386,573","113,432","46,929","23,280","9,588","15,817","1,497","2,511","26,064","22,192","18,396","39,276","33,603","33,988"
2021년11월_계_연령구간인구수,"386,573","113,432","46,929","23,280","9,588","15,817","1,497","2,511","26,064","22,192","18,396","39,276","33,603","33,988"
2021년11월_계_0~9세,"33,292","10,737","3,597","1,339",435,"1,033",27,141,"2,065","1,538","1,890","2,871","2,501","5,118"
2021년11월_계_10~19세,"34,078","8,994","4,824","1,784",629,"1,276",62,176,"2,256","2,025","1,607","3,593","2,679","4,173"
2021년11월_계_20~29세,"44,945","13,227","5,573","2,854","1,013","1,227",107,173,"3,498","2,768","2,312","5,032","4,254","2,907"
2021년11월_계_30~39세,"55,678","19,118","6,174","2,749","1,021","1,460",99,208,"3,753","2,889","2,808","5,055","4,635","5,709"
2021년11월_계_40~49세,"67,685","20,631","8,182","3,516","1,314","2,530",134,329,"4,269","3,693","3,212","6,797","5,666","7,412"
2021년11월_계_50~59세,"65,143","17,752","8,184","4,602","1,912","2,704",259,456,"4,500","4,037","3,091","7,426","6,057","4,163"
2021년11월_계_60~69세,"52,373","14,049","6,282","3,797","1,890","3,140",422,541,"3,458","3,245","2,240","5,501","5,000","2,808"
2021년11월_계_70~79세,"22,847","6,201","2,741","1,661",860,"1,662",223,288,"1,540","1,407",892,"2,138","2,005","1,229"
2021년11월_계_80~89세,"9,177","2,359","1,211",859,440,670,139,169,640,510,297,775,702,406
2021년11월_계_90~99세,"1,306",352,155,116,70,111,25,28,84,77,43,83,101,61
2021년11월_계_100세 이상,49,12,6,3,4,4,0,2,1,3,4,5,3,2
2021년11월_남_총인구수,"197,285","57,279","24,372","12,370","5,268","8,040",789,"1,322","13,441","11,171","9,178","19,947","17,270","16,838"
2021년11월_남_연령구간인구수,"197,285","57,279","24,372","12,370","5,268","8,040",789,"1,322","13,441","11,171","9,178","19,947","17,270","16,838"
2021년11월_남_0~9세,"17,043","5,537","1,886",690,223,516,16,71,"1,081",747,973,"1,433","1,304","2,566"
2021년11월_남_10~19세,"17,385","4,605","2,441",947,333,689,31,95,"1,157",972,778,"1,810","1,399","2,128"
2021년11월_남_20~29세,"23,908","6,935","2,948","1,570",585,667,58,92,"1,897","1,484","1,196","2,688","2,280","1,508"
2021년11월_남_30~39세,"28,883","9,865","3,248","1,514",594,769,55,98,"1,992","1,543","1,420","2,716","2,407","2,662"
2021년11월_남_40~49세,"35,756","11,034","4,338","1,911",784,"1,366",74,185,"2,237","1,908","1,649","3,481","3,045","3,744"
2021년11월_남_50~59세,"33,322","8,651","4,417","2,540","1,077","1,396",151,257,"2,387","2,045","1,492","3,710","3,067","2,132"
2021년11월_남_60~69세,"26,138","6,760","3,282","2,025","1,041","1,519",229,295,"1,746","1,602","1,112","2,741","2,480","1,306"
2021년11월_남_70~79세,"11,044","2,911","1,325",825,453,823,109,146,707,674,416,"1,048",996,611
2021년11월_남_80~89세,"3,523",899,456,320,161,265,59,76,230,179,133,298,275,172
2021년11월_남_90~99세,273,78,29,28,16,28,7,6,7,17,9,22,17,9
2021년11월_남_100세 이상,10,4,2,0,1,2,0,1,0,0,0,0,0,0
2021년11월_여_총인구수,"189,288","56,153","22,557","10,910","4,320","7,777",708,"1,189","12,623","11,021","9,218","19,329","16,333","17,150"
2021년11월_여_연령구간인구수,"189,288","56,153","22,557","10,910","4,320","7,777",708,"1,189","12,623","11,021","9,218","19,329","16,333","17,150"
2021년11월_여_0~9세,"16,249","5,200","1,711",649,212,517,11,70,984,791,917,"1,438","1,197","2,552"
2021년11월_여_10~19세,"16,693","4,389","2,383",837,296,587,31,81,"1,099","1,053",829,"1,783","1,280","2,045"
2021년11월_여_20~29세,"21,037","6,292","2,625","1,284",428,560,49,81,"1,601","1,284","1,116","2,344","1,974","1,399"
2021년11월_여_30~39세,"26,795","9,253","2,926","1,235",427,691,44,110,"1,761","1,346","1,388","2,339","2,228","3,047"
2021년11월_여_40~49세,"31,929","9,597","3,844","1,605",530,"1,164",60,144,"2,032","1,785","1,563","3,316","2,621","3,668"
2021년11월_여_50~59세,"31,821","9,101","3,767","2,062",835,"1,308",108,199,"2,113","1,992","1,599","3,716","2,990","2,031"
2021년11월_여_60~69세,"26,235","7,289","3,000","1,772",849,"1,621",193,246,"1,712","1,643","1,128","2,760","2,520","1,502"
2021년11월_여_70~79세,"11,803","3,290","1,416",836,407,839,114,142,833,733,476,"1,090","1,009",618
2021년11월_여_80~89세,"5,654","1,460",755,539,279,405,80,93,410,331,164,477,427,234
2021년11월_여_90~99세,"1,033",274,126,88,54,83,18,22,77,60,34,61,84,52
2021년11월_여_100세 이상,39,8,4,3,3,2,0,1,1,3,4,5,3,2
