,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년03월_계_총인구수,"540,863","55,730","18,251","6,500","7,471","3,815","3,139","6,013","9,743","9,213","9,921","73,735","80,531","9,559","40,264","33,284","7,677","56,951","36,351","72,715"
2021년03월_계_연령구간인구수,"540,863","55,730","18,251","6,500","7,471","3,815","3,139","6,013","9,743","9,213","9,921","73,735","80,531","9,559","40,264","33,284","7,677","56,951","36,351","72,715"
2021년03월_계_0~9세,"48,368","6,395","2,799",221,186,86,78,164,555,607,577,"4,700","7,240",546,"2,522","1,526",511,"5,287","3,571","10,797"
2021년03월_계_10~19세,"60,774","6,074","1,261",312,308,119,138,211,670,561,630,"7,566","10,431",732,"3,823","3,049",747,"8,038","5,145","10,959"
2021년03월_계_20~29세,"68,649","5,351","2,136",598,608,307,261,420,"1,323","1,065","1,425","12,259","10,909","1,239","6,019","5,737","1,001","7,042","4,334","6,615"
2021년03월_계_30~39세,"68,505","8,667","4,004",530,570,254,220,406,"1,224","1,207","1,207","8,373","9,395",967,"4,315","2,929",779,"6,887","4,490","12,081"
2021년03월_계_40~49세,"97,838","10,885","2,965",786,694,349,325,560,"1,354","1,220","1,404","11,691","15,335","1,361","6,289","4,932","1,217","11,952","7,756","16,763"
2021년03월_계_50~59세,"97,199","8,311","2,735","1,445","1,571",821,714,"1,072","1,961","1,697","2,076","16,254","14,884","1,963","8,689","7,458","1,553","9,490","6,064","8,441"
2021년03월_계_60~69세,"59,908","6,065","1,552","1,399","1,837",961,818,"1,692","1,617","1,585","1,602","7,995","7,678","1,658","5,389","4,732","1,148","4,792","2,975","4,413"
2021년03월_계_70~79세,"26,494","2,641",488,747,"1,017",579,386,965,712,866,704,"3,172","3,160",743,"2,220","1,935",497,"2,331","1,412","1,919"
2021년03월_계_80~89세,"11,662","1,185",280,390,606,307,164,447,289,349,271,"1,556","1,325",320,899,896,196,"1,016",530,636
2021년03월_계_90~99세,"1,415",152,31,72,74,32,32,75,37,50,23,160,168,29,99,87,23,109,73,89
2021년03월_계_100세 이상,51,4,0,0,0,0,3,1,1,6,2,9,6,1,0,3,5,7,1,2
2021년03월_남_총인구수,"273,581","28,730","9,321","3,559","4,072","2,035","1,728","3,120","4,976","4,619","5,097","36,773","40,346","5,048","20,461","17,030","3,893","28,389","18,262","36,122"
2021년03월_남_연령구간인구수,"273,581","28,730","9,321","3,559","4,072","2,035","1,728","3,120","4,976","4,619","5,097","36,773","40,346","5,048","20,461","17,030","3,893","28,389","18,262","36,122"
2021년03월_남_0~9세,"24,653","3,289","1,413",124,102,55,46,79,285,320,309,"2,474","3,709",282,"1,304",772,266,"2,618","1,781","5,425"
2021년03월_남_10~19세,"31,587","3,169",649,172,183,62,73,117,322,296,329,"3,901","5,487",387,"2,008","1,602",373,"4,136","2,683","5,638"
2021년03월_남_20~29세,"37,447","2,971","1,076",384,392,188,157,263,736,593,781,"6,665","5,927",679,"3,253","3,221",546,"3,793","2,375","3,447"
2021년03월_남_30~39세,"35,288","4,487","2,050",291,367,155,142,245,691,623,669,"4,391","4,722",562,"2,349","1,637",422,"3,442","2,285","5,758"
2021년03월_남_40~49세,"48,670","5,861","1,555",496,448,216,209,325,695,641,742,"5,456","7,247",741,"3,164","2,458",606,"5,784","3,754","8,272"
2021년03월_남_50~59세,"49,861","4,310","1,380",833,912,455,398,573,"1,005",842,"1,031","7,957","7,590","1,068","4,370","3,728",781,"4,968","3,188","4,472"
2021년03월_남_60~69세,"30,601","3,021",876,764,"1,000",525,445,899,832,788,809,"4,210","3,915",886,"2,769","2,493",601,"2,296","1,432","2,040"
2021년03월_남_70~79세,"11,561","1,206",237,346,488,270,198,459,312,375,327,"1,260","1,319",332,957,824,220,989,581,861
2021년03월_남_80~89세,"3,640",388,79,140,172,103,52,146,91,131,99,424,399,109,264,276,69,336,170,192
2021년03월_남_90~99세,260,27,6,9,8,6,8,14,6,9,1,33,31,2,23,18,7,23,12,17
2021년03월_남_100세 이상,13,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,4,1,0
2021년03월_여_총인구수,"267,282","27,000","8,930","2,941","3,399","1,780","1,411","2,893","4,767","4,594","4,824","36,962","40,185","4,511","19,803","16,254","3,784","28,562","18,089","36,593"
2021년03월_여_연령구간인구수,"267,282","27,000","8,930","2,941","3,399","1,780","1,411","2,893","4,767","4,594","4,824","36,962","40,185","4,511","19,803","16,254","3,784","28,562","18,089","36,593"
2021년03월_여_0~9세,"23,715","3,106","1,386",97,84,31,32,85,270,287,268,"2,226","3,531",264,"1,218",754,245,"2,669","1,790","5,372"
2021년03월_여_10~19세,"29,187","2,905",612,140,125,57,65,94,348,265,301,"3,665","4,944",345,"1,815","1,447",374,"3,902","2,462","5,321"
2021년03월_여_20~29세,"31,202","2,380","1,060",214,216,119,104,157,587,472,644,"5,594","4,982",560,"2,766","2,516",455,"3,249","1,959","3,168"
2021년03월_여_30~39세,"33,217","4,180","1,954",239,203,99,78,161,533,584,538,"3,982","4,673",405,"1,966","1,292",357,"3,445","2,205","6,323"
2021년03월_여_40~49세,"49,168","5,024","1,410",290,246,133,116,235,659,579,662,"6,235","8,088",620,"3,125","2,474",611,"6,168","4,002","8,491"
2021년03월_여_50~59세,"47,338","4,001","1,355",612,659,366,316,499,956,855,"1,045","8,297","7,294",895,"4,319","3,730",772,"4,522","2,876","3,969"
2021년03월_여_60~69세,"29,307","3,044",676,635,837,436,373,793,785,797,793,"3,785","3,763",772,"2,620","2,239",547,"2,496","1,543","2,373"
2021년03월_여_70~79세,"14,933","1,435",251,401,529,309,188,506,400,491,377,"1,912","1,841",411,"1,263","1,111",277,"1,342",831,"1,058"
2021년03월_여_80~89세,"8,022",797,201,250,434,204,112,301,198,218,172,"1,132",926,211,635,620,127,680,360,444
2021년03월_여_90~99세,"1,155",125,25,63,66,26,24,61,31,41,22,127,137,27,76,69,16,86,61,72
2021년03월_여_100세 이상,38,3,0,0,0,0,3,1,0,5,2,7,6,1,0,2,3,3,0,2
