,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년03월_계_총인구수,"655,859","353,508","24,908","23,951","32,806","32,920","40,594","37,850","26,647","19,983","21,804","38,498","26,609","17,888","9,050","302,351","38,837","21,769","25,198","44,100","6,196","18,358","22,672","46,976","17,935","16,314","35,107","8,889"
2021년03월_계_연령구간인구수,"655,859","353,508","24,908","23,951","32,806","32,920","40,594","37,850","26,647","19,983","21,804","38,498","26,609","17,888","9,050","302,351","38,837","21,769","25,198","44,100","6,196","18,358","22,672","46,976","17,935","16,314","35,107","8,889"
2021년03월_계_0~9세,"43,822","23,338","1,691","1,067","1,737","2,457","4,475","2,626","1,516",933,"1,434","2,180","1,672","1,084",466,"20,484","2,568","1,122","1,573","3,424",285,"1,287","1,604","3,749","1,307",876,"2,378",311
2021년03월_계_10~19세,"63,489","34,278","2,434","1,550","2,830","3,598","5,116","3,928","2,767","1,706","2,076","3,715","2,513","1,280",765,"29,211","3,883","1,878","2,131","5,153",316,"1,771","2,479","4,714","1,435","1,538","3,542",371
2021년03월_계_20~29세,"107,137","58,908","3,815","4,396","6,015","5,307","6,924","5,986","4,398","3,526","3,457","7,109","4,669","2,193","1,113","48,229","6,042","4,125","5,241","7,513",468,"2,772","3,101","7,372","2,706","2,444","5,717",728
2021년03월_계_30~39세,"85,490","44,240","3,028","3,737","4,531","4,194","5,761","4,541","2,951","2,423","2,388","4,396","3,205","2,157",928,"41,250","5,053","3,153","3,869","5,561",626,"2,455","2,895","7,287","2,971","1,828","4,885",667
2021년03월_계_40~49세,"107,179","57,544","4,440","3,933","5,507","5,451","7,058","6,782","4,348","3,055","3,559","5,905","3,560","2,614","1,332","49,635","7,079","3,212","3,673","7,141",987,"2,793","4,021","8,135","2,753","2,787","6,088",966
2021년03월_계_50~59세,"127,722","69,157","4,674","4,508","6,294","6,363","6,740","7,353","5,419","4,223","4,660","8,191","5,621","3,260","1,851","58,565","7,534","4,101","4,508","8,896","1,597","3,682","4,340","8,210","3,331","3,622","6,817","1,927"
2021년03월_계_60~69세,"74,188","39,438","2,665","2,755","3,022","3,519","3,261","3,851","3,012","2,343","2,493","4,399","3,540","3,015","1,563","34,750","4,063","2,508","2,876","4,406","1,047","2,397","2,701","4,593","2,205","2,010","3,713","2,231"
2021년03월_계_70~79세,"29,898","16,859","1,432","1,322","1,538","1,287",839,"1,806","1,425","1,118","1,089","1,619","1,109","1,596",679,"13,039","1,687","1,090",860,"1,237",582,859,987,"1,851",782,791,"1,243","1,070"
