,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년01월_계_총인구수,"1,449,115","102,877","296,036","214,532","430,516","405,154"
2021년01월_계_연령구간인구수,"1,449,115","102,877","296,036","214,532","430,516","405,154"
2021년01월_계_0~9세,"118,800","7,153","21,523","17,219","33,347","39,558"
2021년01월_계_10~19세,"156,572","7,301","31,378","22,721","42,829","52,343"
2021년01월_계_20~29세,"209,152","14,850","45,332","27,943","62,360","58,667"
2021년01월_계_30~39세,"185,375","13,384","36,477","25,492","55,559","54,463"
2021년01월_계_40~49세,"240,490","13,960","48,614","34,066","67,434","76,416"
2021년01월_계_50~59세,"234,038","15,664","49,538","32,914","71,885","64,037"
2021년01월_계_60~69세,"164,625","14,809","34,503","28,176","53,606","33,531"
2021년01월_계_70~79세,"93,816","10,298","19,289","17,498","29,527","17,204"
2021년01월_계_80~89세,"39,892","4,736","8,076","7,277","12,107","7,696"
2021년01월_계_90~99세,"5,930",653,"1,231","1,133","1,740","1,173"
2021년01월_계_100세 이상,425,69,75,93,122,66
2021년01월_남_총인구수,"716,929","50,789","145,049","103,192","213,745","204,154"
2021년01월_남_연령구간인구수,"716,929","50,789","145,049","103,192","213,745","204,154"
2021년01월_남_0~9세,"61,027","3,702","11,179","8,831","17,014","20,301"
2021년01월_남_10~19세,"81,112","3,784","16,496","11,344","22,568","26,920"
2021년01월_남_20~29세,"109,299","7,612","23,245","14,355","32,900","31,187"
2021년01월_남_30~39세,"94,606","6,982","18,448","12,657","28,855","27,664"
2021년01월_남_40~49세,"119,313","7,270","23,385","16,765","33,830","38,063"
2021년01월_남_50~59세,"116,062","7,724","24,293","15,576","35,182","33,287"
2021년01월_남_60~69세,"78,515","6,988","16,229","12,940","25,534","16,824"
2021년01월_남_70~79세,"41,572","4,552","8,572","7,811","13,230","7,407"
2021년01월_남_80~89세,"14,099","1,975","2,924","2,653","4,269","2,278"
2021년01월_남_90~99세,"1,270",183,270,247,352,218
2021년01월_남_100세 이상,54,17,8,13,11,5
2021년01월_여_총인구수,"732,186","52,088","150,987","111,340","216,771","201,000"
2021년01월_여_연령구간인구수,"732,186","52,088","150,987","111,340","216,771","201,000"
2021년01월_여_0~9세,"57,773","3,451","10,344","8,388","16,333","19,257"
2021년01월_여_10~19세,"75,460","3,517","14,882","11,377","20,261","25,423"
2021년01월_여_20~29세,"99,853","7,238","22,087","13,588","29,460","27,480"
2021년01월_여_30~39세,"90,769","6,402","18,029","12,835","26,704","26,799"
2021년01월_여_40~49세,"121,177","6,690","25,229","17,301","33,604","38,353"
2021년01월_여_50~59세,"117,976","7,940","25,245","17,338","36,703","30,750"
2021년01월_여_60~69세,"86,110","7,821","18,274","15,236","28,072","16,707"
2021년01월_여_70~79세,"52,244","5,746","10,717","9,687","16,297","9,797"
2021년01월_여_80~89세,"25,793","2,761","5,152","4,624","7,838","5,418"
2021년01월_여_90~99세,"4,660",470,961,886,"1,388",955
2021년01월_여_100세 이상,371,52,67,80,111,61
