,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년11월_계_총인구수,"62,618","39,683",918,423,"1,750","1,041","1,778","3,198","2,844","1,417",952,"1,576","1,597","2,126","3,315"
2021년11월_계_연령구간인구수,"62,618","39,683",918,423,"1,750","1,041","1,778","3,198","2,844","1,417",952,"1,576","1,597","2,126","3,315"
2021년11월_계_0~9세,"3,276","2,715",18,9,25,25,38,117,80,29,16,29,29,50,96
2021년11월_계_10~19세,"5,528","4,559",36,16,59,22,42,258,116,60,34,65,56,55,150
2021년11월_계_20~29세,"6,652","5,162",56,11,110,48,96,255,202,72,59,76,114,139,252
2021년11월_계_30~39세,"4,678","3,559",39,14,79,36,77,189,169,48,39,62,58,111,198
2021년11월_계_40~49세,"7,924","6,086",104,37,114,56,125,328,258,94,67,102,107,159,287
2021년11월_계_50~59세,"11,404","7,298",155,70,295,186,309,510,532,252,198,283,295,385,636
2021년11월_계_60~69세,"10,173","4,998",199,91,399,233,401,713,653,325,218,370,332,496,745
2021년11월_계_70~79세,"7,283","3,251",187,106,326,194,325,479,428,275,171,328,322,380,511
2021년11월_계_80~89세,"4,974","1,800",111,62,301,214,312,307,343,238,131,227,241,298,389
2021년11월_계_90~99세,703,240,12,7,42,27,50,42,62,24,19,34,43,52,49
2021년11월_계_100세 이상,23,15,1,0,0,0,3,0,1,0,0,0,0,1,2
2021년11월_남_총인구수,"30,908","19,468",470,201,890,503,868,"1,578","1,419",720,490,784,756,"1,077","1,684"
2021년11월_남_연령구간인구수,"30,908","19,468",470,201,890,503,868,"1,578","1,419",720,490,784,756,"1,077","1,684"
2021년11월_남_0~9세,"1,661","1,377",7,2,13,12,22,57,34,17,7,19,14,30,50
2021년11월_남_10~19세,"2,880","2,372",21,12,34,9,22,117,68,35,15,29,26,32,88
2021년11월_남_20~29세,"3,596","2,754",33,6,57,27,51,155,113,42,37,48,66,76,131
2021년11월_남_30~39세,"2,408","1,779",21,8,44,20,44,108,100,28,20,33,38,63,102
2021년11월_남_40~49세,"4,043","2,922",68,21,76,44,73,181,154,56,43,67,58,108,172
2021년11월_남_50~59세,"6,186","3,771",97,47,188,111,192,287,304,154,114,176,162,223,360
2021년11월_남_60~69세,"5,364","2,480",102,43,235,142,224,372,351,185,127,208,194,279,422
2021년11월_남_70~79세,"3,098","1,360",86,42,147,75,150,201,199,108,77,133,123,161,236
2021년11월_남_80~89세,"1,509",598,35,19,86,57,80,92,80,88,41,64,70,90,109
2021년11월_남_90~99세,160,54,0,1,10,6,8,8,16,7,9,7,5,15,14
2021년11월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"31,710","20,215",448,222,860,538,910,"1,620","1,425",697,462,792,841,"1,049","1,631"
2021년11월_여_연령구간인구수,"31,710","20,215",448,222,860,538,910,"1,620","1,425",697,462,792,841,"1,049","1,631"
2021년11월_여_0~9세,"1,615","1,338",11,7,12,13,16,60,46,12,9,10,15,20,46
2021년11월_여_10~19세,"2,648","2,187",15,4,25,13,20,141,48,25,19,36,30,23,62
2021년11월_여_20~29세,"3,056","2,408",23,5,53,21,45,100,89,30,22,28,48,63,121
2021년11월_여_30~39세,"2,270","1,780",18,6,35,16,33,81,69,20,19,29,20,48,96
2021년11월_여_40~49세,"3,881","3,164",36,16,38,12,52,147,104,38,24,35,49,51,115
2021년11월_여_50~59세,"5,218","3,527",58,23,107,75,117,223,228,98,84,107,133,162,276
2021년11월_여_60~69세,"4,809","2,518",97,48,164,91,177,341,302,140,91,162,138,217,323
2021년11월_여_70~79세,"4,185","1,891",101,64,179,119,175,278,229,167,94,195,199,219,275
2021년11월_여_80~89세,"3,465","1,202",76,43,215,157,232,215,263,150,90,163,171,208,280
2021년11월_여_90~99세,543,186,12,6,32,21,42,34,46,17,10,27,38,37,35
2021년11월_여_100세 이상,20,14,1,0,0,0,1,0,1,0,0,0,0,1,2
