,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년07월_계_총인구수,"433,463","5,024","6,960","5,032","3,319","8,106","11,701","38,215","19,655","12,706","14,054","23,424","10,914","6,108","19,154","16,661","16,470","8,068","16,733","14,087","14,541","30,706","14,298","11,647","12,923","2,686","22,584","37,818","29,869"
2020년07월_계_연령구간인구수,"433,463","5,024","6,960","5,032","3,319","8,106","11,701","38,215","19,655","12,706","14,054","23,424","10,914","6,108","19,154","16,661","16,470","8,068","16,733","14,087","14,541","30,706","14,298","11,647","12,923","2,686","22,584","37,818","29,869"
2020년07월_계_0~9세,"34,488",224,286,270,90,593,452,"2,672","1,836",609,939,"2,269",438,556,"1,485","1,159","1,206",340,987,497,"1,066","2,507","1,249",683,535,76,"2,756","3,975","4,733"
2020년07월_계_10~19세,"43,828",187,484,327,125,575,729,"3,843","2,288",980,"1,524","2,355",703,542,"1,539","2,013","1,552",672,"1,454",896,"1,733","4,770","1,765","1,120",863,140,"2,580","4,249","3,820"
2020년07월_계_20~29세,"62,986","1,001","1,370",904,513,941,"2,142","7,087","2,602","1,852","2,112","3,086","1,392",758,"2,401","2,502","2,629","1,139","2,388","1,705","2,399","4,821","2,056","1,934","1,999",255,"2,811","5,111","3,076"
2020년07월_계_30~39세,"56,713",966,780,723,413,"1,184","1,686","4,688","2,392","1,436","1,663","3,622","1,031",840,"2,683","1,721","2,102",842,"1,912","1,337","1,772","3,026","1,736","1,295","1,482",220,"3,644","6,017","5,500"
2020년07월_계_40~49세,"68,441",611,922,731,419,"1,182","1,604","5,657","3,139","1,747","2,031","3,823","1,352",973,"2,733","2,558","2,502","1,063","2,290","1,724","2,472","5,925","2,369","1,753","1,648",254,"4,075","6,642","6,242"
2020년07월_계_50~59세,"72,358",700,984,731,589,"1,276","1,894","6,670","3,146","2,232","2,562","3,794","1,894",936,"3,217","3,092","2,689","1,419","3,018","2,737","2,676","5,569","2,465","2,248","2,577",562,"3,287","5,780","3,614"
2020년07월_계_60~69세,"52,015",690,"1,029",660,580,"1,176","1,610","4,348","2,582","2,068","1,914","2,638","2,077",753,"2,707","2,116","2,023","1,295","2,596","2,687","1,419","2,228","1,512","1,504","2,084",549,"1,894","3,482","1,794"
2020년07월_계_70~79세,"29,025",443,729,483,387,864,"1,084","2,300","1,207","1,258",865,"1,312","1,374",516,"1,626","1,021","1,193",913,"1,477","1,630",699,"1,167",739,785,"1,115",385,978,"1,729",746
2020년07월_계_80~89세,"11,819",173,332,182,159,269,435,843,399,468,378,446,557,200,660,422,504,332,536,772,260,609,355,277,546,206,476,729,294
2020년07월_계_90~99세,"1,672",23,40,15,40,41,57,103,60,53,62,77,83,32,94,55,69,50,72,96,45,81,49,41,72,36,78,100,48
2020년07월_계_100세 이상,118,6,4,6,4,5,8,4,4,3,4,2,13,2,9,2,1,3,3,6,0,3,3,7,2,3,5,4,2
2020년07월_남_총인구수,"215,251","2,587","3,558","2,640","1,774","4,006","6,141","19,066","9,473","6,429","6,785","11,564","5,315","3,028","9,412","8,151","7,826","4,032","8,296","6,771","7,477","15,039","7,011","5,900","6,349","1,400","11,409","19,007","14,805"
2020년07월_남_연령구간인구수,"215,251","2,587","3,558","2,640","1,774","4,006","6,141","19,066","9,473","6,429","6,785","11,564","5,315","3,028","9,412","8,151","7,826","4,032","8,296","6,771","7,477","15,039","7,011","5,900","6,349","1,400","11,409","19,007","14,805"
2020년07월_남_0~9세,"17,603",103,146,138,49,312,231,"1,374",930,280,469,"1,177",225,281,720,568,608,194,489,251,565,"1,309",633,336,249,34,"1,412","2,072","2,448"
2020년07월_남_10~19세,"23,188",103,249,182,62,299,384,"2,057","1,173",509,826,"1,257",384,271,839,"1,050",800,344,759,468,969,"2,591",969,599,480,86,"1,348","2,155","1,975"
2020년07월_남_20~29세,"33,129",449,703,477,239,485,"1,100","3,726","1,331",993,"1,130","1,634",717,402,"1,271","1,336","1,335",608,"1,258",887,"1,321","2,587","1,121","1,046","1,067",151,"1,495","2,662","1,598"
2020년07월_남_30~39세,"29,454",526,465,419,256,590,981,"2,506","1,132",818,860,"1,828",566,433,"1,385",870,"1,103",460,"1,040",730,928,"1,421",870,678,825,129,"1,863","3,160","2,612"
2020년07월_남_40~49세,"34,295",373,491,429,264,632,942,"2,777","1,436",924,929,"1,930",735,504,"1,446","1,197","1,212",559,"1,177",913,"1,196","2,581","1,082",895,851,155,"2,053","3,402","3,210"
2020년07월_남_50~59세,"35,370",389,508,399,343,635,"1,032","3,172","1,489","1,140","1,149","1,768",948,497,"1,543","1,447","1,208",694,"1,443","1,339","1,375","2,765","1,131","1,140","1,214",317,"1,703","2,849","1,733"
2020년07월_남_60~69세,"24,763",364,506,309,305,527,793,"2,054","1,206",962,896,"1,184",942,337,"1,244","1,050",898,573,"1,221","1,299",708,"1,107",749,756,"1,022",286,966,"1,684",815
2020년07월_남_70~79세,"12,968",200,318,206,181,404,496,"1,070",600,591,391,622,591,229,725,467,457,452,700,649,321,456,333,359,484,165,428,756,317
2020년07월_남_80~89세,"4,133",72,156,77,65,112,172,307,166,203,121,145,190,70,219,153,188,134,196,219,87,197,114,85,149,69,130,247,90
2020년07월_남_90~99세,336,6,15,4,9,10,10,23,10,9,13,18,14,4,19,13,17,14,13,16,7,23,9,6,8,8,11,20,7
2020년07월_남_100세 이상,12,2,1,0,1,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020년07월_여_총인구수,"218,212","2,437","3,402","2,392","1,545","4,100","5,560","19,149","10,182","6,277","7,269","11,860","5,599","3,080","9,742","8,510","8,644","4,036","8,437","7,316","7,064","15,667","7,287","5,747","6,574","1,286","11,175","18,811","15,064"
