카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년05월_계_총인구수,"116,486","12,042","2,609","2,877","1,434","2,294","2,481","3,567","1,949","4,646","4,254","3,378","1,873","4,190","7,697","2,690","4,854","8,742","3,235","3,402","38,272"
2021년05월_계_연령구간인구수,"116,486","12,042","2,609","2,877","1,434","2,294","2,481","3,567","1,949","4,646","4,254","3,378","1,873","4,190","7,697","2,690","4,854","8,742","3,235","3,402","38,272"
2021년05월_계_0~9세,"10,097","1,086",47,55,17,81,44,61,32,92,120,78,30,96,607,140,220,699,104,117,"6,371"
2021년05월_계_10~19세,"9,602",781,140,129,47,124,81,158,56,166,208,133,55,193,832,210,350,901,246,203,"4,589"
2021년05월_계_20~29세,"12,424","1,183",191,247,96,142,167,239,121,341,365,300,104,292,"1,208",320,498,"1,292",257,386,"4,675"
2021년05월_계_30~39세,"14,585","1,591",117,153,65,116,114,196,90,272,297,240,95,217,936,266,369,899,211,290,"8,051"
2021년05월_계_40~49세,"16,615","1,675",219,251,124,217,190,298,151,369,436,351,139,354,"1,188",379,583,"1,346",307,417,"7,621"
2021년05월_계_50~59세,"17,369","1,963",469,524,249,354,386,594,330,888,747,666,382,736,"1,314",458,826,"1,445",583,591,"3,864"
2021년05월_계_60~69세,"16,453","1,954",569,630,315,511,570,830,445,"1,100",870,721,445,912,815,428,870,"1,065",653,666,"2,084"
2021년05월_계_70~79세,"11,467","1,131",488,473,279,420,523,660,369,767,747,518,350,815,487,290,729,703,523,449,746
2021년05월_계_80~89세,"6,813",591,314,366,206,295,356,461,309,546,400,326,235,503,275,166,351,334,300,242,237
2021년05월_계_90~99세,"1,031",86,53,47,36,30,50,67,44,103,62,45,36,69,33,33,57,57,51,39,33
2021년05월_계_100세 이상,30,1,2,2,0,4,0,3,2,2,2,0,2,3,2,0,1,1,0,2,1
2021년05월_남_총인구수,"58,714","6,062","1,304","1,511",707,"1,150","1,240","1,795",947,"2,406","2,235","1,768",972,"2,174","3,820","1,343","2,451","4,393","1,624","1,809","19,003"
2021년05월_남_연령구간인구수,"58,714","6,062","1,304","1,511",707,"1,150","1,240","1,795",947,"2,406","2,235","1,768",972,"2,174","3,820","1,343","2,451","4,393","1,624","1,809","19,003"
2021년05월_남_0~9세,"5,165",550,21,30,8,38,19,28,13,57,66,36,18,53,306,67,121,374,61,55,"3,244"
2021년05월_남_10~19세,"4,946",406,72,75,24,66,47,94,29,86,117,68,24,109,413,114,219,477,109,105,"2,292"
2021년05월_남_20~29세,"6,559",638,107,145,60,86,110,142,71,196,204,171,58,174,657,187,280,710,138,219,"2,206"
2021년05월_남_30~39세,"7,623",815,66,102,50,68,68,132,50,164,192,148,58,129,510,136,194,466,114,172,"3,989"
2021년05월_남_40~49세,"9,218",951,157,170,81,134,131,195,102,254,267,233,87,241,593,212,314,692,194,255,"3,955"
