,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년06월_계_총인구수,"272,476","33,037","10,531","24,866","19,347","15,374","38,546","10,848","28,694","17,844","15,155","28,227","14,676","15,331"
2020년06월_계_연령구간인구수,"272,476","33,037","10,531","24,866","19,347","15,374","38,546","10,848","28,694","17,844","15,155","28,227","14,676","15,331"
2020년06월_계_0~9세,"20,099","2,712",390,"2,628","1,063",917,"2,574",841,"2,635","1,595",842,"2,017","1,008",877
2020년06월_계_10~19세,"25,215","2,830",685,"3,181","1,127","1,468","2,928","1,037","4,183","1,736","1,031","2,885","1,079","1,045"
2020년06월_계_20~29세,"33,396","4,051","1,183","2,569","2,901","1,795","5,621","1,331","3,284","1,888","1,781","3,316","1,704","1,972"
2020년06월_계_30~39세,"33,948","4,472",948,"3,185","3,180","1,518","5,317","1,404","2,965","2,120","1,765","3,266","1,865","1,943"
2020년06월_계_40~49세,"43,454","5,052","1,344","4,959","3,061","2,186","5,597","1,784","5,754","3,152","2,123","4,485","2,018","1,939"
2020년06월_계_50~59세,"45,012","5,386","1,883","3,585","3,023","2,569","6,631","1,719","4,700","2,666","2,635","4,907","2,523","2,785"
2020년06월_계_60~69세,"40,150","4,802","2,046","2,619","2,592","2,505","5,744","1,422","3,174","2,544","2,788","4,404","2,608","2,902"
2020년06월_계_70~79세,"22,033","2,657","1,370","1,490","1,625","1,608","2,957",909,"1,475","1,558","1,567","2,095","1,346","1,376"
2020년06월_계_80~89세,"7,958",936,583,554,655,689,"1,040",354,449,518,545,748,462,425
2020년06월_계_90~99세,"1,077",122,78,88,94,112,122,45,70,62,72,92,57,63
2020년06월_계_100세 이상,134,17,21,8,26,7,15,2,5,5,6,12,6,4
2020년06월_남_총인구수,"132,759","16,171","5,135","12,113","9,154","7,430","18,864","5,207","13,929","8,842","7,499","13,758","7,166","7,491"
2020년06월_남_연령구간인구수,"132,759","16,171","5,135","12,113","9,154","7,430","18,864","5,207","13,929","8,842","7,499","13,758","7,166","7,491"
2020년06월_남_0~9세,"10,367","1,383",203,"1,340",521,442,"1,324",426,"1,340",909,465,"1,038",523,453
2020년06월_남_10~19세,"13,201","1,543",368,"1,751",564,797,"1,534",485,"2,083",945,559,"1,491",524,557
2020년06월_남_20~29세,"17,514","2,175",646,"1,307","1,303",990,"2,865",710,"1,776",995,943,"1,814",904,"1,086"
2020년06월_남_30~39세,"17,037","2,242",529,"1,479","1,589",782,"2,727",697,"1,388","1,025",938,"1,651",956,"1,034"
2020년06월_남_40~49세,"21,164","2,497",703,"2,393","1,518","1,035","2,710",877,"2,634","1,596","1,114","2,108","1,035",944
2020년06월_남_50~59세,"21,349","2,509",905,"1,741","1,457","1,197","3,154",822,"2,324","1,315","1,234","2,296","1,157","1,238"
2020년06월_남_60~69세,"18,710","2,224",967,"1,203","1,210","1,155","2,711",632,"1,549","1,152","1,279","2,073","1,238","1,317"
2020년06월_남_70~79세,"10,160","1,212",584,674,715,736,"1,373",408,689,705,730,998,646,690
2020년06월_남_80~89세,"2,991",346,212,206,251,269,433,143,133,190,217,265,167,159
2020년06월_남_90~99세,243,32,18,18,23,24,32,6,12,10,18,24,14,12
2020년06월_남_100세 이상,23,8,0,1,3,3,1,1,1,0,2,0,2,1
2020년06월_여_총인구수,"139,717","16,866","5,396","12,753","10,193","7,944","19,682","5,641","14,765","9,002","7,656","14,469","7,510","7,840"
2020년06월_여_연령구간인구수,"139,717","16,866","5,396","12,753","10,193","7,944","19,682","5,641","14,765","9,002","7,656","14,469","7,510","7,840"
2020년06월_여_0~9세,"9,732","1,329",187,"1,288",542,475,"1,250",415,"1,295",686,377,979,485,424
2020년06월_여_10~19세,"12,014","1,287",317,"1,430",563,671,"1,394",552,"2,100",791,472,"1,394",555,488
2020년06월_여_20~29세,"15,882","1,876",537,"1,262","1,598",805,"2,756",621,"1,508",893,838,"1,502",800,886
2020년06월_여_30~39세,"16,911","2,230",419,"1,706","1,591",736,"2,590",707,"1,577","1,095",827,"1,615",909,909
2020년06월_여_40~49세,"22,290","2,555",641,"2,566","1,543","1,151","2,887",907,"3,120","1,556","1,009","2,377",983,995
2020년06월_여_50~59세,"23,663","2,877",978,"1,844","1,566","1,372","3,477",897,"2,376","1,351","1,401","2,611","1,366","1,547"
2020년06월_여_60~69세,"21,440","2,578","1,079","1,416","1,382","1,350","3,033",790,"1,625","1,392","1,509","2,331","1,370","1,585"
2020년06월_여_70~79세,"11,873","1,445",786,816,910,872,"1,584",501,786,853,837,"1,097",700,686
2020년06월_여_80~89세,"4,967",590,371,348,404,420,607,211,316,328,328,483,295,266
2020년06월_여_90~99세,834,90,60,70,71,88,90,39,58,52,54,68,43,51
2020년06월_여_100세 이상,111,9,21,7,23,4,14,1,4,5,4,12,4,3
