,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년09월_계_총인구수,"710,433","62,866","93,151","100,924","14,629","24,577","53,610","29,869","19,758","9,350","4,217","50,844","36,248","19,029","4,628","76,897","36,130","73,706"
2020년09월_계_연령구간인구수,"710,433","62,866","93,151","100,924","14,629","24,577","53,610","29,869","19,758","9,350","4,217","50,844","36,248","19,029","4,628","76,897","36,130","73,706"
2020년09월_계_0~9세,"65,811","4,316","8,588","8,729","1,615","1,116","4,172","1,802","1,262",359,200,"5,538","3,297",770,167,"10,316","4,885","8,679"
2020년09월_계_10~19세,"77,572","7,480","11,483","11,374","1,366","1,990","6,702","2,667","2,004",803,251,"6,735","5,048","1,214",201,"7,854","3,687","6,713"
2020년09월_계_20~29세,"84,368","7,835","10,466","11,811","1,573","3,352","6,590","4,159","2,478",891,413,"5,530","4,402","2,529",529,"8,925","3,831","9,054"
2020년09월_계_30~39세,"90,088","6,166","10,599","12,141","2,221","2,399","5,518","3,392","1,836",750,420,"6,244","4,210","2,146",497,"13,315","6,103","12,131"
2020년09월_계_40~49세,"129,820","11,283","17,519","19,280","2,474","3,451","10,390","4,331","3,293","1,069",530,"10,867","7,475","2,305",499,"14,682","7,183","13,189"
2020년09월_계_50~59세,"116,081","11,188","15,174","16,821","2,295","5,261","9,389","5,802","3,616","1,816",793,"7,374","5,708","3,969",913,"10,023","5,111","10,828"
2020년09월_계_60~69세,"81,341","7,540","10,657","11,260","1,855","3,954","5,652","4,461","2,677","1,928",871,"4,460","3,292","3,461","1,079","6,869","3,293","8,032"
2020년09월_계_70~79세,"44,349","4,814","5,888","6,618",816,"1,968","3,523","2,215","1,729","1,115",473,"2,865","1,864","1,641",486,"3,402","1,401","3,531"
2020년09월_계_80~89세,"18,188","1,919","2,454","2,518",356,942,"1,479",929,736,485,225,"1,061",829,851,225,"1,315",540,"1,324"
2020년09월_계_90~99세,"2,602",297,308,340,57,131,190,102,107,125,38,162,118,127,24,185,80,211
2020년09월_계_100세 이상,213,28,15,32,1,13,5,9,20,9,3,8,5,16,8,11,16,14
2020년09월_남_총인구수,"353,701","30,977","47,032","50,565","7,377","12,757","26,928","14,889","9,878","4,933","2,192","24,761","17,830","9,694","2,605","37,793","17,617","35,873"
2020년09월_남_연령구간인구수,"353,701","30,977","47,032","50,565","7,377","12,757","26,928","14,889","9,878","4,933","2,192","24,761","17,830","9,694","2,605","37,793","17,617","35,873"
2020년09월_남_0~9세,"33,841","2,260","4,464","4,514",833,612,"2,170",894,639,207,103,"2,840","1,677",384,81,"5,262","2,490","4,411"
2020년09월_남_10~19세,"39,874","3,826","5,949","5,943",677,"1,016","3,423","1,388","1,085",458,124,"3,465","2,582",650,102,"3,954","1,897","3,335"
2020년09월_남_20~29세,"43,892","4,115","5,525","6,187",811,"1,850","3,503","2,210","1,238",522,232,"2,865","2,232","1,403",310,"4,467","1,937","4,485"
2020년09월_남_30~39세,"44,319","3,011","5,249","6,084","1,120","1,290","2,754","1,769",952,409,216,"2,886","2,035","1,211",306,"6,335","2,802","5,890"
2020년09월_남_40~49세,"65,174","5,380","8,839","9,794","1,275","1,856","5,245","2,174","1,644",596,285,"5,239","3,630","1,229",314,"7,509","3,611","6,554"
2020년09월_남_50~59세,"59,342","5,697","8,043","8,718","1,196","2,792","4,962","2,793","1,906",998,436,"3,775","2,964","1,980",514,"4,890","2,506","5,172"
2020년09월_남_60~69세,"39,604","3,589","5,292","5,385",918,"2,087","2,733","2,271","1,301",996,450,"2,008","1,560","1,746",645,"3,243","1,524","3,856"
2020년09월_남_70~79세,"20,234","2,253","2,658","2,936",395,873,"1,537","1,022",766,536,246,"1,230",819,766,240,"1,635",640,"1,682"
