,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021년08월_계_총인구수,"449,603","30,918","29,975","21,990","25,555","41,328","20,574","20,827","15,348","18,090","14,787","13,773","20,035","20,461","19,560","49,588","32,845","24,704","29,245"
2021년08월_계_연령구간인구수,"449,603","30,918","29,975","21,990","25,555","41,328","20,574","20,827","15,348","18,090","14,787","13,773","20,035","20,461","19,560","49,588","32,845","24,704","29,245"
2021년08월_계_0~9세,"30,291","2,825","1,639","1,257","1,323","3,222",946,"1,363",806,"1,382",925,"1,463",980,"1,777","1,274","3,675","1,533","2,009","1,892"
2021년08월_계_10~19세,"49,696","5,041","2,444","1,497","3,247","7,350","1,276","1,753","1,093","1,610","1,230","1,215","1,280","2,924","2,942","5,571","2,267","3,606","3,350"
2021년08월_계_20~29세,"58,322","3,274","4,892","3,429","4,091","4,305","2,615","2,606","2,005","2,134","2,131","1,564","2,544","2,377","2,392","6,189","5,265","3,054","3,455"
2021년08월_계_30~39세,"56,196","3,118","5,191","3,940","2,720","3,753","2,693","2,867","1,951","2,310","2,026","2,542","2,586","1,977","1,769","6,098","4,878","2,679","3,098"
2021년08월_계_40~49세,"77,280","6,740","4,579","3,149","4,388","8,858","3,010","3,249","2,162","3,038","2,242","2,185","2,858","4,005","3,702","8,389","5,069","4,662","4,995"
2021년08월_계_50~59세,"76,067","4,989","4,816","3,565","4,859","6,730","3,720","3,282","2,837","2,823","2,496","2,004","3,499","3,464","3,519","8,556","5,333","4,396","5,179"
2021년08월_계_60~69세,"59,928","3,008","3,949","3,099","2,789","4,420","3,738","3,347","2,578","2,806","2,251","1,750","3,526","2,303","2,331","6,372","4,828","2,743","4,090"
2021년08월_계_70~79세,"28,907","1,326","1,702","1,369","1,489","1,783","1,872","1,732","1,364","1,384","1,053",780,"1,823","1,070","1,105","3,287","2,659","1,035","2,074"
2021년08월_계_80~89세,"11,161",505,673,598,560,740,602,541,498,535,378,236,835,465,451,"1,256",905,417,966
2021년08월_계_90~99세,"1,685",88,87,82,79,163,97,83,52,65,55,30,101,96,72,189,103,101,142
2021년08월_계_100세 이상,70,4,3,5,10,4,5,4,2,3,0,4,3,3,3,6,5,2,4
2021년08월_남_총인구수,"220,421","14,839","14,591","10,487","12,501","20,524","10,546","10,195","8,077","8,834","7,335","6,758","9,809","9,975","9,587","24,142","16,051","12,020","14,150"
2021년08월_남_연령구간인구수,"220,421","14,839","14,591","10,487","12,501","20,524","10,546","10,195","8,077","8,834","7,335","6,758","9,809","9,975","9,587","24,142","16,051","12,020","14,150"
2021년08월_남_0~9세,"15,568","1,421",844,659,632,"1,712",494,697,446,676,473,757,513,922,635,"1,874",813,"1,042",958
2021년08월_남_10~19세,"25,890","2,500","1,276",815,"1,745","4,035",650,866,560,856,657,595,648,"1,495","1,536","2,857","1,170","1,878","1,751"
2021년08월_남_20~29세,"29,672","1,609","2,409","1,640","2,179","2,244","1,359","1,332","1,070","1,114","1,086",777,"1,342","1,209","1,222","3,208","2,483","1,577","1,812"
2021년08월_남_30~39세,"27,732","1,328","2,639","1,936","1,359","1,662","1,488","1,458","1,059","1,129","1,069","1,263","1,377",872,841,"2,986","2,587","1,190","1,489"
2021년08월_남_40~49세,"36,952","3,038","2,198","1,505","1,964","3,924","1,592","1,653","1,196","1,540","1,116","1,108","1,477","1,879","1,702","4,052","2,525","2,091","2,392"
2021년08월_남_50~59세,"37,815","2,630","2,281","1,623","2,385","3,503","1,956","1,605","1,545","1,366","1,209",970,"1,694","1,776","1,802","4,185","2,560","2,175","2,550"
2021년08월_남_60~69세,"28,692","1,458","1,874","1,439","1,354","2,169","1,874","1,529","1,385","1,300","1,072",824,"1,657","1,107","1,177","2,955","2,236","1,342","1,940"
2021년08월_남_70~79세,"13,632",650,814,647,672,954,887,832,620,651,500,373,793,509,496,"1,523","1,253",549,909
2021년08월_남_80~89세,"4,051",178,234,201,190,274,230,206,186,183,145,86,284,185,158,457,397,143,314
2021년08월_남_90~99세,401,25,22,21,18,47,15,16,9,19,8,5,21,20,18,45,26,32,34
2021년08월_남_100세 이상,16,2,0,1,3,0,1,1,1,0,0,0,3,1,0,0,1,1,1
2021년08월_여_총인구수,"229,182","16,079","15,384","11,503","13,054","20,804","10,028","10,632","7,271","9,256","7,452","7,015","10,226","10,486","9,973","25,446","16,794","12,684","15,095"
2021년08월_여_연령구간인구수,"229,182","16,079","15,384","11,503","13,054","20,804","10,028","10,632","7,271","9,256","7,452","7,015","10,226","10,486","9,973","25,446","16,794","12,684","15,095"
2021년08월_여_0~9세,"14,723","1,404",795,598,691,"1,510",452,666,360,706,452,706,467,855,639,"1,801",720,967,934
2021년08월_여_10~19세,"23,806","2,541","1,168",682,"1,502","3,315",626,887,533,754,573,620,632,"1,429","1,406","2,714","1,097","1,728","1,599"
2021년08월_여_20~29세,"28,650","1,665","2,483","1,789","1,912","2,061","1,256","1,274",935,"1,020","1,045",787,"1,202","1,168","1,170","2,981","2,782","1,477","1,643"
2021년08월_여_30~39세,"28,464","1,790","2,552","2,004","1,361","2,091","1,205","1,409",892,"1,181",957,"1,279","1,209","1,105",928,"3,112","2,291","1,489","1,609"
2021년08월_여_40~49세,"40,328","3,702","2,381","1,644","2,424","4,934","1,418","1,596",966,"1,498","1,126","1,077","1,381","2,126","2,000","4,337","2,544","2,571","2,603"
2021년08월_여_50~59세,"38,252","2,359","2,535","1,942","2,474","3,227","1,764","1,677","1,292","1,457","1,287","1,034","1,805","1,688","1,717","4,371","2,773","2,221","2,629"
2021년08월_여_60~69세,"31,236","1,550","2,075","1,660","1,435","2,251","1,864","1,818","1,193","1,506","1,179",926,"1,869","1,196","1,154","3,417","2,592","1,401","2,150"
2021년08월_여_70~79세,"15,275",676,888,722,817,829,985,900,744,733,553,407,"1,030",561,609,"1,764","1,406",486,"1,165"
2021년08월_여_80~89세,"7,110",327,439,397,370,466,372,335,312,352,233,150,551,280,293,799,508,274,652
2021년08월_여_90~99세,"1,284",63,65,61,61,116,82,67,43,46,47,25,80,76,54,144,77,69,108
2021년08월_여_100세 이상,54,2,3,4,7,4,4,3,1,3,0,4,0,2,3,6,4,1,3
