,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년03월_계_총인구수,"481,135","22,745","15,176","18,540","16,893","16,562","12,812","25,867","19,110","12,577","24,287","21,967","25,182","11,100","15,369","22,341","41,238","15,910","51,240","3,844","17,317","37,141","13,347","20,570"
2020년03월_계_연령구간인구수,"481,135","22,745","15,176","18,540","16,893","16,562","12,812","25,867","19,110","12,577","24,287","21,967","25,182","11,100","15,369","22,341","41,238","15,910","51,240","3,844","17,317","37,141","13,347","20,570"
2020년03월_계_0~9세,"39,999","2,253",734,948,"1,198","1,078",722,"1,558","1,295",927,"2,068","1,252","1,587",432,830,"1,953","5,674","1,331","6,613",109,"1,670","3,438","1,067","1,262"
2020년03월_계_10~19세,"51,351","3,116","1,123","1,540","1,578","1,310",648,"2,433","1,354","1,188","2,721","1,820","2,218",622,"1,385","2,845","4,629","1,707","6,417",162,"3,446","4,636","1,460","2,993"
2020년03월_계_20~29세,"73,697","2,819","2,402","2,569","2,221","2,222","2,547","5,044","4,222","1,696","3,184","4,212","5,491","2,693","1,985","3,009","4,942","2,817","6,861",303,"1,683","5,612","2,403","2,760"
2020년03월_계_30~39세,"67,637","2,846","1,606","1,969","1,839","2,116","2,221","4,206","3,571","1,616","2,922","3,489","4,246","1,827","1,610","2,713","6,886","2,124","8,645",295,"1,540","5,489","2,069","1,792"
2020년03월_계_40~49세,"80,062","4,311","1,854","2,618","2,432","2,411","1,730","4,396","2,889","1,946","4,164","3,274","3,902","1,602","2,081","3,631","7,609","2,449","9,603",420,"4,017","6,775","2,303","3,645"
2020년03월_계_50~59세,"78,103","3,434","2,721","3,270","3,289","3,035","1,918","4,271","2,573","2,018","3,917","3,545","4,092","1,880","2,993","4,116","5,666","2,833","7,185",721,"2,429","6,333","2,227","3,637"
2020년03월_계_60~69세,"52,460","2,313","2,611","3,127","2,503","2,468","1,677","2,340","1,865","1,763","3,038","2,760","2,328","1,249","2,424","2,695","3,609","1,453","3,441",745,"1,323","3,136","1,130","2,462"
2020년03월_계_70~79세,"25,081","1,149","1,462","1,688","1,192","1,335",908,"1,034",923,968,"1,577","1,126",867,532,"1,255",862,"1,505",766,"1,632",598,809,"1,122",449,"1,322"
2020년03월_계_80~89세,"11,049",433,587,714,556,506,388,522,365,392,623,418,407,224,683,455,605,370,733,396,346,525,198,603
2020년03월_계_90~99세,"1,609",68,72,92,82,77,48,60,50,60,66,63,44,36,121,61,109,59,99,90,52,71,40,89
2020년03월_계_100세 이상,87,3,4,5,3,4,5,3,3,3,7,8,0,3,2,1,4,1,11,5,2,4,1,5
