,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년03월_계_총인구수,"1,859,290","229,009","281,794","281,873","114,516","151,372","46,265","28,569","25,976","64,581","41,232","62,493","38,333","35,161","69,804","54,335","81,409","32,630","53,625","45,412","50,431","30,564","39,906"
2020년03월_계_연령구간인구수,"1,859,290","229,009","281,794","281,873","114,516","151,372","46,265","28,569","25,976","64,581","41,232","62,493","38,333","35,161","69,804","54,335","81,409","32,630","53,625","45,412","50,431","30,564","39,906"
2020년03월_계_0~9세,"137,229","19,905","21,806","24,112","10,251","14,012","2,369","1,175","1,207","2,685","1,891","3,596","2,068","1,888","4,269","3,870","7,160","1,470","3,759","2,970","3,288","1,792","1,686"
2020년03월_계_10~19세,"171,854","25,500","27,378","31,058","9,317","16,294","3,068","2,092","1,938","4,065","2,716","5,924","2,966","2,628","5,468","4,623","8,814","2,143","4,346","3,406","3,747","2,268","2,095"
2020년03월_계_20~29세,"202,245","27,653","34,080","37,259","12,254","20,300","4,983","2,482","2,083","4,400","3,116","6,793","3,217","2,920","5,675","5,023","8,234","2,645","5,132","4,632","3,836","2,446","3,082"
2020년03월_계_30~39세,"192,216","27,819","32,006","33,649","14,763","18,949","3,789","1,801","1,796","3,873","2,703","4,884","2,944","2,646","5,403","5,165","9,319","2,231","4,979","3,916","4,298","2,307","2,976"
2020년03월_계_40~49세,"264,233","38,305","42,604","44,166","16,283","24,153","5,393","3,210","3,070","6,556","4,385","8,573","4,303","3,885","8,316","7,680","12,707","3,662","6,781","5,772","6,329","3,597","4,503"
2020년03월_계_50~59세,"316,811","36,876","48,921","49,293","17,365","28,726","8,177","5,012","4,732","10,564","6,871","11,222","6,506","5,868","11,935","9,425","12,450","5,696","8,806","7,639","8,311","5,124","7,292"
2020년03월_계_60~69세,"260,605","27,896","39,192","32,229","15,394","15,733","7,857","4,825","4,444","12,378","7,470","8,877","6,375","6,055","11,984","7,742","10,308","5,717","8,239","6,989","8,309","5,108","7,484"
2020년03월_계_70~79세,"191,356","17,312","23,843","18,626","11,450","7,895","6,283","4,320","3,899","11,450","6,705","7,474","5,531","5,285","10,074","6,347","7,758","5,235","7,139","5,947","7,502","4,802","6,479"
2020년03월_계_80~89세,"106,614","6,743","10,320","9,881","6,419","4,581","3,737","3,152","2,444","7,357","4,653","4,490","3,809","3,485","5,855","3,920","4,063","3,332","3,885","3,627","4,266","2,755","3,840"
2020년03월_계_90~99세,"15,298",924,"1,542","1,542",957,707,577,489,344,"1,208",682,626,587,470,784,506,563,473,522,472,522,349,452
2020년03월_계_100세 이상,829,76,102,58,63,22,32,11,19,45,40,34,27,31,41,34,33,26,37,42,23,16,17
2020년03월_남_총인구수,"933,896","114,138","143,551","140,597","57,667","78,834","23,562","13,955","12,647","31,295","19,992","30,938","18,625","16,934","34,459","27,900","40,836","16,311","26,716","23,357","25,346","15,021","21,215"
2020년03월_남_연령구간인구수,"933,896","114,138","143,551","140,597","57,667","78,834","23,562","13,955","12,647","31,295","19,992","30,938","18,625","16,934","34,459","27,900","40,836","16,311","26,716","23,357","25,346","15,021","21,215"
2020년03월_남_0~9세,"70,031","10,243","11,085","12,404","5,239","7,141","1,193",591,602,"1,337",979,"1,837","1,063",959,"2,159","1,949","3,652",759,"1,907","1,489","1,690",874,879
2020년03월_남_10~19세,"89,391","13,084","14,282","16,259","4,805","8,436","1,602","1,097","1,028","2,153","1,380","3,093","1,564","1,349","2,846","2,479","4,519","1,146","2,261","1,809","1,931","1,178","1,090"
2020년03월_남_20~29세,"112,355","14,898","19,193","20,154","6,465","11,799","2,962","1,341","1,105","2,528","1,752","3,683","1,791","1,612","3,163","2,829","4,433","1,526","2,851","2,804","2,252","1,388","1,826"
2020년03월_남_30~39세,"101,265","14,314","17,205","17,176","7,701","10,121","2,001",977,971,"2,116","1,455","2,491","1,572","1,346","2,792","2,858","4,774","1,213","2,597","2,083","2,359","1,270","1,873"
2020년03월_남_40~49세,"141,576","19,689","22,420","21,750","9,191","12,241","3,150","1,803","1,695","3,839","2,481","4,480","2,391","2,162","4,732","4,557","6,786","2,183","3,878","3,341","3,717","2,075","3,015"
2020년03월_남_50~59세,"169,211","18,478","25,438","24,919","9,441","15,777","4,524","2,770","2,609","5,788","3,818","6,137","3,500","3,134","6,570","5,367","6,817","3,282","4,793","4,338","4,533","2,790","4,388"
2020년03월_남_60~69세,"130,720","13,335","19,472","16,181","7,823","8,292","4,037","2,502","2,164","6,085","3,720","4,610","3,160","2,998","5,917","3,903","5,119","2,925","4,090","3,608","4,120","2,585","4,074"
2020년03월_남_70~79세,"82,837","7,660","10,769","8,252","4,907","3,462","2,768","1,786","1,592","4,904","2,806","3,069","2,316","2,221","4,334","2,635","3,404","2,165","3,038","2,595","3,288","2,003","2,863"
2020년03월_남_80~89세,"33,335","2,236","3,394","3,191","1,876","1,427","1,200",992,805,"2,283","1,455","1,386","1,154","1,059","1,795","1,211","1,230",996,"1,201","1,172","1,364",791,"1,117"
2020년03월_남_90~99세,"3,057",185,278,303,209,132,122,94,73,255,141,150,110,89,149,105,98,113,96,114,89,67,85
2020년03월_남_100세 이상,118,16,15,8,10,6,3,2,3,7,5,2,4,5,2,7,4,3,4,4,3,0,5
2020년03월_여_총인구수,"925,394","114,871","138,243","141,276","56,849","72,538","22,703","14,614","13,329","33,286","21,240","31,555","19,708","18,227","35,345","26,435","40,573","16,319","26,909","22,055","25,085","15,543","18,691"
2020년03월_여_연령구간인구수,"925,394","114,871","138,243","141,276","56,849","72,538","22,703","14,614","13,329","33,286","21,240","31,555","19,708","18,227","35,345","26,435","40,573","16,319","26,909","22,055","25,085","15,543","18,691"
2020년03월_여_0~9세,"67,198","9,662","10,721","11,708","5,012","6,871","1,176",584,605,"1,348",912,"1,759","1,005",929,"2,110","1,921","3,508",711,"1,852","1,481","1,598",918,807
2020년03월_여_10~19세,"82,463","12,416","13,096","14,799","4,512","7,858","1,466",995,910,"1,912","1,336","2,831","1,402","1,279","2,622","2,144","4,295",997,"2,085","1,597","1,816","1,090","1,005"
2020년03월_여_20~29세,"89,890","12,755","14,887","17,105","5,789","8,501","2,021","1,141",978,"1,872","1,364","3,110","1,426","1,308","2,512","2,194","3,801","1,119","2,281","1,828","1,584","1,058","1,256"
