,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년12월_계_총인구수,"177,125","52,846","8,608","81,932","25,817","7,922"
2021년12월_계_연령구간인구수,"177,125","52,846","8,608","81,932","25,817","7,922"
2021년12월_계_0~9세,"18,280","2,971",415,"11,280","3,277",337
2021년12월_계_10~19세,"18,048","4,291",390,"11,041","1,885",441
2021년12월_계_20~29세,"16,962","6,162","1,004","6,649","2,467",680
2021년12월_계_30~39세,"23,994","5,635","1,053","12,203","4,471",632
2021년12월_계_40~49세,"33,104","7,957",953,"18,976","4,236",982
2021년12월_계_50~59세,"25,035","9,440","1,506","8,938","3,807","1,344"
2021년12월_계_60~69세,"22,487","8,571","1,709","7,108","3,282","1,817"
2021년12월_계_70~79세,"12,861","5,106",942,"4,075","1,617","1,121"
2021년12월_계_80~89세,"5,536","2,381",535,"1,454",668,498
2021년12월_계_90~99세,787,322,95,203,102,65
2021년12월_계_100세 이상,31,10,6,5,5,5
2021년12월_남_총인구수,"87,691","25,761","4,632","40,501","12,779","4,018"
2021년12월_남_연령구간인구수,"87,691","25,761","4,632","40,501","12,779","4,018"
2021년12월_남_0~9세,"9,308","1,565",215,"5,744","1,625",159
2021년12월_남_10~19세,"9,351","2,235",216,"5,740",936,224
2021년12월_남_20~29세,"9,010","3,255",604,"3,357","1,369",425
2021년12월_남_30~39세,"11,962","2,992",626,"5,813","2,199",332
2021년12월_남_40~49세,"16,846","3,960",569,"9,621","2,154",542
2021년12월_남_50~59세,"12,831","4,693",860,"4,692","1,892",694
2021년12월_남_60~69세,"10,409","3,995",881,"3,051","1,608",874
2021년12월_남_70~79세,"5,882","2,174",476,"1,902",759,571
2021년12월_남_80~89세,"1,921",823,163,543,213,179
2021년12월_남_90~99세,169,69,21,38,23,18
2021년12월_남_100세 이상,2,0,1,0,1,0
2021년12월_여_총인구수,"89,434","27,085","3,976","41,431","13,038","3,904"
2021년12월_여_연령구간인구수,"89,434","27,085","3,976","41,431","13,038","3,904"
2021년12월_여_0~9세,"8,972","1,406",200,"5,536","1,652",178
2021년12월_여_10~19세,"8,697","2,056",174,"5,301",949,217
2021년12월_여_20~29세,"7,952","2,907",400,"3,292","1,098",255
2021년12월_여_30~39세,"12,032","2,643",427,"6,390","2,272",300
2021년12월_여_40~49세,"16,258","3,997",384,"9,355","2,082",440
2021년12월_여_50~59세,"12,204","4,747",646,"4,246","1,915",650
2021년12월_여_60~69세,"12,078","4,576",828,"4,057","1,674",943
2021년12월_여_70~79세,"6,979","2,932",466,"2,173",858,550
2021년12월_여_80~89세,"3,615","1,558",372,911,455,319
2021년12월_여_90~99세,618,253,74,165,79,47
2021년12월_여_100세 이상,29,10,5,5,4,5
