,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년10월_계_총인구수,"297,527","4,029","4,807","11,183","5,117","8,729","10,735","30,550","25,128","24,130","15,817","21,093","10,320","15,897","5,900","20,686","29,208","37,741","16,457"
2020년10월_계_연령구간인구수,"297,527","4,029","4,807","11,183","5,117","8,729","10,735","30,550","25,128","24,130","15,817","21,093","10,320","15,897","5,900","20,686","29,208","37,741","16,457"
2020년10월_계_0~9세,"22,020",102,408,608,176,574,884,"2,180","1,675","1,220",910,"2,417",568,"1,090",388,"1,319","2,694","3,154","1,653"
2020년10월_계_10~19세,"31,907",157,363,684,273,632,"1,310","3,165","2,512","1,752","1,112","2,390","1,048","1,642",413,"2,147","4,470","5,338","2,499"
2020년10월_계_20~29세,"45,366",424,515,"1,703",872,"1,136","1,656","5,442","4,757","4,329","3,022","2,516","1,583","2,192",735,"3,056","4,073","5,471","1,884"
2020년10월_계_30~39세,"37,129",359,648,"1,581",624,"1,039","1,437","4,426","3,640","2,978","2,389","3,081","1,091","1,738",713,"2,120","3,205","4,281","1,779"
2020년10월_계_40~49세,"49,152",451,719,"1,564",689,"1,336","1,928","4,973","4,026","3,304","2,273","3,632","1,429","2,263",733,"3,032","5,783","7,579","3,438"
2020년10월_계_50~59세,"49,530",677,697,"1,758",897,"1,623","1,741","5,326","3,968","4,089","2,335","3,041","1,758","2,711","1,194","3,985","5,039","6,182","2,509"
2020년10월_계_60~69세,"34,078",768,764,"1,540",780,"1,264",930,"2,710","2,577","3,435","1,898","2,398","1,568","2,588",931,"2,908","2,254","3,121","1,644"
2020년10월_계_70~79세,"19,125",750,497,"1,194",546,752,535,"1,513","1,411","2,036","1,204","1,168",859,"1,144",483,"1,399","1,143","1,735",756
2020년10월_계_80~89세,"7,951",295,169,479,233,312,273,729,477,853,587,375,348,449,248,639,469,769,247
2020년10월_계_90~99세,"1,194",38,27,69,26,51,40,84,82,120,83,73,64,75,56,78,71,110,47
2020년10월_계_100세 이상,75,8,0,3,1,10,1,2,3,14,4,2,4,5,6,3,7,1,1
2020년10월_남_총인구수,"145,861","1,978","2,351","5,528","2,646","4,460","5,484","14,643","12,527","11,759","7,552","10,598","5,082","7,692","3,061","9,890","14,265","18,536","7,809"
2020년10월_남_연령구간인구수,"145,861","1,978","2,351","5,528","2,646","4,460","5,484","14,643","12,527","11,759","7,552","10,598","5,082","7,692","3,061","9,890","14,265","18,536","7,809"
2020년10월_남_0~9세,"11,452",56,218,300,96,318,492,"1,084",821,640,473,"1,295",306,585,198,708,"1,426","1,615",821
2020년10월_남_10~19세,"16,743",83,190,379,161,311,665,"1,645","1,241",906,582,"1,392",575,912,225,"1,157","2,250","2,811","1,258"
2020년10월_남_20~29세,"23,282",239,286,830,446,585,896,"2,625","2,432","2,121","1,359","1,368",887,"1,185",400,"1,615","2,171","2,814","1,023"
2020년10월_남_30~39세,"18,804",195,323,844,358,561,774,"2,211","1,924","1,606","1,221","1,492",576,875,389,"1,045","1,513","2,108",789
