카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년01월_계_총인구수,"282,356","2,790","8,629","1,956","20,913","6,396","6,574","2,915","1,331",850,"2,118","4,724","3,273","4,593","4,140","6,408","3,884","5,584","12,017","7,221","19,353","20,009","12,169","10,554","10,625","33,253","36,065","21,974","8,266","2,547","1,225"
2020년01월_계_연령구간인구수,"282,356","2,790","8,629","1,956","20,913","6,396","6,574","2,915","1,331",850,"2,118","4,724","3,273","4,593","4,140","6,408","3,884","5,584","12,017","7,221","19,353","20,009","12,169","10,554","10,625","33,253","36,065","21,974","8,266","2,547","1,225"
2020년01월_계_0~9세,"21,923",58,644,37,"2,174",314,149,71,12,28,66,238,114,174,123,264,167,177,805,536,"1,381","1,526",784,842,"1,116","2,930","4,592","1,363","1,118",84,36
2020년01월_계_10~19세,"27,749",114,662,80,"2,153",327,328,137,39,33,89,297,219,342,253,355,261,274,985,676,"2,021","2,300","1,197","1,289",951,"4,185","4,467","2,311","1,161",168,75
2020년01월_계_20~29세,"34,318",200,769,125,"2,337",497,579,165,62,60,178,459,377,401,351,729,416,491,"1,357",781,"2,573","2,581","1,865","1,485","1,114","5,153","4,551","3,471",812,275,104
2020년01월_계_30~39세,"32,240",141,836,100,"2,829",501,383,144,61,39,157,469,315,384,297,606,340,485,"1,282",753,"2,164","2,200","1,358","1,254","1,461","4,151","5,591","2,418","1,262",183,76
2020년01월_계_40~49세,"42,770",268,"1,287",157,"3,235",734,676,259,85,84,226,583,379,593,519,790,457,646,"1,626",967,"2,882","3,332","1,839","1,782","1,580","5,767","6,378","3,479","1,668",339,153
2020년01월_계_50~59세,"48,910",507,"1,435",338,"3,574","1,083","1,251",479,198,149,489,737,510,768,699,"1,111",642,988,"2,187","1,219","3,546","3,429","2,280","1,853","1,588","5,910","5,722","4,528",974,486,230
2020년01월_계_60~69세,"38,883",599,"1,529",453,"2,402","1,213","1,326",643,290,160,441,957,597,964,870,"1,277",779,"1,229","2,074","1,298","2,829","2,612","1,568","1,302","1,491","3,143","2,951","2,563",661,445,217
2020년01월_계_70~79세,"23,810",560,986,389,"1,393","1,029","1,145",611,339,178,284,723,544,701,749,926,558,933,"1,258",733,"1,314","1,373",865,529,932,"1,381","1,191","1,203",440,349,194
2020년01월_계_80~89세,"10,166",291,425,242,712,597,627,360,199,100,159,213,195,234,234,305,235,319,398,219,567,576,369,179,333,539,532,547,156,183,121
2020년01월_계_90~99세,"1,491",50,55,34,99,96,106,42,46,18,26,43,21,24,41,39,27,35,37,36,76,80,43,38,52,92,89,90,12,25,19
2020년01월_계_100세 이상,96,2,1,1,5,5,4,4,0,1,3,5,2,8,4,6,2,7,8,3,0,0,1,1,7,2,1,1,2,10,0
2020년01월_남_총인구수,"143,642","1,387","4,455",961,"10,642","3,282","3,408","1,481",647,426,"1,178","2,386","1,661","2,287","2,131","3,323","1,938","2,862","6,084","3,572","9,541","10,043","6,454","5,310","5,307","17,049","18,107","11,507","4,203","1,374",636
2020년01월_남_연령구간인구수,"143,642","1,387","4,455",961,"10,642","3,282","3,408","1,481",647,426,"1,178","2,386","1,661","2,287","2,131","3,323","1,938","2,862","6,084","3,572","9,541","10,043","6,454","5,310","5,307","17,049","18,107","11,507","4,203","1,374",636
2020년01월_남_0~9세,"11,157",25,344,22,"1,136",156,85,37,6,15,35,121,55,92,67,150,75,88,406,270,696,788,417,421,562,"1,477","2,316",686,558,39,12
2020년01월_남_10~19세,"14,486",54,335,41,"1,093",182,178,74,15,17,48,151,118,175,137,198,132,126,515,329,"1,046","1,217",649,672,497,"2,187","2,375","1,172",624,95,34
2020년01월_남_20~29세,"19,242",113,443,69,"1,292",292,332,104,35,33,111,254,197,233,198,409,237,288,766,422,"1,430","1,401","1,095",780,613,"2,966","2,403","2,062",428,173,63
2020년01월_남_30~39세,"17,265",92,445,55,"1,461",284,239,96,40,20,93,264,195,214,184,363,203,270,708,384,"1,114","1,146",788,695,745,"2,169","2,782","1,418",623,118,57
2020년01월_남_40~49세,"22,475",179,776,104,"1,712",489,425,175,61,54,157,341,226,341,326,461,260,412,904,502,"1,422","1,647",978,845,834,"2,791","3,100","1,769",866,213,105
2020년01월_남_50~59세,"25,359",269,751,176,"1,854",619,740,285,113,95,284,380,271,386,370,583,314,551,"1,023",583,"1,666","1,729","1,230",924,783,"3,080","2,936","2,387",552,283,142
2020년01월_남_60~69세,"19,331",304,752,238,"1,244",604,712,322,162,78,247,450,279,440,413,589,355,553,"1,009",632,"1,397","1,329",827,663,719,"1,560","1,483","1,310",311,232,117
2020년01월_남_70~79세,"10,729",232,444,174,606,450,497,260,149,76,144,345,237,308,341,458,270,433,601,357,559,605,363,247,430,658,542,527,192,156,68
2020년01월_남_80~89세,"3,315",106,153,76,225,191,176,116,57,33,55,66,76,90,86,103,88,131,149,85,200,171,102,59,116,148,158,162,45,57,35
2020년01월_남_90~99세,269,13,12,6,18,14,24,11,9,5,4,11,7,8,8,8,4,10,3,7,11,10,5,4,8,13,11,14,2,6,3
2020년01월_남_100세 이상,14,0,0,0,1,1,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020년01월_여_총인구수,"138,714","1,403","4,174",995,"10,271","3,114","3,166","1,434",684,424,940,"2,338","1,612","2,306","2,009","3,085","1,946","2,722","5,933","3,649","9,812","9,966","5,715","5,244","5,318","16,204","17,958","10,467","4,063","1,173",589
2020년01월_여_연령구간인구수,"138,714","1,403","4,174",995,"10,271","3,114","3,166","1,434",684,424,940,"2,338","1,612","2,306","2,009","3,085","1,946","2,722","5,933","3,649","9,812","9,966","5,715","5,244","5,318","16,204","17,958","10,467","4,063","1,173",589
2020년01월_여_0~9세,"10,766",33,300,15,"1,038",158,64,34,6,13,31,117,59,82,56,114,92,89,399,266,685,738,367,421,554,"1,453","2,276",677,560,45,24
2020년01월_여_10~19세,"13,263",60,327,39,"1,060",145,150,63,24,16,41,146,101,167,116,157,129,148,470,347,975,"1,083",548,617,454,"1,998","2,092","1,139",537,73,41
2020년01월_여_20~29세,"15,076",87,326,56,"1,045",205,247,61,27,27,67,205,180,168,153,320,179,203,591,359,"1,143","1,180",770,705,501,"2,187","2,148","1,409",384,102,41
2020년01월_여_30~39세,"14,975",49,391,45,"1,368",217,144,48,21,19,64,205,120,170,113,243,137,215,574,369,"1,050","1,054",570,559,716,"1,982","2,809","1,000",639,65,19
2020년01월_여_40~49세,"20,295",89,511,53,"1,523",245,251,84,24,30,69,242,153,252,193,329,197,234,722,465,"1,460","1,685",861,937,746,"2,976","3,278","1,710",802,126,48
