,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년04월_계_총인구수,"25,895","10,980","1,298","1,526","2,571","2,740","2,305","1,501","2,974"
2020년04월_계_연령구간인구수,"25,895","10,980","1,298","1,526","2,571","2,740","2,305","1,501","2,974"
2020년04월_계_0~9세,"1,197",697,43,54,53,127,70,58,95
2020년04월_계_10~19세,"1,926","1,106",76,73,160,180,116,64,151
2020년04월_계_20~29세,"2,051","1,090",82,85,160,200,120,108,206
2020년04월_계_30~39세,"1,777",936,60,76,123,188,146,101,147
2020년04월_계_40~49세,"3,066","1,512",155,160,245,346,186,167,295
2020년04월_계_50~59세,"4,695","1,946",245,280,588,455,384,227,570
2020년04월_계_60~69세,"4,484","1,634",261,284,514,493,439,274,585
2020년04월_계_70~79세,"3,883","1,249",205,310,389,418,471,291,550
2020년04월_계_80~89세,"2,450",697,150,182,287,287,325,182,340
2020년04월_계_90~99세,346,107,21,20,49,42,46,29,32
2020년04월_계_100세 이상,20,6,0,2,3,4,2,0,3
2020년04월_남_총인구수,"12,587","5,329",648,750,"1,253","1,365","1,081",723,"1,438"
2020년04월_남_연령구간인구수,"12,587","5,329",648,750,"1,253","1,365","1,081",723,"1,438"
2020년04월_남_0~9세,596,333,23,28,30,65,36,30,51
2020년04월_남_10~19세,"1,025",596,41,33,79,102,64,39,71
2020년04월_남_20~29세,"1,081",571,45,40,94,105,56,55,115
2020년04월_남_30~39세,958,466,30,41,74,114,85,62,86
2020년04월_남_40~49세,"1,690",770,90,106,141,198,110,97,178
2020년04월_남_50~59세,"2,583","1,007",147,171,321,268,226,126,317
2020년04월_남_60~69세,"2,181",792,133,139,252,239,206,133,287
2020년04월_남_70~79세,"1,585",528,83,122,150,172,193,114,223
2020년04월_남_80~89세,808,239,53,65,98,92,96,61,104
2020년04월_남_90~99세,77,26,3,5,14,9,9,6,5
2020년04월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년04월_여_총인구수,"13,308","5,651",650,776,"1,318","1,375","1,224",778,"1,536"
2020년04월_여_연령구간인구수,"13,308","5,651",650,776,"1,318","1,375","1,224",778,"1,536"
2020년04월_여_0~9세,601,364,20,26,23,62,34,28,44
2020년04월_여_10~19세,901,510,35,40,81,78,52,25,80
2020년04월_여_20~29세,970,519,37,45,66,95,64,53,91
2020년04월_여_30~39세,819,470,30,35,49,74,61,39,61
2020년04월_여_40~49세,"1,376",742,65,54,104,148,76,70,117
2020년04월_여_50~59세,"2,112",939,98,109,267,187,158,101,253
2020년04월_여_60~69세,"2,303",842,128,145,262,254,233,141,298
2020년04월_여_70~79세,"2,298",721,122,188,239,246,278,177,327
2020년04월_여_80~89세,"1,642",458,97,117,189,195,229,121,236
2020년04월_여_90~99세,269,81,18,15,35,33,37,23,27
2020년04월_여_100세 이상,17,5,0,2,3,3,2,0,2
