카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년08월_계_총인구수,"51,244","20,927","1,907","2,794","2,174","3,348","2,418","4,418","2,276","2,496","2,190","2,623","2,525","1,148"
2021년08월_계_연령구간인구수,"51,244","20,927","1,907","2,794","2,174","3,348","2,418","4,418","2,276","2,496","2,190","2,623","2,525","1,148"
2021년08월_계_0~9세,"2,441","1,615",39,55,60,97,45,194,73,41,56,68,66,32
2021년08월_계_10~19세,"3,582","2,318",53,111,113,139,78,269,99,93,82,100,96,31
2021년08월_계_20~29세,"4,139","2,188",113,175,142,195,123,356,151,146,158,167,163,62
2021년08월_계_30~39세,"3,687","1,970",105,154,164,206,102,345,129,109,110,126,112,55
2021년08월_계_40~49세,"5,864","3,051",135,222,214,358,179,499,208,208,173,248,250,119
2021년08월_계_50~59세,"8,662","3,473",305,469,389,488,431,827,397,396,400,440,438,209
2021년08월_계_60~69세,"9,826","3,072",458,587,463,748,571,922,570,533,470,560,588,284
2021년08월_계_70~79세,"7,673","2,023",370,557,345,715,487,622,417,519,404,513,488,213
2021년08월_계_80~89세,"4,704","1,099",276,402,240,358,358,333,201,394,296,352,276,119
2021년08월_계_90~99세,644,112,52,62,42,42,42,50,28,55,40,47,48,24
2021년08월_계_100세 이상,22,6,1,0,2,2,2,1,3,2,1,2,0,0
2021년08월_남_총인구수,"25,466","10,232",931,"1,403","1,130","1,683","1,205","2,265","1,172","1,230","1,075","1,281","1,245",614
2021년08월_남_연령구간인구수,"25,466","10,232",931,"1,403","1,130","1,683","1,205","2,265","1,172","1,230","1,075","1,281","1,245",614
2021년08월_남_0~9세,"1,284",838,22,32,19,41,22,110,45,24,31,39,44,17
2021년08월_남_10~19세,"1,868","1,199",35,54,63,70,47,133,60,51,42,51,49,14
2021년08월_남_20~29세,"2,352","1,223",66,106,79,104,66,200,103,80,81,95,112,37
2021년08월_남_30~39세,"1,986",958,63,92,104,132,58,198,71,76,66,70,61,37
2021년08월_남_40~49세,"3,275","1,511",88,155,135,232,124,304,121,136,101,141,147,80
2021년08월_남_50~59세,"4,811","1,750",177,279,236,294,244,461,229,242,242,272,249,136
2021년08월_남_60~69세,"4,888","1,487",222,312,258,354,296,459,273,266,253,277,278,153
2021년08월_남_70~79세,"3,358",881,158,232,147,320,221,287,200,218,171,211,213,99
2021년08월_남_80~89세,"1,507",364,87,125,78,126,116,105,65,123,82,112,85,39
2021년08월_남_90~99세,135,21,13,16,10,10,10,8,5,14,6,13,7,2
2021년08월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년08월_여_총인구수,"25,778","10,695",976,"1,391","1,044","1,665","1,213","2,153","1,104","1,266","1,115","1,342","1,280",534
2021년08월_여_연령구간인구수,"25,778","10,695",976,"1,391","1,044","1,665","1,213","2,153","1,104","1,266","1,115","1,342","1,280",534
2021년08월_여_0~9세,"1,157",777,17,23,41,56,23,84,28,17,25,29,22,15
2021년08월_여_10~19세,"1,714","1,119",18,57,50,69,31,136,39,42,40,49,47,17
2021년08월_여_20~29세,"1,787",965,47,69,63,91,57,156,48,66,77,72,51,25
2021년08월_여_30~39세,"1,701","1,012",42,62,60,74,44,147,58,33,44,56,51,18
2021년08월_여_40~49세,"2,589","1,540",47,67,79,126,55,195,87,72,72,107,103,39
2021년08월_여_50~59세,"3,851","1,723",128,190,153,194,187,366,168,154,158,168,189,73
2021년08월_여_60~69세,"4,938","1,585",236,275,205,394,275,463,297,267,217,283,310,131
2021년08월_여_70~79세,"4,315","1,142",212,325,198,395,266,335,217,301,233,302,275,114
2021년08월_여_80~89세,"3,197",735,189,277,162,232,242,228,136,271,214,240,191,80
2021년08월_여_90~99세,509,91,39,46,32,32,32,42,23,41,34,34,41,22
2021년08월_여_100세 이상,20,6,1,0,1,2,1,1,3,2,1,2,0,0
