,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년08월_계_총인구수,"499,316","24,754","15,804","30,435","29,589","17,185","34,975","34,249","15,626","26,438","18,513","23,131","18,518","23,952","22,990","21,962","15,964","17,645","23,824","24,554","31,456","27,752"
2020년08월_계_연령구간인구수,"499,316","24,754","15,804","30,435","29,589","17,185","34,975","34,249","15,626","26,438","18,513","23,131","18,518","23,952","22,990","21,962","15,964","17,645","23,824","24,554","31,456","27,752"
2020년08월_계_0~9세,"23,353","1,279","1,351","2,099","1,238",745,"1,298","2,227",450,"1,239","1,064",709,647,870,835,389,"1,257",710,762,981,"1,838","1,365"
2020년08월_계_10~19세,"29,466","1,506","1,176","2,994","1,431",881,"1,734","2,624",643,"1,670",828,897,892,"1,151","1,201",507,"1,471",859,"1,014","1,635","2,392","1,960"
2020년08월_계_20~29세,"110,060","4,706","1,917","3,985","7,557","5,538","11,186","5,605","4,543","5,840","3,927","6,540","4,456","5,761","5,812","8,453","1,748","4,100","6,295","3,075","4,884","4,132"
2020년08월_계_30~39세,"87,904","4,144","2,643","4,016","6,122","3,572","6,701","5,495","3,032","5,004","3,766","4,660","3,269","4,772","3,977","5,659","1,940","3,332","4,866","2,820","4,363","3,751"
2020년08월_계_40~49세,"69,507","3,473","2,561","5,150","3,717","2,038","4,053","5,311","1,789","3,705","2,349","2,834","2,380","3,280","3,076","2,449","3,030","2,283","3,602","3,542","4,815","4,070"
2020년08월_계_50~59세,"68,639","3,453","2,330","4,785","3,503","1,699","3,847","4,973","1,877","3,536","2,573","2,845","2,463","3,147","3,264","1,754","2,620","2,389","3,163","4,421","5,047","4,950"
2020년08월_계_60~69세,"58,565","3,268","1,978","3,832","3,159","1,354","3,234","4,252","1,665","2,899","2,241","2,514","2,214","2,743","2,537","1,444","2,085","2,176","2,228","4,134","4,569","4,039"
2020년08월_계_70~79세,"37,065","2,129","1,218","2,498","2,107",967,"2,133","2,725","1,161","1,835","1,312","1,528","1,566","1,570","1,654",954,"1,296","1,254","1,324","2,698","2,607","2,529"
2020년08월_계_80~89세,"12,745",692,539,916,642,335,676,907,415,623,389,544,541,562,556,290,436,468,498,"1,050",828,838
2020년08월_계_90~99세,"1,697",95,68,130,96,46,93,113,42,79,61,51,77,76,63,48,68,64,60,171,93,103
2020년08월_계_100세 이상,315,9,23,30,17,10,20,17,9,8,3,9,13,20,15,15,13,10,12,27,20,15
2020년08월_남_총인구수,"250,520","12,134","7,743","14,730","14,359","8,676","16,786","16,760","7,452","12,917","8,947","11,904","9,263","13,158","11,505","11,420","7,867","8,923","14,385","12,281","15,399","13,911"
2020년08월_남_연령구간인구수,"250,520","12,134","7,743","14,730","14,359","8,676","16,786","16,760","7,452","12,917","8,947","11,904","9,263","13,158","11,505","11,420","7,867","8,923","14,385","12,281","15,399","13,911"
2020년08월_남_0~9세,"12,003",649,707,"1,102",624,391,634,"1,187",250,651,569,362,308,445,445,195,641,351,384,514,924,670
2020년08월_남_10~19세,"15,093",791,612,"1,591",705,415,866,"1,330",305,868,388,470,445,587,651,251,744,443,523,861,"1,188","1,059"
2020년08월_남_20~29세,"53,691","2,271","1,007","1,962","3,394","2,671","4,874","2,688","1,880","2,772","1,758","3,332","2,254","3,221","2,748","4,088",901,"1,861","3,791","1,659","2,411","2,148"
2020년08월_남_30~39세,"48,442","2,243","1,329","1,998","3,273","1,982","3,551","2,816","1,653","2,621","2,002","2,701","1,865","2,924","2,232","3,228",966,"1,866","3,284","1,575","2,276","2,057"
2020년08월_남_40~49세,"37,091","1,782","1,307","2,554","1,936","1,092","2,119","2,754",956,"1,865","1,215","1,547","1,282","1,992","1,585","1,410","1,529","1,226","2,435","1,900","2,466","2,139"
2020년08월_남_50~59세,"34,229","1,626","1,136","2,325","1,702",879,"1,923","2,399",941,"1,730","1,182","1,369","1,191","1,672","1,625",973,"1,307","1,267","1,970","2,205","2,408","2,399"
2020년08월_남_60~69세,"27,232","1,503",892,"1,737","1,469",650,"1,493","1,937",773,"1,316","1,008","1,147",979,"1,307","1,196",678,977,"1,066","1,150","1,923","2,110","1,921"
2020년08월_남_70~79세,"17,010",973,527,"1,074",955,448,999,"1,238",517,801,622,722,710,754,751,456,613,612,606,"1,185","1,271","1,176"
2020년08월_남_80~89세,"5,249",274,202,343,274,132,292,383,163,266,192,240,210,242,254,128,165,212,227,412,316,322
2020년08월_남_90~99세,411,21,21,40,21,14,28,22,13,25,11,13,14,12,13,12,18,18,12,42,23,18
2020년08월_남_100세 이상,69,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,1,3,5,6,2
2020년08월_여_총인구수,"248,796","12,620","8,061","15,705","15,230","8,509","18,189","17,489","8,174","13,521","9,566","11,227","9,255","10,794","11,485","10,542","8,097","8,722","9,439","12,273","16,057","13,841"
2020년08월_여_연령구간인구수,"248,796","12,620","8,061","15,705","15,230","8,509","18,189","17,489","8,174","13,521","9,566","11,227","9,255","10,794","11,485","10,542","8,097","8,722","9,439","12,273","16,057","13,841"
2020년08월_여_0~9세,"11,350",630,644,997,614,354,664,"1,040",200,588,495,347,339,425,390,194,616,359,378,467,914,695
2020년08월_여_10~19세,"14,373",715,564,"1,403",726,466,868,"1,294",338,802,440,427,447,564,550,256,727,416,491,774,"1,204",901
2020년08월_여_20~29세,"56,369","2,435",910,"2,023","4,163","2,867","6,312","2,917","2,663","3,068","2,169","3,208","2,202","2,540","3,064","4,365",847,"2,239","2,504","1,416","2,473","1,984"
2020년08월_여_30~39세,"39,462","1,901","1,314","2,018","2,849","1,590","3,150","2,679","1,379","2,383","1,764","1,959","1,404","1,848","1,745","2,431",974,"1,466","1,582","1,245","2,087","1,694"
2020년08월_여_40~49세,"32,416","1,691","1,254","2,596","1,781",946,"1,934","2,557",833,"1,840","1,134","1,287","1,098","1,288","1,491","1,039","1,501","1,057","1,167","1,642","2,349","1,931"
2020년08월_여_50~59세,"34,410","1,827","1,194","2,460","1,801",820,"1,924","2,574",936,"1,806","1,391","1,476","1,272","1,475","1,639",781,"1,313","1,122","1,193","2,216","2,639","2,551"
2020년08월_여_60~69세,"31,333","1,765","1,086","2,095","1,690",704,"1,741","2,315",892,"1,583","1,233","1,367","1,235","1,436","1,341",766,"1,108","1,110","1,078","2,211","2,459","2,118"
2020년08월_여_70~79세,"20,055","1,156",691,"1,424","1,152",519,"1,134","1,487",644,"1,034",690,806,856,816,903,498,683,642,718,"1,513","1,336","1,353"
2020년08월_여_80~89세,"7,496",418,337,573,368,203,384,524,252,357,197,304,331,320,302,162,271,256,271,638,512,516
2020년08월_여_90~99세,"1,286",74,47,90,75,32,65,91,29,54,50,38,63,64,50,36,50,46,48,129,70,85
2020년08월_여_100세 이상,246,8,20,26,11,8,13,11,8,6,3,8,8,18,10,14,7,9,9,22,14,13
