카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년12월_계_총인구수,"416,328","15,001","36,487","1,873","1,729","2,225","4,133","26,619","3,183","24,429","3,778","3,216","30,006","2,239","39,544","14,681","17,039","3,307","3,262","6,325","6,988","4,458","4,386","31,015","19,003","48,598","16,329","46,475"
2020년12월_계_연령구간인구수,"416,328","15,001","36,487","1,873","1,729","2,225","4,133","26,619","3,183","24,429","3,778","3,216","30,006","2,239","39,544","14,681","17,039","3,307","3,262","6,325","6,988","4,458","4,386","31,015","19,003","48,598","16,329","46,475"
2020년12월_계_0~9세,"41,366",890,"3,306",44,14,45,69,"5,632",77,"1,816",70,86,"2,416",76,"3,904","1,087",864,146,283,704,"1,010",627,328,"2,845","2,211","4,891",940,"6,985"
2020년12월_계_10~19세,"44,917","1,161","3,846",63,58,116,150,"2,212",202,"2,495",100,145,"3,497",122,"5,104","1,648","1,961",171,228,479,622,217,343,"3,795","2,550","6,026","1,081","6,525"
2020년12월_계_20~29세,"56,651","1,465","4,653",101,100,151,300,"2,614",256,"3,448",485,326,"4,002",228,"5,202","2,017","2,768",603,435,968,939,679,652,"4,697","2,412","7,119","4,273","5,758"
2020년12월_계_30~39세,"65,718","1,328","4,387",91,80,107,217,"8,068",182,"3,399",528,274,"3,578",163,"5,118","1,690","1,636",500,543,"1,341","1,503","1,120",712,"4,370","2,996","8,709","4,270","8,808"
2020년12월_계_40~49세,"73,143","1,960","5,698",137,143,191,441,"4,315",387,"3,911",703,354,"5,048",284,"7,509","2,435","2,756",451,444,993,"1,170",711,764,"6,123","3,903","9,518","2,714","10,080"
2020년12월_계_50~59세,"69,803","2,988","7,747",365,331,399,823,"2,065",634,"4,495",836,653,"6,039",488,"7,143","3,014","3,904",635,639,"1,144","1,076",643,800,"5,936","3,123","6,940","1,729","5,214"
2020년12월_계_60~69세,"39,469","2,670","4,122",474,426,506,912,998,638,"3,292",646,748,"3,620",514,"3,742","1,834","2,210",466,408,454,496,355,481,"2,103","1,201","3,412",862,"1,879"
2020년12월_계_70~79세,"16,035","1,447","1,626",303,287,393,674,398,463,"1,146",292,432,"1,187",241,"1,241",658,673,249,177,167,123,81,218,746,399,"1,319",311,784
2020년12월_계_80~89세,"8,019",936,946,253,251,276,482,276,306,381,92,177,553,108,506,272,233,75,92,65,44,18,77,340,182,574,122,382
2020년12월_계_90~99세,"1,155",150,149,42,38,39,60,39,36,42,23,20,65,14,74,26,31,11,10,10,5,6,11,58,25,88,25,58
2020년12월_계_100세 이상,52,6,7,0,1,2,5,2,2,4,3,1,1,1,1,0,3,0,3,0,0,1,0,2,1,2,2,2
2020년12월_남_총인구수,"213,720","7,417","18,516",927,885,"1,145","2,152","13,883","1,637","12,058","2,083","1,661","14,737","1,155","20,089","7,256","8,583","1,833","1,777","3,438","3,573","2,459","2,352","16,164","9,906","25,100","8,790","24,144"
2020년12월_남_연령구간인구수,"213,720","7,417","18,516",927,885,"1,145","2,152","13,883","1,637","12,058","2,083","1,661","14,737","1,155","20,089","7,256","8,583","1,833","1,777","3,438","3,573","2,459","2,352","16,164","9,906","25,100","8,790","24,144"
2020년12월_남_0~9세,"21,312",450,"1,725",21,7,21,37,"2,866",50,894,34,49,"1,283",35,"1,984",568,460,73,157,374,501,336,176,"1,421","1,129","2,616",480,"3,565"
2020년12월_남_10~19세,"23,407",584,"2,071",31,24,73,77,"1,142",111,"1,274",47,82,"1,727",62,"2,691",879,"1,067",85,125,239,306,107,169,"1,983","1,378","3,150",545,"3,378"
