카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년09월_계_총인구수,"50,629","22,483","3,264","2,778","2,453","2,522","2,806","2,093","3,239","2,999","5,992"
2021년09월_계_연령구간인구수,"50,629","22,483","3,264","2,778","2,453","2,522","2,806","2,093","3,239","2,999","5,992"
2021년09월_계_0~9세,"2,384","1,528",83,71,63,118,79,54,74,78,236
2021년09월_계_10~19세,"4,153","2,448",148,97,73,136,350,146,210,142,403
2021년09월_계_20~29세,"3,749","2,096",193,172,96,125,148,98,175,184,462
2021년09월_계_30~39세,"3,423","1,938",185,133,110,143,108,71,141,179,415
2021년09월_계_40~49세,"5,996","3,489",277,226,167,233,236,144,280,275,669
2021년09월_계_50~59세,"8,872","3,754",595,482,384,426,421,410,651,550,"1,199"
2021년09월_계_60~69세,"10,339","3,540",779,748,658,593,621,513,736,765,"1,386"
2021년09월_계_70~79세,"6,814","2,376",543,458,456,424,450,364,561,484,698
2021년09월_계_80~89세,"4,317","1,173",389,343,390,286,351,264,367,295,459
2021년09월_계_90~99세,572,138,70,48,54,38,41,29,44,47,63
2021년09월_계_100세 이상,10,3,2,0,2,0,1,0,0,0,2
2021년09월_남_총인구수,"25,563","11,041","1,689","1,458","1,235","1,257","1,422","1,077","1,624","1,572","3,188"
2021년09월_남_연령구간인구수,"25,563","11,041","1,689","1,458","1,235","1,257","1,422","1,077","1,624","1,572","3,188"
2021년09월_남_0~9세,"1,212",757,51,40,30,52,45,27,45,38,127
2021년09월_남_10~19세,"2,160","1,244",81,63,33,71,167,81,118,80,222
2021년09월_남_20~29세,"2,179","1,192",124,107,56,72,96,64,84,108,276
2021년09월_남_30~39세,"1,804",976,106,80,72,79,54,34,65,86,252
2021년09월_남_40~49세,"3,290","1,813",158,147,109,125,138,84,158,171,387
2021년09월_남_50~59세,"4,907","1,925",352,280,245,256,255,234,373,320,667
2021년09월_남_60~69세,"5,307","1,684",403,392,339,313,332,290,394,413,747
2021년09월_남_70~79세,"3,135","1,006",262,229,215,191,212,166,260,248,346
2021년09월_남_80~89세,"1,432",416,134,108,122,90,111,92,117,96,146
2021년09월_남_90~99세,136,28,17,12,14,8,12,5,10,12,18
2021년09월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"25,066","11,442","1,575","1,320","1,218","1,265","1,384","1,016","1,615","1,427","2,804"
2021년09월_여_연령구간인구수,"25,066","11,442","1,575","1,320","1,218","1,265","1,384","1,016","1,615","1,427","2,804"
2021년09월_여_0~9세,"1,172",771,32,31,33,66,34,27,29,40,109
2021년09월_여_10~19세,"1,993","1,204",67,34,40,65,183,65,92,62,181
2021년09월_여_20~29세,"1,570",904,69,65,40,53,52,34,91,76,186
2021년09월_여_30~39세,"1,619",962,79,53,38,64,54,37,76,93,163
2021년09월_여_40~49세,"2,706","1,676",119,79,58,108,98,60,122,104,282
2021년09월_여_50~59세,"3,965","1,829",243,202,139,170,166,176,278,230,532
2021년09월_여_60~69세,"5,032","1,856",376,356,319,280,289,223,342,352,639
2021년09월_여_70~79세,"3,679","1,370",281,229,241,233,238,198,301,236,352
2021년09월_여_80~89세,"2,885",757,255,235,268,196,240,172,250,199,313
2021년09월_여_90~99세,436,110,53,36,40,30,29,24,34,35,45
2021년09월_여_100세 이상,9,3,1,0,2,0,1,0,0,0,2
