카테고리,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년02월_계_총인구수,"271,528","32,996","10,643","25,080","19,109","15,590","38,526","10,945","29,077","15,364","15,147","28,809","14,846","15,396"
2020년02월_계_연령구간인구수,"271,528","32,996","10,643","25,080","19,109","15,590","38,526","10,945","29,077","15,364","15,147","28,809","14,846","15,396"
2020년02월_계_0~9세,"19,986","2,724",395,"2,683","1,077",935,"2,605",864,"2,743","1,092",847,"2,106","1,041",874
2020년02월_계_10~19세,"25,322","2,923",728,"3,194","1,140","1,520","2,966","1,033","4,254","1,410","1,042","2,937","1,101","1,074"
2020년02월_계_20~29세,"33,519","4,052","1,222","2,629","2,814","1,839","5,597","1,335","3,323","1,691","1,837","3,421","1,764","1,995"
2020년02월_계_30~39세,"33,930","4,440",950,"3,276","3,124","1,523","5,310","1,464","3,081","1,699","1,745","3,419","1,922","1,977"
2020년02월_계_40~49세,"43,310","5,084","1,382","5,009","3,071","2,241","5,660","1,788","5,837","2,526","2,136","4,607","2,028","1,941"
2020년02월_계_50~59세,"45,275","5,389","1,923","3,609","2,966","2,611","6,672","1,753","4,749","2,493","2,671","5,003","2,583","2,853"
2020년02월_계_60~69세,"39,682","4,742","2,040","2,599","2,552","2,514","5,679","1,428","3,120","2,412","2,746","4,409","2,580","2,861"
2020년02월_계_70~79세,"21,562","2,595","1,338","1,457","1,600","1,601","2,900",893,"1,445","1,495","1,519","2,059","1,315","1,345"
2020년02월_계_80~89세,"7,786",913,573,534,646,689,"1,001",341,458,486,537,749,445,414
2020년02월_계_90~99세,"1,020",118,71,81,92,111,119,44,63,55,61,86,61,58
2020년02월_계_100세 이상,136,16,21,9,27,6,17,2,4,5,6,13,6,4
2020년02월_남_총인구수,"132,345","16,173","5,176","12,222","9,066","7,532","18,852","5,270","14,116","7,590","7,514","14,064","7,245","7,525"
2020년02월_남_연령구간인구수,"132,345","16,173","5,176","12,222","9,066","7,532","18,852","5,270","14,116","7,590","7,514","14,064","7,245","7,525"
2020년02월_남_0~9세,"10,310","1,394",203,"1,382",531,454,"1,349",442,"1,391",613,475,"1,083",541,452
2020년02월_남_10~19세,"13,274","1,589",393,"1,767",566,819,"1,553",492,"2,129",768,557,"1,524",533,584
2020년02월_남_20~29세,"17,596","2,194",662,"1,330","1,276","1,010","2,840",714,"1,788",909,969,"1,880",937,"1,087"
2020년02월_남_30~39세,"17,041","2,233",523,"1,517","1,567",773,"2,730",733,"1,430",851,926,"1,732",978,"1,048"
2020년02월_남_40~49세,"21,051","2,495",708,"2,408","1,529","1,070","2,729",880,"2,688","1,275","1,133","2,164","1,032",940
2020년02월_남_50~59세,"21,457","2,517",918,"1,749","1,432","1,209","3,166",840,"2,351","1,216","1,252","2,345","1,193","1,269"
2020년02월_남_60~69세,"18,488","2,198",964,"1,189","1,188","1,154","2,697",629,"1,509","1,103","1,260","2,070","1,217","1,310"
2020년02월_남_70~79세,"9,968","1,182",578,663,705,742,"1,343",402,684,672,713,978,636,670
2020년02월_남_80~89세,"2,909",336,212,199,247,272,411,131,134,174,213,265,162,153
2020년02월_남_90~99세,229,27,15,17,22,27,33,6,11,9,14,23,14,11
2020년02월_남_100세 이상,22,8,0,1,3,2,1,1,1,0,2,0,2,1
2020년02월_여_총인구수,"139,183","16,823","5,467","12,858","10,043","8,058","19,674","5,675","14,961","7,774","7,633","14,745","7,601","7,871"
2020년02월_여_연령구간인구수,"139,183","16,823","5,467","12,858","10,043","8,058","19,674","5,675","14,961","7,774","7,633","14,745","7,601","7,871"
2020년02월_여_0~9세,"9,676","1,330",192,"1,301",546,481,"1,256",422,"1,352",479,372,"1,023",500,422
2020년02월_여_10~19세,"12,048","1,334",335,"1,427",574,701,"1,413",541,"2,125",642,485,"1,413",568,490
2020년02월_여_20~29세,"15,923","1,858",560,"1,299","1,538",829,"2,757",621,"1,535",782,868,"1,541",827,908
2020년02월_여_30~39세,"16,889","2,207",427,"1,759","1,557",750,"2,580",731,"1,651",848,819,"1,687",944,929
2020년02월_여_40~49세,"22,259","2,589",674,"2,601","1,542","1,171","2,931",908,"3,149","1,251","1,003","2,443",996,"1,001"
2020년02월_여_50~59세,"23,818","2,872","1,005","1,860","1,534","1,402","3,506",913,"2,398","1,277","1,419","2,658","1,390","1,584"
2020년02월_여_60~69세,"21,194","2,544","1,076","1,410","1,364","1,360","2,982",799,"1,611","1,309","1,486","2,339","1,363","1,551"
2020년02월_여_70~79세,"11,594","1,413",760,794,895,859,"1,557",491,761,823,806,"1,081",679,675
2020년02월_여_80~89세,"4,877",577,361,335,399,417,590,210,324,312,324,484,283,261
2020년02월_여_90~99세,791,91,56,64,70,84,86,38,52,46,47,63,47,47
2020년02월_여_100세 이상,114,8,21,8,24,4,16,1,3,5,4,13,4,3
