,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년04월_계_총인구수,"99,755","38,043","8,457","28,796","3,492","3,438","2,916","2,287","2,092","3,234","3,536","3,464"
2021년04월_계_연령구간인구수,"99,755","38,043","8,457","28,796","3,492","3,438","2,916","2,287","2,092","3,234","3,536","3,464"
2021년04월_계_0~9세,"7,621","2,439",280,"4,329",91,126,71,39,19,72,75,80
2021년04월_계_10~19세,"9,534","4,258",519,"3,716",121,222,116,61,63,137,148,173
2021년04월_계_20~29세,"9,450","4,770",556,"2,704",223,228,142,122,110,204,201,190
2021년04월_계_30~39세,"10,293","3,538",465,"5,045",199,192,140,91,94,139,195,195
2021년04월_계_40~49세,"14,399","6,020",785,"5,492",330,356,224,176,122,280,276,338
2021년04월_계_50~59세,"15,788","6,743","1,444","3,507",632,567,453,364,359,533,562,624
2021년04월_계_60~69세,"15,190","5,328","1,859","2,211",810,731,656,549,521,813,863,849
2021년04월_계_70~79세,"10,085","3,126","1,554","1,068",582,528,558,460,421,600,630,558
2021년04월_계_80~89세,"6,474","1,594",866,633,437,438,510,353,337,389,511,406
2021년04월_계_90~99세,896,219,123,90,67,48,46,72,44,63,74,50
2021년04월_계_100세 이상,25,8,6,1,0,2,0,0,2,4,1,1
2021년04월_남_총인구수,"49,627","18,838","4,139","14,434","1,785","1,725","1,404","1,158","1,030","1,585","1,777","1,752"
2021년04월_남_연령구간인구수,"49,627","18,838","4,139","14,434","1,785","1,725","1,404","1,158","1,030","1,585","1,777","1,752"
2021년04월_남_0~9세,"3,979","1,261",146,"2,255",50,76,38,21,8,34,46,44
2021년04월_남_10~19세,"4,893","2,188",293,"1,891",68,107,57,31,29,64,80,85
2021년04월_남_20~29세,"5,184","2,612",330,"1,361",135,151,84,79,74,121,122,115
2021년04월_남_30~39세,"5,327","1,842",258,"2,488",129,103,83,58,65,79,119,103
2021년04월_남_40~49세,"7,526","2,944",453,"2,809",205,198,139,114,83,183,189,209
2021년04월_남_50~59세,"8,264","3,461",735,"1,843",352,310,249,208,189,276,297,344
2021년04월_남_60~69세,"7,466","2,533",900,"1,063",423,383,324,283,256,407,442,452
2021년04월_남_70~79세,"4,492","1,386",678,494,250,244,235,217,191,265,274,258
2021년04월_남_80~89세,"2,272",551,310,215,156,143,182,131,127,139,185,133
2021년04월_남_90~99세,221,58,36,15,17,10,13,16,8,16,23,9
2021년04월_남_100세 이상,3,2,0,0,0,0,0,0,0,1,0,0
2021년04월_여_총인구수,"50,128","19,205","4,318","14,362","1,707","1,713","1,512","1,129","1,062","1,649","1,759","1,712"
2021년04월_여_연령구간인구수,"50,128","19,205","4,318","14,362","1,707","1,713","1,512","1,129","1,062","1,649","1,759","1,712"
2021년04월_여_0~9세,"3,642","1,178",134,"2,074",41,50,33,18,11,38,29,36
2021년04월_여_10~19세,"4,641","2,070",226,"1,825",53,115,59,30,34,73,68,88
2021년04월_여_20~29세,"4,266","2,158",226,"1,343",88,77,58,43,36,83,79,75
2021년04월_여_30~39세,"4,966","1,696",207,"2,557",70,89,57,33,29,60,76,92
2021년04월_여_40~49세,"6,873","3,076",332,"2,683",125,158,85,62,39,97,87,129
2021년04월_여_50~59세,"7,524","3,282",709,"1,664",280,257,204,156,170,257,265,280
2021년04월_여_60~69세,"7,724","2,795",959,"1,148",387,348,332,266,265,406,421,397
2021년04월_여_70~79세,"5,593","1,740",876,574,332,284,323,243,230,335,356,300
2021년04월_여_80~89세,"4,202","1,043",556,418,281,295,328,222,210,250,326,273
2021년04월_여_90~99세,675,161,87,75,50,38,33,56,36,47,51,41
2021년04월_여_100세 이상,22,6,6,1,0,2,0,0,2,3,1,1
