,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년09월_계_총인구수,"90,073","30,435","3,778","19,967","4,988","5,158","3,380","3,115","12,899","3,518","2,835"
2021년09월_계_연령구간인구수,"90,073","30,435","3,778","19,967","4,988","5,158","3,380","3,115","12,899","3,518","2,835"
2021년09월_계_0~9세,"6,346","2,608",123,"1,514",173,298,88,94,"1,217",156,75
2021년09월_계_10~19세,"8,573","3,191",210,"2,546",334,432,158,162,"1,183",186,171
2021년09월_계_20~29세,"9,297","3,406",508,"2,326",441,472,245,180,"1,252",255,212
2021년09월_계_30~39세,"8,780","3,474",272,"1,969",331,417,186,166,"1,536",253,176
2021년09월_계_40~49세,"14,312","5,066",485,"3,757",654,726,415,393,"2,081",426,309
2021년09월_계_50~59세,"15,674","5,099",648,"3,647",891,933,562,512,"2,207",607,568
2021년09월_계_60~69세,"14,592","4,662",751,"2,395","1,106",947,794,696,"1,867",750,624
2021년09월_계_70~79세,"7,960","1,944",449,"1,188",714,637,590,567,936,518,417
2021년09월_계_80~89세,"3,964",849,281,552,305,274,296,323,531,315,238
2021년09월_계_90~99세,561,136,49,73,38,20,44,21,87,50,43
2021년09월_계_100세 이상,14,0,2,0,1,2,2,1,2,2,2
2021년09월_남_총인구수,"45,730","15,168","2,053","10,328","2,426","2,607","1,719","1,549","6,620","1,772","1,488"
2021년09월_남_연령구간인구수,"45,730","15,168","2,053","10,328","2,426","2,607","1,719","1,549","6,620","1,772","1,488"
2021년09월_남_0~9세,"3,253","1,351",55,775,94,151,45,51,616,77,38
2021년09월_남_10~19세,"4,470","1,607",121,"1,365",179,226,77,90,615,98,92
2021년09월_남_20~29세,"5,460","1,947",343,"1,392",243,265,155,99,726,155,135
2021년09월_남_30~39세,"4,719","1,860",162,"1,036",163,220,124,91,806,143,114
2021년09월_남_40~49세,"7,470","2,512",292,"1,872",362,419,252,237,"1,087",252,185
2021년09월_남_50~59세,"8,129","2,428",370,"1,930",446,492,309,298,"1,192",320,344
2021년09월_남_60~69세,"7,069","2,223",376,"1,182",520,441,373,320,936,378,320
2021년09월_남_70~79세,"3,594",916,212,542,307,281,270,226,438,230,172
2021년09월_남_80~89세,"1,450",292,110,219,107,106,101,131,194,112,78
2021년09월_남_90~99세,114,32,12,15,5,5,13,6,10,7,9
2021년09월_남_100세 이상,2,0,0,0,0,1,0,0,0,0,1
2021년09월_여_총인구수,"44,343","15,267","1,725","9,639","2,562","2,551","1,661","1,566","6,279","1,746","1,347"
2021년09월_여_연령구간인구수,"44,343","15,267","1,725","9,639","2,562","2,551","1,661","1,566","6,279","1,746","1,347"
2021년09월_여_0~9세,"3,093","1,257",68,739,79,147,43,43,601,79,37
2021년09월_여_10~19세,"4,103","1,584",89,"1,181",155,206,81,72,568,88,79
2021년09월_여_20~29세,"3,837","1,459",165,934,198,207,90,81,526,100,77
2021년09월_여_30~39세,"4,061","1,614",110,933,168,197,62,75,730,110,62
2021년09월_여_40~49세,"6,842","2,554",193,"1,885",292,307,163,156,994,174,124
2021년09월_여_50~59세,"7,545","2,671",278,"1,717",445,441,253,214,"1,015",287,224
2021년09월_여_60~69세,"7,523","2,439",375,"1,213",586,506,421,376,931,372,304
2021년09월_여_70~79세,"4,366","1,028",237,646,407,356,320,341,498,288,245
2021년09월_여_80~89세,"2,514",557,171,333,198,168,195,192,337,203,160
2021년09월_여_90~99세,447,104,37,58,33,15,31,15,77,43,34
2021년09월_여_100세 이상,12,0,2,0,1,1,2,1,2,2,1
