,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년03월_계_총인구수,"317,933","6,511","76,844","4,236","21,987","20,240","21,879","5,498","6,497","3,082","4,443","19,953","9,456","10,818","36,856","18,782","21,658","29,193"
2021년03월_계_연령구간인구수,"317,933","6,511","76,844","4,236","21,987","20,240","21,879","5,498","6,497","3,082","4,443","19,953","9,456","10,818","36,856","18,782","21,658","29,193"
2021년03월_계_0~9세,"32,393",355,"9,500",204,"2,931","2,555","2,476",138,315,58,107,"1,538",885,426,"3,943","1,518","2,197","3,247"
2021년03월_계_10~19세,"34,704",499,"9,410",353,"3,040","1,784","1,448",262,401,106,174,"2,083",736,785,"4,835","2,423","2,775","3,590"
2021년03월_계_20~29세,"36,899",544,"9,696",311,"2,834","2,107","2,432",412,547,182,345,"2,397","1,095","1,684","4,519","2,154","2,742","2,898"
2021년03월_계_30~39세,"48,118",614,"14,040",272,"3,997","3,604","4,646",388,611,175,305,"2,276","1,728","1,244","5,043","2,126","2,912","4,137"
2021년03월_계_40~49세,"56,977",881,"14,796",542,"4,712","3,521","3,599",581,950,260,392,"3,478","1,516","1,462","7,059","3,480","4,080","5,668"
2021년03월_계_50~59세,"46,564","1,141","9,909",751,"2,434","2,808","3,042",973,"1,253",512,840,"3,224","1,334","2,011","5,338","3,223","3,375","4,396"
2021년03월_계_60~69세,"32,962","1,177","5,529",813,"1,093","2,220","2,371","1,256","1,158",768,998,"2,509","1,145","1,681","3,376","2,080","1,956","2,832"
2021년03월_계_70~79세,"18,063",722,"2,573",580,585,981,"1,136",827,689,564,727,"1,529",663,"1,000","1,776","1,146","1,057","1,508"
2021년03월_계_80~89세,"9,871",509,"1,202",346,315,566,631,580,501,406,500,820,299,463,852,558,494,829
2021년03월_계_90~99세,"1,329",66,179,58,46,92,97,80,72,49,54,94,53,58,109,70,66,86
2021년03월_계_100세 이상,53,3,10,6,0,2,1,1,0,2,1,5,2,4,6,4,4,2
2021년03월_남_총인구수,"165,144","3,404","39,457","2,175","11,924","10,942","12,310","2,908","3,612","1,599","2,281","10,427","4,941","5,623","18,388","9,575","11,084","14,494"
2021년03월_남_연령구간인구수,"165,144","3,404","39,457","2,175","11,924","10,942","12,310","2,908","3,612","1,599","2,281","10,427","4,941","5,623","18,388","9,575","11,084","14,494"
2021년03월_남_0~9세,"16,612",176,"4,867",109,"1,505","1,269","1,288",68,169,35,48,781,451,202,"2,026",818,"1,164","1,636"
2021년03월_남_10~19세,"17,849",259,"4,828",185,"1,568",937,732,154,221,57,86,"1,061",394,414,"2,431","1,257","1,459","1,806"
2021년03월_남_20~29세,"20,541",327,"5,109",171,"1,655","1,306","1,463",259,348,99,200,"1,398",569,975,"2,372","1,230","1,553","1,507"
2021년03월_남_30~39세,"25,707",375,"7,247",148,"2,101","1,992","2,800",240,392,112,185,"1,221",957,748,"2,508","1,103","1,515","2,063"
2021년03월_남_40~49세,"30,979",514,"7,829",302,"2,701","2,084","2,277",357,611,165,236,"1,886",872,800,"3,616","1,778","2,056","2,895"
2021년03월_남_50~59세,"25,185",616,"5,221",424,"1,464","1,544","1,726",549,750,304,477,"1,791",715,"1,034","2,785","1,689","1,757","2,339"
2021년03월_남_60~69세,"16,457",591,"2,750",416,553,"1,143","1,271",676,614,376,520,"1,301",567,811,"1,568",999,943,"1,358"
2021년03월_남_70~79세,"8,038",346,"1,150",281,261,470,527,376,318,282,333,663,297,449,743,496,435,611
2021년03월_남_80~89세,"3,470",186,414,125,109,182,206,211,173,156,185,297,112,174,310,188,185,257
2021년03월_남_90~99세,298,14,38,13,7,15,20,18,16,12,11,28,7,15,29,17,17,21
2021년03월_남_100세 이상,8,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2021년03월_여_총인구수,"152,789","3,107","37,387","2,061","10,063","9,298","9,569","2,590","2,885","1,483","2,162","9,526","4,515","5,195","18,468","9,207","10,574","14,699"
2021년03월_여_연령구간인구수,"152,789","3,107","37,387","2,061","10,063","9,298","9,569","2,590","2,885","1,483","2,162","9,526","4,515","5,195","18,468","9,207","10,574","14,699"
2021년03월_여_0~9세,"15,781",179,"4,633",95,"1,426","1,286","1,188",70,146,23,59,757,434,224,"1,917",700,"1,033","1,611"
2021년03월_여_10~19세,"16,855",240,"4,582",168,"1,472",847,716,108,180,49,88,"1,022",342,371,"2,404","1,166","1,316","1,784"
2021년03월_여_20~29세,"16,358",217,"4,587",140,"1,179",801,969,153,199,83,145,999,526,709,"2,147",924,"1,189","1,391"
2021년03월_여_30~39세,"22,411",239,"6,793",124,"1,896","1,612","1,846",148,219,63,120,"1,055",771,496,"2,535","1,023","1,397","2,074"
2021년03월_여_40~49세,"25,998",367,"6,967",240,"2,011","1,437","1,322",224,339,95,156,"1,592",644,662,"3,443","1,702","2,024","2,773"
2021년03월_여_50~59세,"21,379",525,"4,688",327,970,"1,264","1,316",424,503,208,363,"1,433",619,977,"2,553","1,534","1,618","2,057"
2021년03월_여_60~69세,"16,505",586,"2,779",397,540,"1,077","1,100",580,544,392,478,"1,208",578,870,"1,808","1,081","1,013","1,474"
2021년03월_여_70~79세,"10,025",376,"1,423",299,324,511,609,451,371,282,394,866,366,551,"1,033",650,622,897
2021년03월_여_80~89세,"6,401",323,788,221,206,384,425,369,328,250,315,523,187,289,542,370,309,572
2021년03월_여_90~99세,"1,031",52,141,45,39,77,77,62,56,37,43,66,46,43,80,53,49,65
2021년03월_여_100세 이상,45,3,6,5,0,2,1,1,0,1,1,5,2,3,6,4,4,1
