,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년11월_계_총인구수,"51,926","11,143","13,744","4,947","2,281","1,670","2,540","1,507","1,295","1,258","2,132","2,043","2,962","4,404"
2020년11월_계_연령구간인구수,"51,926","11,143","13,744","4,947","2,281","1,670","2,540","1,507","1,295","1,258","2,132","2,043","2,962","4,404"
2020년11월_계_0~9세,"2,312",560,"1,010",168,50,29,60,52,29,31,38,44,48,193
2020년11월_계_10~19세,"3,499",877,"1,529",214,54,54,111,70,56,26,67,83,100,258
2020년11월_계_20~29세,"3,886","1,055","1,338",292,95,89,138,81,64,36,95,101,206,296
2020년11월_계_30~39세,"3,491",874,"1,143",311,116,60,113,76,64,55,92,102,152,333
2020년11월_계_40~49세,"5,847","1,547","1,991",486,153,140,227,104,79,95,146,151,247,481
2020년11월_계_50~59세,"8,544","1,937","2,284",810,314,249,370,222,177,191,344,309,546,791
2020년11월_계_60~69세,"10,189","1,975","2,072","1,061",523,369,528,340,302,309,529,501,697,983
2020년11월_계_70~79세,"8,047","1,475","1,414",932,477,346,509,296,249,286,423,399,563,678
2020년11월_계_80~89세,"5,237",739,807,581,432,276,413,233,240,203,342,291,335,345
2020년11월_계_90~99세,830,99,148,87,61,57,68,32,34,25,53,58,64,44
2020년11월_계_100세 이상,44,5,8,5,6,1,3,1,1,1,3,4,4,2
2020년11월_남_총인구수,"25,666","5,575","6,712","2,476","1,101",822,"1,185",722,632,642,"1,038",987,"1,461","2,313"
2020년11월_남_연령구간인구수,"25,666","5,575","6,712","2,476","1,101",822,"1,185",722,632,642,"1,038",987,"1,461","2,313"
2020년11월_남_0~9세,"1,158",276,501,90,29,11,26,25,15,21,16,24,28,96
2020년11월_남_10~19세,"1,809",453,796,108,34,28,52,35,30,16,35,39,49,134
2020년11월_남_20~29세,"2,263",602,754,160,62,55,77,50,36,25,55,63,141,183
2020년11월_남_30~39세,"1,961",464,568,186,72,38,67,47,43,31,62,64,96,223
2020년11월_남_40~49세,"3,208",824,959,304,98,96,122,63,45,64,81,84,152,316
2020년11월_남_50~59세,"4,640","1,078","1,173",470,161,139,201,118,103,116,183,183,286,429
2020년11월_남_60~69세,"4,962",943,996,532,259,179,249,170,157,146,259,246,328,498
2020년11월_남_70~79세,"3,571",625,636,396,216,161,226,136,107,139,209,181,259,280
2020년11월_남_80~89세,"1,894",285,288,210,154,102,148,70,85,82,130,88,109,143
2020년11월_남_90~99세,190,25,38,19,13,13,17,8,11,2,8,13,13,10
2020년11월_남_100세 이상,10,0,3,1,3,0,0,0,0,0,0,2,0,1
2020년11월_여_총인구수,"26,260","5,568","7,032","2,471","1,180",848,"1,355",785,663,616,"1,094","1,056","1,501","2,091"
2020년11월_여_연령구간인구수,"26,260","5,568","7,032","2,471","1,180",848,"1,355",785,663,616,"1,094","1,056","1,501","2,091"
2020년11월_여_0~9세,"1,154",284,509,78,21,18,34,27,14,10,22,20,20,97
2020년11월_여_10~19세,"1,690",424,733,106,20,26,59,35,26,10,32,44,51,124
2020년11월_여_20~29세,"1,623",453,584,132,33,34,61,31,28,11,40,38,65,113
2020년11월_여_30~39세,"1,530",410,575,125,44,22,46,29,21,24,30,38,56,110
2020년11월_여_40~49세,"2,639",723,"1,032",182,55,44,105,41,34,31,65,67,95,165
2020년11월_여_50~59세,"3,904",859,"1,111",340,153,110,169,104,74,75,161,126,260,362
2020년11월_여_60~69세,"5,227","1,032","1,076",529,264,190,279,170,145,163,270,255,369,485
2020년11월_여_70~79세,"4,476",850,778,536,261,185,283,160,142,147,214,218,304,398
2020년11월_여_80~89세,"3,343",454,519,371,278,174,265,163,155,121,212,203,226,202
2020년11월_여_90~99세,640,74,110,68,48,44,51,24,23,23,45,45,51,34
2020년11월_여_100세 이상,34,5,5,4,3,1,3,1,1,1,3,2,4,1
