카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년02월_계_총인구수,"94,909","17,295","20,601","2,972","3,106","13,197","15,718","7,125","4,630","10,265"
2020년02월_계_연령구간인구수,"94,909","17,295","20,601","2,972","3,106","13,197","15,718","7,125","4,630","10,265"
2020년02월_계_0~9세,"6,502",990,"1,492",56,77,"1,682","1,203",279,190,533
2020년02월_계_10~19세,"8,010","1,474","2,144",121,138,973,"1,636",462,236,826
2020년02월_계_20~29세,"9,895","1,811","2,349",185,200,"1,463","1,798",658,373,"1,058"
2020년02월_계_30~39세,"10,344","1,637","2,212",172,178,"2,452","1,791",638,338,926
2020년02월_계_40~49세,"14,264","2,432","3,483",246,242,"2,211","2,872",929,512,"1,337"
2020년02월_계_50~59세,"17,972","3,326","3,926",562,573,"1,825","3,151","1,598",960,"2,051"
2020년02월_계_60~69세,"14,409","2,902","2,661",677,757,"1,413","1,830","1,347",998,"1,824"
2020년02월_계_70~79세,"8,245","1,730","1,442",535,553,744,887,723,585,"1,046"
2020년02월_계_80~89세,"4,540",866,772,370,328,350,476,431,377,570
2020년02월_계_90~99세,674,121,105,46,58,68,74,56,57,89
2020년02월_계_100세 이상,54,6,15,2,2,16,0,4,4,5
2020년02월_남_총인구수,"50,219","8,825","10,932","1,535","1,607","7,065","8,565","3,930","2,526","5,234"
2020년02월_남_연령구간인구수,"50,219","8,825","10,932","1,535","1,607","7,065","8,565","3,930","2,526","5,234"
2020년02월_남_0~9세,"3,377",501,784,31,38,889,610,164,103,257
2020년02월_남_10~19세,"4,192",745,"1,177",68,85,498,854,251,112,402
2020년02월_남_20~29세,"5,714","1,017","1,395",115,107,767,"1,066",397,246,604
2020년02월_남_30~39세,"5,765",910,"1,210",106,105,"1,307","1,038",396,201,492
2020년02월_남_40~49세,"8,050","1,299","1,901",159,159,"1,260","1,591",599,326,756
2020년02월_남_50~59세,"9,939","1,780","2,179",307,315,994,"1,839",902,553,"1,070"
2020년02월_남_60~69세,"7,590","1,458","1,354",360,415,812,976,725,551,939
2020년02월_남_70~79세,"3,865",791,636,240,264,374,412,340,292,516
2020년02월_남_80~89세,"1,538",285,270,141,103,135,160,141,125,178
2020년02월_남_90~99세,164,36,23,8,15,15,19,13,15,20
2020년02월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년02월_여_총인구수,"44,690","8,470","9,669","1,437","1,499","6,132","7,153","3,195","2,104","5,031"
2020년02월_여_연령구간인구수,"44,690","8,470","9,669","1,437","1,499","6,132","7,153","3,195","2,104","5,031"
2020년02월_여_0~9세,"3,125",489,708,25,39,793,593,115,87,276
2020년02월_여_10~19세,"3,818",729,967,53,53,475,782,211,124,424
2020년02월_여_20~29세,"4,181",794,954,70,93,696,732,261,127,454
2020년02월_여_30~39세,"4,579",727,"1,002",66,73,"1,145",753,242,137,434
2020년02월_여_40~49세,"6,214","1,133","1,582",87,83,951,"1,281",330,186,581
2020년02월_여_50~59세,"8,033","1,546","1,747",255,258,831,"1,312",696,407,981
2020년02월_여_60~69세,"6,819","1,444","1,307",317,342,601,854,622,447,885
2020년02월_여_70~79세,"4,380",939,806,295,289,370,475,383,293,530
2020년02월_여_80~89세,"3,002",581,502,229,225,215,316,290,252,392
2020년02월_여_90~99세,510,85,82,38,43,53,55,43,42,69
2020년02월_여_100세 이상,29,3,12,2,1,2,0,2,2,5
