카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년09월_계_총인구수,"64,085","12,435","9,831",616,229,"3,187","2,987","4,394","3,896","4,962","1,901","2,657","3,344","2,324","3,145","2,289","3,107","1,291","1,490"
2020년09월_계_연령구간인구수,"64,085","12,435","9,831",616,229,"3,187","2,987","4,394","3,896","4,962","1,901","2,657","3,344","2,324","3,145","2,289","3,107","1,291","1,490"
2020년09월_계_0~9세,"2,624","1,025",524,25,4,70,75,130,86,123,57,45,85,59,120,64,71,27,34
2020년09월_계_10~19세,"3,936","1,460",764,20,13,99,138,203,177,232,91,99,129,106,126,66,102,47,64
2020년09월_계_20~29세,"4,198","1,235",758,13,10,150,147,236,203,257,83,113,233,130,208,119,147,67,89
2020년09월_계_30~39세,"3,746","1,183",729,25,15,144,152,191,151,216,65,95,153,119,166,107,111,49,75
2020년09월_계_40~49세,"6,397","1,876","1,213",30,34,225,234,371,331,439,164,200,259,154,279,147,216,91,134
2020년09월_계_50~59세,"10,330","1,939","1,684",34,43,496,500,694,648,819,304,430,593,366,481,408,444,198,249
2020년09월_계_60~69세,"12,613","1,762","1,866",96,28,706,611,933,847,"1,050",410,583,720,569,678,496,635,270,353
2020년09월_계_70~79세,"11,482","1,202","1,478",189,44,723,585,941,818,"1,035",414,576,624,458,577,472,747,312,287
2020년09월_계_80~89세,"7,477",621,706,158,36,483,465,622,543,687,265,417,464,312,433,353,536,192,184
2020년09월_계_90~99세,"1,232",124,104,26,2,91,79,71,86,96,46,98,80,49,73,55,94,37,21
2020년09월_계_100세 이상,50,8,5,0,0,0,1,2,6,8,2,1,4,2,4,2,4,1,0
2020년09월_남_총인구수,"31,117","6,137","4,810",312,118,"1,587","1,432","2,132","1,872","2,382",925,"1,248","1,591","1,086","1,544","1,099","1,459",623,760
2020년09월_남_연령구간인구수,"31,117","6,137","4,810",312,118,"1,587","1,432","2,132","1,872","2,382",925,"1,248","1,591","1,086","1,544","1,099","1,459",623,760
2020년09월_남_0~9세,"1,302",508,261,11,0,33,38,67,31,61,30,18,45,26,70,31,39,12,21
2020년09월_남_10~19세,"2,091",781,398,10,5,54,67,108,77,124,43,58,75,61,69,41,57,28,35
2020년09월_남_20~29세,"2,469",710,418,3,8,108,81,144,132,152,48,72,130,81,126,76,78,45,57
2020년09월_남_30~39세,"2,043",573,384,12,11,96,94,109,97,119,34,57,90,59,97,69,70,33,39
2020년09월_남_40~49세,"3,731",947,655,17,29,159,143,226,210,277,111,132,164,90,173,103,141,61,93
2020년09월_남_50~59세,"5,714","1,020",891,18,25,308,297,383,350,460,183,242,314,205,282,224,258,110,144
2020년09월_남_60~69세,"6,252",834,899,53,13,362,333,450,410,500,207,292,370,286,334,259,315,145,190
2020년09월_남_70~79세,"4,926",541,649,108,17,297,233,402,392,434,173,246,246,182,243,194,318,125,126
2020년09월_남_80~89세,"2,316",202,237,72,10,149,131,223,159,228,84,113,133,90,121,95,165,54,50
2020년09월_남_90~99세,266,19,17,8,0,21,15,19,14,26,11,18,24,6,29,6,18,10,5
2020년09월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년09월_여_총인구수,"32,968","6,298","5,021",304,111,"1,600","1,555","2,262","2,024","2,580",976,"1,409","1,753","1,238","1,601","1,190","1,648",668,730
2020년09월_여_연령구간인구수,"32,968","6,298","5,021",304,111,"1,600","1,555","2,262","2,024","2,580",976,"1,409","1,753","1,238","1,601","1,190","1,648",668,730
2020년09월_여_0~9세,"1,322",517,263,14,4,37,37,63,55,62,27,27,40,33,50,33,32,15,13
2020년09월_여_10~19세,"1,845",679,366,10,8,45,71,95,100,108,48,41,54,45,57,25,45,19,29
2020년09월_여_20~29세,"1,729",525,340,10,2,42,66,92,71,105,35,41,103,49,82,43,69,22,32
2020년09월_여_30~39세,"1,703",610,345,13,4,48,58,82,54,97,31,38,63,60,69,38,41,16,36
2020년09월_여_40~49세,"2,666",929,558,13,5,66,91,145,121,162,53,68,95,64,106,44,75,30,41
2020년09월_여_50~59세,"4,616",919,793,16,18,188,203,311,298,359,121,188,279,161,199,184,186,88,105
2020년09월_여_60~69세,"6,361",928,967,43,15,344,278,483,437,550,203,291,350,283,344,237,320,125,163
2020년09월_여_70~79세,"6,556",661,829,81,27,426,352,539,426,601,241,330,378,276,334,278,429,187,161
2020년09월_여_80~89세,"5,161",419,469,86,26,334,334,399,384,459,181,304,331,222,312,258,371,138,134
2020년09월_여_90~99세,966,105,87,18,2,70,64,52,72,70,35,80,56,43,44,49,76,27,16
2020년09월_여_100세 이상,43,6,4,0,0,0,1,1,6,7,1,1,4,2,4,1,4,1,0
