카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년02월_계_총인구수,"166,321","54,787","8,911","82,444","11,882","8,297"
2020년02월_계_연령구간인구수,"166,321","54,787","8,911","82,444","11,882","8,297"
2020년02월_계_0~9세,"19,010","3,707",444,"13,138","1,250",471
2020년02월_계_10~19세,"16,864","4,903",519,"10,269",721,452
2020년02월_계_20~29세,"15,813","6,388","1,021","6,550","1,049",805
2020년02월_계_30~39세,"24,605","6,070","1,101","14,842","1,812",780
2020년02월_계_40~49세,"30,592","8,966","1,040","17,906","1,624","1,056"
2020년02월_계_50~59세,"22,597","9,571","1,630","8,144","1,766","1,486"
2020년02월_계_60~69세,"19,651","7,858","1,596","6,615","1,881","1,701"
2020년02월_계_70~79세,"11,630","4,862",950,"3,566","1,201","1,051"
2020년02월_계_80~89세,"4,835","2,139",521,"1,237",494,444
2020년02월_계_90~99세,684,303,80,170,82,49
2020년02월_계_100세 이상,40,20,9,7,2,2
2020년02월_남_총인구수,"82,373","26,730","4,770","40,653","6,029","4,191"
2020년02월_남_연령구간인구수,"82,373","26,730","4,770","40,653","6,029","4,191"
2020년02월_남_0~9세,"9,677","1,916",227,"6,676",636,222
2020년02월_남_10~19세,"8,818","2,544",296,"5,340",378,260
2020년02월_남_20~29세,"8,430","3,441",620,"3,291",613,465
2020년02월_남_30~39세,"12,108","3,159",661,"6,944",943,401
2020년02월_남_40~49세,"15,823","4,454",607,"9,283",891,588
2020년02월_남_50~59세,"11,402","4,712",899,"4,119",926,746
2020년02월_남_60~69세,"9,118","3,680",831,"2,871",919,817
2020년02월_남_70~79세,"5,267","2,044",458,"1,688",549,528
2020년02월_남_80~89세,"1,605",727,151,415,161,151
2020년02월_남_90~99세,118,51,15,26,13,13
2020년02월_남_100세 이상,7,2,5,0,0,0
2020년02월_여_총인구수,"83,948","28,057","4,141","41,791","5,853","4,106"
2020년02월_여_연령구간인구수,"83,948","28,057","4,141","41,791","5,853","4,106"
2020년02월_여_0~9세,"9,333","1,791",217,"6,462",614,249
2020년02월_여_10~19세,"8,046","2,359",223,"4,929",343,192
2020년02월_여_20~29세,"7,383","2,947",401,"3,259",436,340
2020년02월_여_30~39세,"12,497","2,911",440,"7,898",869,379
2020년02월_여_40~49세,"14,769","4,512",433,"8,623",733,468
2020년02월_여_50~59세,"11,195","4,859",731,"4,025",840,740
2020년02월_여_60~69세,"10,533","4,178",765,"3,744",962,884
2020년02월_여_70~79세,"6,363","2,818",492,"1,878",652,523
2020년02월_여_80~89세,"3,230","1,412",370,822,333,293
2020년02월_여_90~99세,566,252,65,144,69,36
2020년02월_여_100세 이상,33,18,4,7,2,2
