,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년07월_계_총인구수,"2,937,440","140,641","62,258","404,560","390,638","520,683","490,138","296,173","542,635","69,326","20,388"
2021년07월_계_연령구간인구수,"2,937,440","140,641","62,258","404,560","390,638","520,683","490,138","296,173","542,635","69,326","20,388"
2021년07월_계_0~9세,"221,097","11,620","3,599","26,564","38,092","39,438","31,440","17,836","48,301","3,302",905
2021년07월_계_10~19세,"271,547","12,863","4,956","31,528","43,057","49,167","42,075","25,992","56,306","4,530","1,073"
2021년07월_계_20~29세,"394,550","18,800","6,565","56,740","51,601","69,671","68,651","43,134","71,584","5,176","2,628"
2021년07월_계_30~39세,"400,637","21,384","6,877","55,270","57,526","70,144","66,400","37,744","78,172","5,299","1,821"
2021년07월_계_40~49세,"480,528","24,767","9,830","63,251","69,064","87,521","75,739","45,077","95,247","7,679","2,353"
2021년07월_계_50~59세,"508,488","20,632","10,043","66,792","64,856","89,004","88,582","59,767","93,621","11,661","3,530"
2021년07월_계_60~69세,"388,725","16,718","10,354","57,815","41,698","69,387","69,175","42,107","62,197","14,993","4,281"
2021년07월_계_70~79세,"178,261","9,311","6,623","31,140","15,826","31,113","31,451","15,695","24,721","10,000","2,381"
2021년07월_계_80~89세,"80,508","3,896","2,951","13,394","7,499","13,128","14,393","7,600","10,692","5,808","1,147"
2021년07월_계_90~99세,"12,554",625,422,"1,972","1,367","2,027","2,117","1,191","1,715",860,258
2021년07월_계_100세 이상,545,25,38,94,52,83,115,30,79,18,11
2021년07월_남_총인구수,"1,470,985","73,107","31,461","203,720","194,088","258,582","242,133","147,557","274,060","34,681","11,596"
2021년07월_남_연령구간인구수,"1,470,985","73,107","31,461","203,720","194,088","258,582","242,133","147,557","274,060","34,681","11,596"
2021년07월_남_0~9세,"113,520","6,010","1,880","13,590","19,440","20,312","16,058","9,076","24,961","1,733",460
2021년07월_남_10~19세,"139,613","6,646","2,570","16,244","22,098","25,186","21,834","13,299","28,842","2,318",576
2021년07월_남_20~29세,"205,607","9,604","3,572","29,884","26,788","35,934","35,225","22,613","37,138","2,948","1,901"
2021년07월_남_30~39세,"207,425","11,659","3,700","29,677","28,304","36,197","34,304","19,705","39,972","2,779","1,128"
2021년07월_남_40~49세,"245,977","13,499","5,292","33,479","34,030","44,567","38,216","22,528","48,710","4,171","1,485"
2021년07월_남_50~59세,"254,119","11,426","5,362","33,694","31,960","43,870","43,234","29,073","47,416","6,020","2,064"
2021년07월_남_60~69세,"192,484","8,375","5,036","27,641","21,377","33,480","33,683","21,471","31,634","7,473","2,314"
2021년07월_남_70~79세,"81,532","4,319","2,908","14,141","7,318","14,147","14,229","7,083","11,479","4,723","1,185"
2021년07월_남_80~89세,"27,948","1,416","1,036","4,889","2,483","4,499","4,897","2,448","3,547","2,307",426
2021년07월_남_90~99세,"2,632",145,96,453,280,377,431,254,338,204,54
2021년07월_남_100세 이상,128,8,9,28,10,13,22,7,23,5,3
2021년07월_여_총인구수,"1,466,455","67,534","30,797","200,840","196,550","262,101","248,005","148,616","268,575","34,645","8,792"
2021년07월_여_연령구간인구수,"1,466,455","67,534","30,797","200,840","196,550","262,101","248,005","148,616","268,575","34,645","8,792"
2021년07월_여_0~9세,"107,577","5,610","1,719","12,974","18,652","19,126","15,382","8,760","23,340","1,569",445
2021년07월_여_10~19세,"131,934","6,217","2,386","15,284","20,959","23,981","20,241","12,693","27,464","2,212",497
2021년07월_여_20~29세,"188,943","9,196","2,993","26,856","24,813","33,737","33,426","20,521","34,446","2,228",727
2021년07월_여_30~39세,"193,212","9,725","3,177","25,593","29,222","33,947","32,096","18,039","38,200","2,520",693
2021년07월_여_40~49세,"234,551","11,268","4,538","29,772","35,034","42,954","37,523","22,549","46,537","3,508",868
2021년07월_여_50~59세,"254,369","9,206","4,681","33,098","32,896","45,134","45,348","30,694","46,205","5,641","1,466"
2021년07월_여_60~69세,"196,241","8,343","5,318","30,174","20,321","35,907","35,492","20,636","30,563","7,520","1,967"
2021년07월_여_70~79세,"96,729","4,992","3,715","16,999","8,508","16,966","17,222","8,612","13,242","5,277","1,196"
2021년07월_여_80~89세,"52,560","2,480","1,915","8,505","5,016","8,629","9,496","5,152","7,145","3,501",721
2021년07월_여_90~99세,"9,922",480,326,"1,519","1,087","1,650","1,686",937,"1,377",656,204
2021년07월_여_100세 이상,417,17,29,66,42,70,93,23,56,13,8
