카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년08월_계_총인구수,"474,414","36,818","38,763","27,870","22,400","28,488","32,428","26,983","32,830","27,366","24,699","45,761","27,188","20,459","15,076","11,354","55,931"
2021년08월_계_연령구간인구수,"474,414","36,818","38,763","27,870","22,400","28,488","32,428","26,983","32,830","27,366","24,699","45,761","27,188","20,459","15,076","11,354","55,931"
2021년08월_계_0~9세,"28,284","2,379","2,270","1,047",943,"1,460","1,691","1,103","2,529","3,130",976,"2,469","1,509","1,041",697,717,"4,323"
2021년08월_계_10~19세,"37,531","2,206","2,589","1,694","1,469","2,351","2,818","1,553","2,710","2,303","1,523","3,394","2,030","1,610","1,160",768,"7,353"
2021년08월_계_20~29세,"66,090","4,948","5,210","4,260","3,610","4,342","4,378","4,906","4,442","2,681","3,589","6,539","3,860","2,909","2,038","1,491","6,887"
2021년08월_계_30~39세,"66,964","5,979","5,327","3,787","2,922","3,802","4,059","4,192","5,419","4,793","3,366","6,339","4,007","2,697","1,969","1,772","6,534"
2021년08월_계_40~49세,"74,640","5,582","5,770","3,705","3,132","4,586","4,991","3,920","5,558","5,230","3,429","7,435","4,138","3,075","2,229","1,527","10,333"
2021년08월_계_50~59세,"76,856","5,852","6,584","4,827","3,877","4,762","5,648","4,153","4,879","3,677","4,094","7,620","4,373","3,469","2,511","1,971","8,559"
2021년08월_계_60~69세,"66,424","5,249","5,730","4,524","3,570","3,808","4,791","3,625","3,878","2,999","3,814","6,452","4,039","3,209","2,478","1,747","6,511"
2021년08월_계_70~79세,"38,670","3,120","3,448","2,742","2,025","2,297","2,716","2,344","2,321","1,703","2,557","3,804","2,240","1,640","1,376",888,"3,449"
