카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년01월_계_총인구수,"43,438","7,829","19,349","3,208","3,938","2,626","1,782","1,026","2,757",201,722
2021년01월_계_연령구간인구수,"43,438","7,829","19,349","3,208","3,938","2,626","1,782","1,026","2,757",201,722
2021년01월_계_0~9세,"2,702",681,"1,562",92,124,80,52,23,59,8,21
2021년01월_계_10~19세,"3,179",448,"1,949",172,188,146,70,50,110,10,36
2021년01월_계_20~29세,"5,334","1,226","2,429",330,464,233,140,80,327,47,58
2021년01월_계_30~39세,"4,243","1,019","2,195",191,267,176,125,67,152,12,39
2021년01월_계_40~49세,"4,954",796,"2,678",298,401,250,139,81,233,19,59
2021년01월_계_50~59세,"7,106","1,066","3,180",576,697,496,337,158,430,31,135
2021년01월_계_60~69세,"7,596","1,130","2,762",705,870,569,473,236,649,34,168
2021년01월_계_70~79세,"5,042",867,"1,547",496,563,428,264,222,505,26,124
2021년01월_계_80~89세,"2,833",510,873,315,313,229,158,98,255,12,70
2021년01월_계_90~99세,403,82,152,29,44,16,22,10,35,1,12
2021년01월_계_100세 이상,46,4,22,4,7,3,2,1,2,1,0
2021년01월_남_총인구수,"22,744","4,250","9,827","1,703","2,093","1,415",946,551,"1,476",118,365
2021년01월_남_연령구간인구수,"22,744","4,250","9,827","1,703","2,093","1,415",946,551,"1,476",118,365
2021년01월_남_0~9세,"1,380",339,810,45,56,40,30,13,29,4,14
2021년01월_남_10~19세,"1,679",245,997,94,113,85,39,32,51,4,19
2021년01월_남_20~29세,"3,391",859,"1,359",229,328,146,86,51,257,41,35
2021년01월_남_30~39세,"2,412",610,"1,186",110,164,111,70,39,94,7,21
2021년01월_남_40~49세,"2,713",451,"1,363",181,240,145,83,54,145,9,42
2021년01월_남_50~59세,"3,819",598,"1,664",311,381,275,181,90,240,17,62
2021년01월_남_60~69세,"3,918",567,"1,397",386,443,304,268,124,325,18,86
2021년01월_남_70~79세,"2,283",372,709,222,243,204,115,106,239,14,59
2021년01월_남_80~89세,"1,025",183,292,114,113,99,66,40,87,4,27
2021년01월_남_90~99세,107,26,40,9,11,5,7,1,8,0,0
2021년01월_남_100세 이상,17,0,10,2,1,1,1,1,1,0,0
2021년01월_여_총인구수,"20,694","3,579","9,522","1,505","1,845","1,211",836,475,"1,281",83,357
2021년01월_여_연령구간인구수,"20,694","3,579","9,522","1,505","1,845","1,211",836,475,"1,281",83,357
2021년01월_여_0~9세,"1,322",342,752,47,68,40,22,10,30,4,7
2021년01월_여_10~19세,"1,500",203,952,78,75,61,31,18,59,6,17
2021년01월_여_20~29세,"1,943",367,"1,070",101,136,87,54,29,70,6,23
2021년01월_여_30~39세,"1,831",409,"1,009",81,103,65,55,28,58,5,18
2021년01월_여_40~49세,"2,241",345,"1,315",117,161,105,56,27,88,10,17
2021년01월_여_50~59세,"3,287",468,"1,516",265,316,221,156,68,190,14,73
2021년01월_여_60~69세,"3,678",563,"1,365",319,427,265,205,112,324,16,82
2021년01월_여_70~79세,"2,759",495,838,274,320,224,149,116,266,12,65
2021년01월_여_80~89세,"1,808",327,581,201,200,130,92,58,168,8,43
2021년01월_여_90~99세,296,56,112,20,33,11,15,9,27,1,12
2021년01월_여_100세 이상,29,4,12,2,6,2,1,0,1,1,0
