카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년11월_계_총인구수,"291,075","7,833","6,712","45,584","16,306","19,476","25,703","30,265","2,896","12,591","19,179","4,057","3,717","48,553","48,203"
2020년11월_계_연령구간인구수,"291,075","7,833","6,712","45,584","16,306","19,476","25,703","30,265","2,896","12,591","19,179","4,057","3,717","48,553","48,203"
2020년11월_계_0~9세,"30,068",367,310,"3,866",981,"1,121","2,158","4,617",94,"1,772","2,562",134,170,"5,012","6,904"
2020년11월_계_10~19세,"24,857",423,419,"3,897","1,138","1,226","2,577","2,910",155,927,"1,889",204,175,"3,800","5,117"
2020년11월_계_20~29세,"35,961","1,001","1,000","5,234","2,192","2,556","3,085","3,300",353,"1,445","2,169",490,476,"8,560","4,100"
2020년11월_계_30~39세,"49,744","1,035","1,029","6,721","2,340","2,980","3,421","5,652",390,"2,688","3,277",436,482,"11,308","7,985"
2020년11월_계_40~49세,"51,053","1,060",942,"7,270","2,293","2,590","4,445","5,896",391,"2,038","3,725",559,475,"8,941","10,428"
2020년11월_계_50~59세,"41,777","1,487","1,245","7,154","2,937","3,511","4,158","3,839",593,"1,556","2,870",799,757,"5,066","5,805"
2020년11월_계_60~69세,"34,805","1,522","1,018","6,706","2,670","3,343","3,396","2,537",526,"1,322","1,880",790,737,"3,591","4,767"
2020년11월_계_70~79세,"16,040",612,513,"3,397","1,254","1,499","1,718",983,258,582,601,396,296,"1,658","2,273"
2020년11월_계_80~89세,"5,658",266,204,"1,141",428,539,634,393,112,220,171,209,134,515,692
2020년11월_계_90~99세,989,52,26,182,60,102,101,108,18,34,33,33,13,100,127
2020년11월_계_100세 이상,123,8,6,16,13,9,10,30,6,7,2,7,2,2,5
2020년11월_남_총인구수,"146,255","4,310","3,483","22,576","8,240","9,823","12,813","15,012","1,603","6,350","9,352","2,271","2,128","24,556","23,738"
2020년11월_남_연령구간인구수,"146,255","4,310","3,483","22,576","8,240","9,823","12,813","15,012","1,603","6,350","9,352","2,271","2,128","24,556","23,738"
2020년11월_남_0~9세,"15,384",186,159,"1,959",504,593,"1,148","2,307",49,921,"1,261",69,88,"2,615","3,525"
2020년11월_남_10~19세,"12,689",232,217,"2,031",608,614,"1,328","1,480",84,480,918,114,92,"1,891","2,600"
2020년11월_남_20~29세,"18,315",579,549,"2,722","1,189","1,398","1,668","1,660",201,707,"1,067",269,273,"3,975","2,058"
2020년11월_남_30~39세,"25,216",608,611,"3,435","1,250","1,642","1,752","2,641",242,"1,334","1,474",273,305,"6,011","3,638"
2020년11월_남_40~49세,"26,820",642,513,"3,689","1,187","1,342","2,210","3,107",236,"1,090","1,894",343,301,"4,805","5,461"
2020년11월_남_50~59세,"20,746",842,648,"3,388","1,397","1,730","2,019","1,882",321,761,"1,379",482,436,"2,600","2,861"
2020년11월_남_60~69세,"16,835",808,484,"3,186","1,284","1,597","1,610","1,243",286,675,964,434,422,"1,616","2,226"
2020년11월_남_70~79세,"7,988",299,225,"1,667",630,721,816,522,131,300,335,190,156,855,"1,141"
2020년11월_남_80~89세,"2,010",99,73,448,175,168,236,139,43,67,50,92,52,167,201
2020년11월_남_90~99세,220,13,2,45,13,15,25,21,8,14,10,3,3,21,27
2020년11월_남_100세 이상,32,2,2,6,3,3,1,10,2,1,0,2,0,0,0
2020년11월_여_총인구수,"144,820","3,523","3,229","23,008","8,066","9,653","12,890","15,253","1,293","6,241","9,827","1,786","1,589","23,997","24,465"
2020년11월_여_연령구간인구수,"144,820","3,523","3,229","23,008","8,066","9,653","12,890","15,253","1,293","6,241","9,827","1,786","1,589","23,997","24,465"
2020년11월_여_0~9세,"14,684",181,151,"1,907",477,528,"1,010","2,310",45,851,"1,301",65,82,"2,397","3,379"
2020년11월_여_10~19세,"12,168",191,202,"1,866",530,612,"1,249","1,430",71,447,971,90,83,"1,909","2,517"
2020년11월_여_20~29세,"17,646",422,451,"2,512","1,003","1,158","1,417","1,640",152,738,"1,102",221,203,"4,585","2,042"
2020년11월_여_30~39세,"24,528",427,418,"3,286","1,090","1,338","1,669","3,011",148,"1,354","1,803",163,177,"5,297","4,347"
2020년11월_여_40~49세,"24,233",418,429,"3,581","1,106","1,248","2,235","2,789",155,948,"1,831",216,174,"4,136","4,967"
2020년11월_여_50~59세,"21,031",645,597,"3,766","1,540","1,781","2,139","1,957",272,795,"1,491",317,321,"2,466","2,944"
2020년11월_여_60~69세,"17,970",714,534,"3,520","1,386","1,746","1,786","1,294",240,647,916,356,315,"1,975","2,541"
2020년11월_여_70~79세,"8,052",313,288,"1,730",624,778,902,461,127,282,266,206,140,803,"1,132"
2020년11월_여_80~89세,"3,648",167,131,693,253,371,398,254,69,153,121,117,82,348,491
2020년11월_여_90~99세,769,39,24,137,47,87,76,87,10,20,23,30,10,79,100
2020년11월_여_100세 이상,91,6,4,10,10,6,9,20,4,6,2,5,2,2,5
