카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년01월_계_총인구수,"1,817,302","654,963","338,977","315,986","269,779","286,997","110,310","81,439","83,803","92,171","25,681","24,271","22,382","28,446","28,311","55,604","53,145"
2020년01월_계_연령구간인구수,"1,817,302","654,963","338,977","315,986","269,779","286,997","110,310","81,439","83,803","92,171","25,681","24,271","22,382","28,446","28,311","55,604","53,145"
2020년01월_계_0~9세,"136,102","55,983","25,481","30,502","22,370","20,747","6,848","5,297","4,668","7,533","1,383","1,274","1,229","1,474","1,656","2,896","2,744"
2020년01월_계_10~19세,"181,692","74,055","37,843","36,212","27,702","29,321","10,170","7,625","6,484","8,474","1,714","1,856","1,713","1,840","2,293","4,513","3,932"
2020년01월_계_20~29세,"213,494","92,038","49,026","43,012","29,836","37,110","10,899","7,724","7,506","9,013","2,051","1,905","1,744","2,425","2,193","4,535","4,515"
2020년01월_계_30~39세,"196,940","82,718","40,181","42,537","32,417","30,403","9,415","6,786","7,032","10,109","1,813","1,786","1,711","2,202","2,208","4,152","4,188"
2020년01월_계_40~49세,"274,349","108,228","54,713","53,515","44,381","43,291","15,401","11,083","10,374","13,613","2,893","2,968","2,651","3,114","3,415","6,558","6,379"
2020년01월_계_50~59세,"303,487","105,725","57,079","48,646","44,195","50,042","18,901","13,944","14,245","15,503","4,650","4,286","3,840","4,919","4,687","9,347","9,203"
2020년01월_계_60~69세,"243,700","72,769","40,149","32,620","35,782","38,442","16,206","12,374","14,063","13,095","4,623","4,219","4,046","4,838","4,571","9,329","9,343"
2020년01월_계_70~79세,"165,237","41,948","22,686","19,262","21,818","23,507","13,306","9,673","11,129","8,927","3,791","3,408","3,110","4,298","4,249","8,432","7,641"
2020년01월_계_80~89세,"88,857","18,771","10,279","8,492","9,759","12,223","7,953","5,988","7,149","5,136","2,383","2,238","2,044","2,892","2,648","5,074","4,599"
2020년01월_계_90~99세,"12,637","2,563","1,456","1,107","1,408","1,811","1,106",902,"1,089",731,355,316,275,418,369,732,562
2020년01월_계_100세 이상,807,165,84,81,111,100,105,43,64,37,25,15,19,26,22,36,39
2020년01월_남_총인구수,"903,385","322,524","165,234","157,290","136,268","142,991","54,624","39,877","41,594","47,293","12,973","12,058","11,141","14,457","13,737","27,439","26,409"
2020년01월_남_연령구간인구수,"903,385","322,524","165,234","157,290","136,268","142,991","54,624","39,877","41,594","47,293","12,973","12,058","11,141","14,457","13,737","27,439","26,409"
2020년01월_남_0~9세,"69,811","28,664","13,148","15,516","11,393","10,576","3,521","2,798","2,422","3,817",694,681,636,781,863,"1,528","1,437"
2020년01월_남_10~19세,"94,138","38,269","19,613","18,656","14,346","15,070","5,378","3,936","3,337","4,440",911,942,855,982,"1,162","2,425","2,085"
2020년01월_남_20~29세,"114,897","48,451","25,499","22,952","16,213","20,124","5,933","4,283","4,145","4,974","1,158","1,052",971,"1,393","1,179","2,540","2,481"
2020년01월_남_30~39세,"101,416","41,691","20,312","21,379","16,958","15,912","4,999","3,412","3,770","5,162",877,966,892,"1,203","1,084","2,223","2,267"
2020년01월_남_40~49세,"141,872","53,029","26,210","26,819","23,303","22,113","8,136","5,751","5,870","7,589","1,697","1,680","1,534","1,883","1,950","3,741","3,596"
2020년01월_남_50~59세,"156,378","51,745","27,422","24,323","23,025","25,364","10,086","7,339","7,712","8,623","2,642","2,340","2,156","2,767","2,537","5,070","4,972"
2020년01월_남_60~69세,"120,213","34,736","19,014","15,722","17,684","19,078","8,044","6,197","7,005","6,768","2,424","2,125","2,035","2,535","2,306","4,608","4,668"
2020년01월_남_70~79세,"72,087","18,623","10,087","8,536","9,724","10,340","5,684","4,019","4,819","4,032","1,710","1,427","1,326","1,845","1,697","3,553","3,288"
2020년01월_남_80~89세,"29,557","6,701","3,599","3,102","3,300","3,965","2,573","1,927","2,243","1,727",754,769,670,966,863,"1,614","1,485"
2020년01월_남_90~99세,"2,851",585,314,271,288,427,251,205,260,154,97,71,62,95,96,135,125
2020년01월_남_100세 이상,165,30,16,14,34,22,19,10,11,7,9,5,4,7,0,2,5
2020년01월_여_총인구수,"913,917","332,439","173,743","158,696","133,511","144,006","55,686","41,562","42,209","44,878","12,708","12,213","11,241","13,989","14,574","28,165","26,736"
2020년01월_여_연령구간인구수,"913,917","332,439","173,743","158,696","133,511","144,006","55,686","41,562","42,209","44,878","12,708","12,213","11,241","13,989","14,574","28,165","26,736"
2020년01월_여_0~9세,"66,291","27,319","12,333","14,986","10,977","10,171","3,327","2,499","2,246","3,716",689,593,593,693,793,"1,368","1,307"
2020년01월_여_10~19세,"87,554","35,786","18,230","17,556","13,356","14,251","4,792","3,689","3,147","4,034",803,914,858,858,"1,131","2,088","1,847"
2020년01월_여_20~29세,"98,597","43,587","23,527","20,060","13,623","16,986","4,966","3,441","3,361","4,039",893,853,773,"1,032","1,014","1,995","2,034"
2020년01월_여_30~39세,"95,524","41,027","19,869","21,158","15,459","14,491","4,416","3,374","3,262","4,947",936,820,819,999,"1,124","1,929","1,921"
2020년01월_여_40~49세,"132,477","55,199","28,503","26,696","21,078","21,178","7,265","5,332","4,504","6,024","1,196","1,288","1,117","1,231","1,465","2,817","2,783"
2020년01월_여_50~59세,"147,109","53,980","29,657","24,323","21,170","24,678","8,815","6,605","6,533","6,880","2,008","1,946","1,684","2,152","2,150","4,277","4,231"
2020년01월_여_60~69세,"123,487","38,033","21,135","16,898","18,098","19,364","8,162","6,177","7,058","6,327","2,199","2,094","2,011","2,303","2,265","4,721","4,675"
2020년01월_여_70~79세,"93,150","23,325","12,599","10,726","12,094","13,167","7,622","5,654","6,310","4,895","2,081","1,981","1,784","2,453","2,552","4,879","4,353"
2020년01월_여_80~89세,"59,300","12,070","6,680","5,390","6,459","8,258","5,380","4,061","4,906","3,409","1,629","1,469","1,374","1,926","1,785","3,460","3,114"
2020년01월_여_90~99세,"9,786","1,978","1,142",836,"1,120","1,384",855,697,829,577,258,245,213,323,273,597,437
2020년01월_여_100세 이상,642,135,68,67,77,78,86,33,53,30,16,10,15,19,22,34,34
