,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년12월_계_총인구수,"29,155","10,615","5,419","2,499","2,102","3,299","1,932","1,534","1,755"
2020년12월_계_연령구간인구수,"29,155","10,615","5,419","2,499","2,102","3,299","1,932","1,534","1,755"
2020년12월_계_0~9세,"1,201",635,264,59,59,78,46,22,38
2020년12월_계_10~19세,"2,001",949,409,103,142,174,78,37,109
2020년12월_계_20~29세,"2,245","1,129",476,121,104,149,91,72,103
2020년12월_계_30~39세,"2,018","1,048",417,96,84,141,76,74,82
2020년12월_계_40~49세,"3,325","1,503",690,191,192,332,150,125,142
2020년12월_계_50~59세,"5,668","1,973",997,534,401,698,406,302,357
2020년12월_계_60~69세,"6,354","1,813","1,026",655,547,834,563,447,469
2020년12월_계_70~79세,"3,896",975,737,437,372,542,312,261,260
2020년12월_계_80~89세,"2,136",516,360,253,178,305,186,171,167
2020년12월_계_90~99세,289,72,42,43,20,45,23,23,21
2020년12월_계_100세 이상,22,2,1,7,3,1,1,0,7
2020년12월_남_총인구수,"14,782","5,321","2,813","1,245","1,129","1,583","1,049",779,863
2020년12월_남_연령구간인구수,"14,782","5,321","2,813","1,245","1,129","1,583","1,049",779,863
2020년12월_남_0~9세,627,325,142,27,39,38,24,11,21
2020년12월_남_10~19세,"1,066",480,224,58,94,97,50,14,49
2020년12월_남_20~29세,"1,325",636,296,60,63,95,68,43,64
2020년12월_남_30~39세,"1,074",544,231,51,46,77,43,41,41
2020년12월_남_40~49세,"1,828",789,399,106,113,167,92,81,81
2020년12월_남_50~59세,"3,036","1,058",540,299,215,357,213,164,190
2020년12월_남_60~69세,"3,259",881,512,346,284,396,332,253,255
2020년12월_남_70~79세,"1,737",415,319,194,200,239,148,115,107
2020년12월_남_80~89세,747,179,137,90,69,108,69,50,45
2020년12월_남_90~99세,74,12,12,11,6,8,9,7,9
2020년12월_남_100세 이상,9,2,1,3,0,1,1,0,1
2020년12월_여_총인구수,"14,373","5,294","2,606","1,254",973,"1,716",883,755,892
2020년12월_여_연령구간인구수,"14,373","5,294","2,606","1,254",973,"1,716",883,755,892
2020년12월_여_0~9세,574,310,122,32,20,40,22,11,17
2020년12월_여_10~19세,935,469,185,45,48,77,28,23,60
2020년12월_여_20~29세,920,493,180,61,41,54,23,29,39
2020년12월_여_30~39세,944,504,186,45,38,64,33,33,41
2020년12월_여_40~49세,"1,497",714,291,85,79,165,58,44,61
2020년12월_여_50~59세,"2,632",915,457,235,186,341,193,138,167
2020년12월_여_60~69세,"3,095",932,514,309,263,438,231,194,214
2020년12월_여_70~79세,"2,159",560,418,243,172,303,164,146,153
2020년12월_여_80~89세,"1,389",337,223,163,109,197,117,121,122
2020년12월_여_90~99세,215,60,30,32,14,37,14,16,12
2020년12월_여_100세 이상,13,0,0,4,3,0,0,0,6
