카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년07월_계_총인구수,"91,197","14,295","26,225","7,011","4,365","14,248","6,058","5,778","4,630","1,884","1,936","2,698","1,092",977
2021년07월_계_연령구간인구수,"91,197","14,295","26,225","7,011","4,365","14,248","6,058","5,778","4,630","1,884","1,936","2,698","1,092",977
2021년07월_계_0~9세,"6,536",689,"2,768",349,273,"1,608",212,178,226,54,53,73,34,19
2021년07월_계_10~19세,"8,177","1,144","3,401",482,372,"1,337",337,372,269,103,61,215,42,42
2021년07월_계_20~29세,"8,875","1,767","2,740",686,392,"1,358",511,529,359,124,89,199,77,44
2021년07월_계_30~39세,"9,009","1,192","3,296",540,314,"2,150",406,365,344,95,85,120,57,45
2021년07월_계_40~49세,"13,314","2,002","4,805",888,622,"2,500",579,573,519,189,179,293,84,81
2021년07월_계_50~59세,"15,158","2,451","3,717","1,303",799,"2,164","1,173","1,181",818,323,365,446,249,169
2021년07월_계_60~69세,"14,551","2,404","2,787","1,336",776,"1,626","1,395","1,284",908,416,493,572,302,252
2021년07월_계_70~79세,"9,296","1,544","1,668",861,514,975,856,764,683,319,361,432,138,181
2021년07월_계_80~89세,"5,416",961,888,488,257,464,515,463,430,212,223,291,94,130
2021년07월_계_90~99세,835,138,151,74,43,63,70,67,73,48,26,54,15,13
2021년07월_계_100세 이상,30,3,4,4,3,3,4,2,1,1,1,3,0,1
2021년07월_남_총인구수,"46,854","7,371","13,667","3,630","2,235","7,160","3,137","2,894","2,367",961,972,"1,411",553,496
2021년07월_남_연령구간인구수,"46,854","7,371","13,667","3,630","2,235","7,160","3,137","2,894","2,367",961,972,"1,411",553,496
2021년07월_남_0~9세,"3,252",338,"1,415",163,141,796,100,79,107,27,25,35,18,8
2021년07월_남_10~19세,"4,275",566,"1,784",260,189,676,187,190,163,55,39,124,20,22
2021년07월_남_20~29세,"4,981",980,"1,583",401,227,693,294,284,221,65,45,114,43,31
2021년07월_남_30~39세,"4,665",694,"1,658",280,162,"1,058",232,182,181,51,54,64,24,25
2021년07월_남_40~49세,"7,302","1,100","2,590",497,329,"1,334",346,303,311,112,108,166,55,51
2021년07월_남_50~59세,"8,450","1,420","2,096",757,446,"1,144",633,625,446,185,202,278,129,89
2021년07월_남_60~69세,"7,581","1,220","1,427",692,397,836,726,703,480,226,258,312,171,133
2021년07월_남_70~79세,"4,328",694,783,389,241,451,426,370,303,156,157,212,67,79
2021년07월_남_80~89세,"1,832",330,295,168,97,153,179,147,137,76,80,95,21,54
2021년07월_남_90~99세,182,27,34,23,6,19,13,11,17,8,4,11,5,4
2021년07월_남_100세 이상,6,2,2,0,0,0,1,0,1,0,0,0,0,0
2021년07월_여_총인구수,"44,343","6,924","12,558","3,381","2,130","7,088","2,921","2,884","2,263",923,964,"1,287",539,481
2021년07월_여_연령구간인구수,"44,343","6,924","12,558","3,381","2,130","7,088","2,921","2,884","2,263",923,964,"1,287",539,481
2021년07월_여_0~9세,"3,284",351,"1,353",186,132,812,112,99,119,27,28,38,16,11
2021년07월_여_10~19세,"3,902",578,"1,617",222,183,661,150,182,106,48,22,91,22,20
2021년07월_여_20~29세,"3,894",787,"1,157",285,165,665,217,245,138,59,44,85,34,13
2021년07월_여_30~39세,"4,344",498,"1,638",260,152,"1,092",174,183,163,44,31,56,33,20
2021년07월_여_40~49세,"6,012",902,"2,215",391,293,"1,166",233,270,208,77,71,127,29,30
2021년07월_여_50~59세,"6,708","1,031","1,621",546,353,"1,020",540,556,372,138,163,168,120,80
2021년07월_여_60~69세,"6,970","1,184","1,360",644,379,790,669,581,428,190,235,260,131,119
2021년07월_여_70~79세,"4,968",850,885,472,273,524,430,394,380,163,204,220,71,102
2021년07월_여_80~89세,"3,584",631,593,320,160,311,336,316,293,136,143,196,73,76
2021년07월_여_90~99세,653,111,117,51,37,44,57,56,56,40,22,43,10,9
2021년07월_여_100세 이상,24,1,2,4,3,3,3,2,0,1,1,3,0,1
