,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년04월_계_총인구수,"3,353,380","1,041,553","262,241","217,948","175,504","193,101","192,759","347,578","130,221","111,365","542,929","105,201","247,427","351,383","26,979","64,959","61,889","51,918","43,223","45,753","35,223","39,377","61,700","44,702"
2020년04월_계_연령구간인구수,"3,353,380","1,041,553","262,241","217,948","175,504","193,101","192,759","347,578","130,221","111,365","542,929","105,201","247,427","351,383","26,979","64,959","61,889","51,918","43,223","45,753","35,223","39,377","61,700","44,702"
2020년04월_계_0~9세,"280,160","86,425","22,018","17,464","12,791","13,980","20,172","29,152","10,411","8,514","51,299","5,840","28,122","35,881","1,134","4,429","3,513","2,806","1,639","2,013","1,479","1,914","3,892","1,697"
2020년04월_계_10~19세,"329,243","101,793","24,139","23,916","13,964","18,759","21,015","35,905","12,959","10,434","62,379","8,071","28,038","34,146","1,579","6,058","4,210","4,113","3,062","3,022","2,164","3,036","5,717","2,557"
2020년04월_계_20~29세,"382,928","132,311","36,408","33,280","19,277","22,880","20,466","44,845","11,595","10,884","69,240","9,318","24,833","41,134","2,068","5,694","5,109","4,006","3,271","3,716","2,557","3,228","5,940","3,179"
2020년04월_계_30~39세,"414,972","137,962","35,759","30,305","20,981","22,678","28,239","42,245","14,946","12,418","71,961","9,167","39,038","51,175","1,866","6,052","5,399","4,210","2,580","2,968","2,291","2,727","5,199","2,768"
2020년04월_계_40~49세,"541,189","169,453","41,347","36,882","25,640","30,794","34,790","54,820","21,627","17,829","99,405","13,188","47,480","60,360","2,955","9,622","7,198","6,613","4,722","5,336","3,619","4,519","7,968","4,475"
2020년04월_계_50~59세,"584,228","188,058","50,770","44,029","29,855","35,120","28,284","57,842","22,837","18,551","95,696","19,196","38,724","58,334","4,705","11,402","11,208","9,255","7,469","8,647","6,683","7,032","10,611","7,978"
2020년04월_계_60~69세,"440,377","134,979","32,478","22,067","29,047","28,889","22,498","43,677","19,608","15,752","54,819","20,265","24,937","40,545","5,191","10,576","11,665","9,353","8,010","8,563","6,963","6,992","9,758","8,724"
2020년04월_계_70~79세,"241,728","61,660","12,952","6,664","16,179","14,330","11,535","25,293","10,998","10,610","25,705","12,414","10,537","20,365","4,071","6,646","8,011","6,808","6,799","6,431","5,329","5,578","7,139","7,334"
2020년04월_계_80~89세,"121,360","25,494","5,593","2,891","6,787","5,085","5,138","12,026","4,605","5,565","11,019","6,806","4,900","8,369","2,970","3,947","4,921","4,133","4,822","4,342","3,601","3,779","4,759","5,302"
2020년04월_계_90~99세,"16,435","3,243",743,430,919,548,603,"1,682",609,782,"1,328",895,777,"1,017",432,522,630,607,832,691,521,538,677,652
2020년04월_계_100세 이상,760,175,34,20,64,38,19,91,26,26,78,41,41,57,8,11,25,14,17,24,16,34,40,36
2020년04월_남_총인구수,"1,688,178","527,820","133,498","111,389","87,317","96,996","98,620","172,050","65,470","56,119","274,576","51,541","129,950","176,363","13,173","32,912","30,770","26,053","20,795","22,788","17,276","18,986","30,067","21,469"
2020년04월_남_연령구간인구수,"1,688,178","527,820","133,498","111,389","87,317","96,996","98,620","172,050","65,470","56,119","274,576","51,541","129,950","176,363","13,173","32,912","30,770","26,053","20,795","22,788","17,276","18,986","30,067","21,469"
2020년04월_남_0~9세,"144,164","44,728","11,374","8,931","6,667","7,273","10,483","15,176","5,236","4,422","26,139","2,975","14,506","18,362",579,"2,218","1,816","1,421",884,"1,063",782,973,"2,018",866
2020년04월_남_10~19세,"172,578","53,440","12,725","12,707","7,266","9,858","10,884","18,949","6,739","5,382","32,587","4,243","14,785","17,557",851,"3,237","2,265","2,235","1,643","1,605","1,143","1,556","3,019","1,342"
2020년04월_남_20~29세,"212,272","73,448","20,204","18,457","10,672","12,574","11,541","24,764","6,341","6,497","37,463","5,369","13,871","22,014","1,160","3,273","2,934","2,365","1,967","2,213","1,459","1,857","3,458","1,819"
2020년04월_남_30~39세,"216,549","72,733","18,803","16,132","11,104","11,982","14,712","21,456","7,734","6,605","36,965","4,831","20,775","26,230",996,"3,098","2,976","2,298","1,360","1,645","1,244","1,412","2,658","1,533"
2020년04월_남_40~49세,"279,024","85,910","20,832","17,571","13,466","15,609","18,432","27,349","11,731","9,542","49,440","6,995","25,951","30,691","1,720","5,214","4,053","3,706","2,559","2,986","2,016","2,476","4,129","2,556"
2020년04월_남_50~59세,"297,854","93,506","25,077","21,666","14,762","17,492","14,509","28,474","11,631","9,732","49,323","9,714","20,529","29,440","2,581","6,251","5,941","4,989","3,953","4,694","3,580","3,722","5,442","4,352"
2020년04월_남_60~69세,"218,853","66,932","16,521","11,887","13,793","13,770","10,961","20,929","9,591","7,606","27,917","9,809","13,008","19,922","2,693","5,460","5,808","4,684","3,908","4,390","3,598","3,466","4,753","4,379"
2020년04월_남_70~79세,"106,000","28,185","6,118","3,137","7,184","6,545","5,201","10,987","4,935","4,488","11,060","5,355","4,932","9,060","1,648","2,884","3,406","2,976","2,938","2,725","2,290","2,267","2,935","2,929"
2020년04월_남_80~89세,"37,566","8,265","1,712",808,"2,204","1,778","1,763","3,633","1,412","1,715","3,396","2,084","1,465","2,863",852,"1,165","1,462","1,262","1,434","1,320","1,055","1,135","1,494","1,554"
2020년04월_남_90~99세,"3,164",633,126,87,184,107,129,312,112,124,263,161,123,215,91,109,107,113,148,143,107,115,153,135
2020년04월_남_100세 이상,154,40,6,6,15,8,5,21,8,6,23,5,5,9,2,3,2,4,1,4,2,7,8,4
2020년04월_여_총인구수,"1,665,202","513,733","128,743","106,559","88,187","96,105","94,139","175,528","64,751","55,246","268,353","53,660","117,477","175,020","13,806","32,047","31,119","25,865","22,428","22,965","17,947","20,391","31,633","23,233"
2020년04월_여_연령구간인구수,"1,665,202","513,733","128,743","106,559","88,187","96,105","94,139","175,528","64,751","55,246","268,353","53,660","117,477","175,020","13,806","32,047","31,119","25,865","22,428","22,965","17,947","20,391","31,633","23,233"
2020년04월_여_0~9세,"135,996","41,697","10,644","8,533","6,124","6,707","9,689","13,976","5,175","4,092","25,160","2,865","13,616","17,519",555,"2,211","1,697","1,385",755,950,697,941,"1,874",831
2020년04월_여_10~19세,"156,665","48,353","11,414","11,209","6,698","8,901","10,131","16,956","6,220","5,052","29,792","3,828","13,253","16,589",728,"2,821","1,945","1,878","1,419","1,417","1,021","1,480","2,698","1,215"
2020년04월_여_20~29세,"170,656","58,863","16,204","14,823","8,605","10,306","8,925","20,081","5,254","4,387","31,777","3,949","10,962","19,120",908,"2,421","2,175","1,641","1,304","1,503","1,098","1,371","2,482","1,360"
2020년04월_여_30~39세,"198,423","65,229","16,956","14,173","9,877","10,696","13,527","20,789","7,212","5,813","34,996","4,336","18,263","24,945",870,"2,954","2,423","1,912","1,220","1,323","1,047","1,315","2,541","1,235"
2020년04월_여_40~49세,"262,165","83,543","20,515","19,311","12,174","15,185","16,358","27,471","9,896","8,287","49,965","6,193","21,529","29,669","1,235","4,408","3,145","2,907","2,163","2,350","1,603","2,043","3,839","1,919"
2020년04월_여_50~59세,"286,374","94,552","25,693","22,363","15,093","17,628","13,775","29,368","11,206","8,819","46,373","9,482","18,195","28,894","2,124","5,151","5,267","4,266","3,516","3,953","3,103","3,310","5,169","3,626"
2020년04월_여_60~69세,"221,524","68,047","15,957","10,180","15,254","15,119","11,537","22,748","10,017","8,146","26,902","10,456","11,929","20,623","2,498","5,116","5,857","4,669","4,102","4,173","3,365","3,526","5,005","4,345"
2020년04월_여_70~79세,"135,728","33,475","6,834","3,527","8,995","7,785","6,334","14,306","6,063","6,122","14,645","7,059","5,605","11,305","2,423","3,762","4,605","3,832","3,861","3,706","3,039","3,311","4,204","4,405"
2020년04월_여_80~89세,"83,794","17,229","3,881","2,083","4,583","3,307","3,375","8,393","3,193","3,850","7,623","4,722","3,435","5,506","2,118","2,782","3,459","2,871","3,388","3,022","2,546","2,644","3,265","3,748"
2020년04월_여_90~99세,"13,271","2,610",617,343,735,441,474,"1,370",497,658,"1,065",734,654,802,341,413,523,494,684,548,414,423,524,517
2020년04월_여_100세 이상,606,135,28,14,49,30,14,70,18,20,55,36,36,48,6,8,23,10,16,20,14,27,32,32
