,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2021년11월_계_총인구수,"731,497","60,458","92,181","104,106","14,799","23,546","53,650","28,960","19,568","9,043","4,076","57,549","36,705","18,483","4,294","89,655","35,511","78,913"
2021년11월_계_연령구간인구수,"731,497","60,458","92,181","104,106","14,799","23,546","53,650","28,960","19,568","9,043","4,076","57,549","36,705","18,483","4,294","89,655","35,511","78,913"
2021년11월_계_0~9세,"63,376","3,656","7,463","8,226","1,530",905,"3,647","1,563","1,140",312,180,"6,094","3,095",630,150,"11,826","4,475","8,484"
2021년11월_계_10~19세,"78,218","7,153","11,358","11,377","1,378","1,768","6,477","2,493","1,868",592,224,"7,146","4,853","1,087",164,"9,240","3,883","7,157"
2021년11월_계_20~29세,"86,248","7,549","10,569","12,206","1,548","3,106","6,804","3,846","2,478",821,402,"6,243","4,589","2,434",492,"9,865","3,668","9,628"
2021년11월_계_30~39세,"89,997","5,682","9,653","11,849","2,099","2,261","5,346","3,224","1,733",739,376,"7,397","4,303","1,994",465,"14,991","5,066","12,819"
2021년11월_계_40~49세,"131,812","10,414","16,897","19,483","2,614","3,125","9,852","4,087","3,101",989,502,"11,860","7,182","2,115",435,"17,639","7,406","14,111"
2021년11월_계_50~59세,"121,950","11,102","15,508","17,951","2,337","5,001","10,037","5,556","3,685","1,808",756,"8,663","6,126","3,789",838,"11,720","5,299","11,774"
2021년11월_계_60~69세,"90,498","7,857","11,649","12,829","1,984","4,277","6,139","4,810","2,891","1,988",911,"5,498","3,613","3,788","1,055","8,456","3,582","9,171"
2021년11월_계_70~79세,"46,032","4,697","6,016","6,872",829,"1,975","3,489","2,225","1,699","1,130",451,"3,158","1,921","1,631",445,"4,079","1,462","3,953"
2021년11월_계_80~89세,"20,328","2,032","2,723","2,915",390,986,"1,646","1,021",833,528,233,"1,280",904,875,228,"1,586",580,"1,568"
2021년11월_계_90~99세,"2,908",302,331,386,89,136,207,125,126,129,38,203,116,136,21,245,88,230
2021년11월_계_100세 이상,130,14,14,12,1,6,6,10,14,7,3,7,3,4,1,8,2,18
2021년11월_남_총인구수,"363,970","29,821","46,539","52,070","7,446","12,243","26,955","14,447","9,804","4,768","2,107","28,074","18,121","9,447","2,440","43,993","17,356","38,339"
2021년11월_남_연령구간인구수,"363,970","29,821","46,539","52,070","7,446","12,243","26,955","14,447","9,804","4,768","2,107","28,074","18,121","9,447","2,440","43,993","17,356","38,339"
2021년11월_남_0~9세,"32,566","1,909","3,869","4,241",791,502,"1,886",770,593,174,99,"3,175","1,592",315,79,"6,016","2,264","4,291"
2021년11월_남_10~19세,"40,249","3,650","5,882","5,955",720,911,"3,358","1,304","1,006",338,108,"3,640","2,519",570,84,"4,656","2,010","3,538"
2021년11월_남_20~29세,"44,902","4,017","5,633","6,429",810,"1,730","3,594","2,054","1,267",478,224,"3,255","2,305","1,348",292,"4,869","1,869","4,728"
2021년11월_남_30~39세,"44,437","2,829","4,805","5,932","1,048","1,251","2,727","1,711",881,405,197,"3,488","2,132","1,158",286,"7,057","2,307","6,223"
2021년11월_남_40~49세,"66,019","4,908","8,485","9,788","1,344","1,656","4,895","2,053","1,585",549,262,"5,740","3,509","1,122",273,"9,077","3,713","7,060"
2021년11월_남_50~59세,"62,215","5,613","8,222","9,328","1,178","2,641","5,302","2,704","1,906","1,006",398,"4,348","3,127","1,910",478,"5,794","2,634","5,626"
2021년11월_남_60~69세,"44,051","3,767","5,842","6,164",993,"2,252","3,004","2,401","1,407","1,032",484,"2,503","1,718","1,924",625,"3,912","1,652","4,371"
2021년11월_남_70~79세,"21,078","2,204","2,695","3,024",393,908,"1,514","1,040",757,557,224,"1,371",855,765,222,"1,976",677,"1,896"
2021년11월_남_80~89세,"7,754",835,"1,020","1,111",152,362,626,377,356,205,101,509,334,306,95,597,212,556
2021년11월_남_90~99세,670,84,85,95,16,30,48,31,42,22,7,44,30,28,6,39,18,45
2021년11월_남_100세 이상,29,5,1,3,1,0,1,2,4,2,3,1,0,1,0,0,0,5
2021년11월_여_총인구수,"367,527","30,637","45,642","52,036","7,353","11,303","26,695","14,513","9,764","4,275","1,969","29,475","18,584","9,036","1,854","45,662","18,155","40,574"
2021년11월_여_연령구간인구수,"367,527","30,637","45,642","52,036","7,353","11,303","26,695","14,513","9,764","4,275","1,969","29,475","18,584","9,036","1,854","45,662","18,155","40,574"
2021년11월_여_0~9세,"30,810","1,747","3,594","3,985",739,403,"1,761",793,547,138,81,"2,919","1,503",315,71,"5,810","2,211","4,193"
2021년11월_여_10~19세,"37,969","3,503","5,476","5,422",658,857,"3,119","1,189",862,254,116,"3,506","2,334",517,80,"4,584","1,873","3,619"
2021년11월_여_20~29세,"41,346","3,532","4,936","5,777",738,"1,376","3,210","1,792","1,211",343,178,"2,988","2,284","1,086",200,"4,996","1,799","4,900"
2021년11월_여_30~39세,"45,560","2,853","4,848","5,917","1,051","1,010","2,619","1,513",852,334,179,"3,909","2,171",836,179,"7,934","2,759","6,596"
2021년11월_여_40~49세,"65,793","5,506","8,412","9,695","1,270","1,469","4,957","2,034","1,516",440,240,"6,120","3,673",993,162,"8,562","3,693","7,051"
2021년11월_여_50~59세,"59,735","5,489","7,286","8,623","1,159","2,360","4,735","2,852","1,779",802,358,"4,315","2,999","1,879",360,"5,926","2,665","6,148"
2021년11월_여_60~69세,"46,447","4,090","5,807","6,665",991,"2,025","3,135","2,409","1,484",956,427,"2,995","1,895","1,864",430,"4,544","1,930","4,800"
2021년11월_여_70~79세,"24,954","2,493","3,321","3,848",436,"1,067","1,975","1,185",942,573,227,"1,787","1,066",866,223,"2,103",785,"2,057"
2021년11월_여_80~89세,"12,574","1,197","1,703","1,804",238,624,"1,020",644,477,323,132,771,570,569,133,989,368,"1,012"
2021년11월_여_90~99세,"2,238",218,246,291,73,106,159,94,84,107,31,159,86,108,15,206,70,185
2021년11월_여_100세 이상,101,9,13,9,0,6,5,8,10,5,0,6,3,3,1,8,2,13
