카테고리,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2021년01월_계_총인구수,"394,532","24,791","19,250","14,634","34,543","22,363","25,594","24,714","20,001","20,179","25,529","35,322","19,416","30,430","17,102","39,500","21,164"
2021년01월_계_연령구간인구수,"394,532","24,791","19,250","14,634","34,543","22,363","25,594","24,714","20,001","20,179","25,529","35,322","19,416","30,430","17,102","39,500","21,164"
2021년01월_계_0~9세,"22,888","1,260","1,076","1,301","1,578","1,188","1,117","1,852",792,"1,265","1,054","2,357","1,085","1,491",795,"3,311","1,366"
2021년01월_계_10~19세,"26,617","1,606","1,208",907,"1,965","1,257","1,478","1,975",807,"1,330","1,169","3,124","1,228","1,873","1,168","3,785","1,737"
2021년01월_계_20~29세,"56,045","3,385","2,527","1,784","5,388","3,107","3,823","3,573","4,086","2,899","3,755","4,968","2,719","4,206","2,329","4,908","2,588"
2021년01월_계_30~39세,"57,979","3,311","2,735","2,678","5,303","3,413","3,599","3,615","4,159","3,216","3,695","4,929","3,098","4,106","2,153","5,045","2,924"
2021년01월_계_40~49세,"57,740","3,687","3,009","2,222","5,060","3,177","3,539","3,587","2,629","2,823","3,473","5,880","2,881","4,127","2,431","6,000","3,215"
2021년01월_계_50~59세,"69,436","4,908","3,297","2,470","6,333","3,931","4,737","4,416","3,101","3,363","4,966","5,557","3,255","5,693","3,304","6,561","3,544"
2021년01월_계_60~69세,"58,588","3,694","2,925","1,895","4,929","3,562","4,049","3,339","2,516","3,093","4,139","4,737","2,960","5,122","2,762","5,566","3,300"
2021년01월_계_70~79세,"31,551","2,066","1,845",995,"2,828","1,966","2,302","1,610","1,366","1,562","2,297","2,613","1,565","2,617","1,478","2,825","1,616"
2021년01월_계_80~89세,"11,850",749,530,345,"1,011",656,830,657,470,556,870,"1,002",553,"1,018",573,"1,261",769
2021년01월_계_90~99세,"1,635",114,86,33,122,94,109,87,64,67,93,132,61,156,94,223,100
2021년01월_계_100세 이상,203,11,12,4,26,12,11,3,11,5,18,23,11,21,15,15,5
2021년01월_남_총인구수,"194,990","12,354","9,601","7,384","17,155","11,202","12,710","12,083","9,713","9,877","13,103","17,088","9,561","15,274","8,589","19,222","10,074"
2021년01월_남_연령구간인구수,"194,990","12,354","9,601","7,384","17,155","11,202","12,710","12,083","9,713","9,877","13,103","17,088","9,561","15,274","8,589","19,222","10,074"
2021년01월_남_0~9세,"11,840",644,569,650,822,653,563,972,398,666,567,"1,207",559,764,415,"1,694",697
2021년01월_남_10~19세,"13,544",795,633,470,963,657,764,"1,050",431,651,622,"1,582",639,932,533,"1,943",879
2021년01월_남_20~29세,"27,747","1,681","1,312",910,"2,728","1,570","1,923","1,758","1,712","1,423","1,865","2,400","1,329","2,130","1,196","2,492","1,318"
2021년01월_남_30~39세,"29,895","1,750","1,425","1,363","2,786","1,764","1,930","1,833","2,129","1,672","1,972","2,438","1,614","2,141","1,167","2,483","1,428"
2021년01월_남_40~49세,"29,821","1,942","1,606","1,209","2,646","1,688","1,848","1,753","1,382","1,472","1,878","2,901","1,449","2,230","1,242","3,007","1,568"
2021년01월_남_50~59세,"34,237","2,506","1,646","1,250","3,129","1,913","2,309","2,121","1,559","1,573","2,634","2,669","1,602","2,873","1,683","3,100","1,670"
2021년01월_남_60~69세,"28,430","1,792","1,365",935,"2,401","1,740","1,954","1,632","1,217","1,479","2,124","2,230","1,395","2,540","1,408","2,696","1,522"
2021년01월_남_70~79세,"14,422",930,814,457,"1,240",944,"1,042",701,662,702,"1,051","1,211",730,"1,247",692,"1,296",703
2021년01월_남_80~89세,"4,630",283,204,131,406,254,342,247,206,225,353,419,224,373,232,470,261
2021년01월_남_90~99세,376,30,25,8,27,17,32,16,15,13,31,24,16,38,18,39,27
2021년01월_남_100세 이상,48,1,2,1,7,2,3,0,2,1,6,7,4,6,3,2,1
2021년01월_여_총인구수,"199,542","12,437","9,649","7,250","17,388","11,161","12,884","12,631","10,288","10,302","12,426","18,234","9,855","15,156","8,513","20,278","11,090"
2021년01월_여_연령구간인구수,"199,542","12,437","9,649","7,250","17,388","11,161","12,884","12,631","10,288","10,302","12,426","18,234","9,855","15,156","8,513","20,278","11,090"
2021년01월_여_0~9세,"11,048",616,507,651,756,535,554,880,394,599,487,"1,150",526,727,380,"1,617",669
2021년01월_여_10~19세,"13,073",811,575,437,"1,002",600,714,925,376,679,547,"1,542",589,941,635,"1,842",858
2021년01월_여_20~29세,"28,298","1,704","1,215",874,"2,660","1,537","1,900","1,815","2,374","1,476","1,890","2,568","1,390","2,076","1,133","2,416","1,270"
2021년01월_여_30~39세,"28,084","1,561","1,310","1,315","2,517","1,649","1,669","1,782","2,030","1,544","1,723","2,491","1,484","1,965",986,"2,562","1,496"
2021년01월_여_40~49세,"27,919","1,745","1,403","1,013","2,414","1,489","1,691","1,834","1,247","1,351","1,595","2,979","1,432","1,897","1,189","2,993","1,647"
2021년01월_여_50~59세,"35,199","2,402","1,651","1,220","3,204","2,018","2,428","2,295","1,542","1,790","2,332","2,888","1,653","2,820","1,621","3,461","1,874"
2021년01월_여_60~69세,"30,158","1,902","1,560",960,"2,528","1,822","2,095","1,707","1,299","1,614","2,015","2,507","1,565","2,582","1,354","2,870","1,778"
2021년01월_여_70~79세,"17,129","1,136","1,031",538,"1,588","1,022","1,260",909,704,860,"1,246","1,402",835,"1,370",786,"1,529",913
2021년01월_여_80~89세,"7,220",466,326,214,605,402,488,410,264,331,517,583,329,645,341,791,508
2021년01월_여_90~99세,"1,259",84,61,25,95,77,77,71,49,54,62,108,45,118,76,184,73
2021년01월_여_100세 이상,155,10,10,3,19,10,8,3,9,4,12,16,7,15,12,13,4
