카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년04월_계_총인구수,"405,271","36,480","21,417","24,918","24,120","20,706","29,724","9,322","23,574","27,951","32,185","32,140","21,393","22,653","39,674","24,280","14,734"
2020년04월_계_연령구간인구수,"405,271","36,480","21,417","24,918","24,120","20,706","29,724","9,322","23,574","27,951","32,185","32,140","21,393","22,653","39,674","24,280","14,734"
2020년04월_계_0~9세,"29,660","3,714","1,989",991,"1,463",904,"1,958",270,"1,432","1,949","2,091","2,428","1,381","1,301","3,744","1,577","2,468"
2020년04월_계_10~19세,"30,900","3,551","2,032","1,471","1,480","1,190","1,721",319,"2,070","2,379","2,418","2,458","1,532","1,275","3,891","2,083","1,030"
2020년04월_계_20~29세,"55,535","4,431","2,900","3,293","4,230","2,917","5,114","1,382","3,293","3,700","4,233","3,850","2,693","3,953","4,734","3,145","1,667"
2020년04월_계_30~39세,"63,911","6,382","3,937","2,956","5,117","3,036","5,541","1,204","2,996","3,457","4,462","4,873","3,103","4,389","5,433","3,412","3,613"
2020년04월_계_40~49세,"63,949","6,555","3,652","3,672","4,083","3,092","4,246","1,261","3,670","4,475","4,821","4,933","3,302","3,201","6,819","3,924","2,243"
2020년04월_계_50~59세,"63,584","5,186","3,056","4,834","3,012","3,577","4,628","1,971","4,012","4,903","5,555","4,921","3,521","3,077","5,724","4,006","1,601"
2020년04월_계_60~69세,"54,216","3,963","2,490","3,926","2,555","3,049","3,626","1,604","3,477","3,872","4,769","4,922","3,374","2,909","4,880","3,485","1,315"
2020년04월_계_70~79세,"31,027","1,917",948,"2,670","1,528","2,074","2,069",869,"1,917","2,265","2,773","2,773","1,753","1,801","3,175","1,948",547
2020년04월_계_80~89세,"10,882",680,350,958,569,765,727,365,611,843,935,848,648,656,"1,115",603,209
2020년04월_계_90~99세,"1,440",93,60,117,62,85,94,55,91,101,120,123,77,85,151,86,40
2020년04월_계_100세 이상,167,8,3,30,21,17,0,22,5,7,8,11,9,6,8,11,1
2020년04월_남_총인구수,"200,239","17,851","10,517","12,542","12,277","10,096","14,347","5,067","11,784","13,860","16,125","15,733","10,469","11,114","19,181","12,018","7,258"
2020년04월_남_연령구간인구수,"200,239","17,851","10,517","12,542","12,277","10,096","14,347","5,067","11,784","13,860","16,125","15,733","10,469","11,114","19,181","12,018","7,258"
2020년04월_남_0~9세,"15,157","1,863","1,043",511,771,458,992,149,745,971,"1,027","1,267",688,657,"1,913",805,"1,297"
2020년04월_남_10~19세,"15,934","1,840","1,071",782,749,591,888,166,"1,076","1,240","1,213","1,223",799,659,"1,978","1,149",510
2020년04월_남_20~29세,"27,311","2,167","1,376","1,693","2,033","1,422","2,223",745,"1,724","1,904","2,208","1,946","1,380","1,789","2,302","1,618",781
2020년04월_남_30~39세,"32,638","3,035","1,980","1,614","2,795","1,572","2,728",709,"1,564","1,761","2,337","2,475","1,600","2,270","2,668","1,776","1,754"
