카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년08월_계_총인구수,"283,901","15,732","25,382","19,785","38,216","41,878","16,897","29,870","11,304","12,091","10,816","16,546","26,542","18,842"
2021년08월_계_연령구간인구수,"283,901","15,732","25,382","19,785","38,216","41,878","16,897","29,870","11,304","12,091","10,816","16,546","26,542","18,842"
2021년08월_계_0~9세,"18,651",834,"1,346",849,"2,006","3,940","1,190","2,490",388,427,408,"1,404","2,186","1,183"
2021년08월_계_10~19세,"22,679",751,"1,693","1,431","2,983","4,384","1,353","3,801",502,584,603,"1,005","2,290","1,299"
2021년08월_계_20~29세,"36,404","2,051","3,444","2,841","4,379","5,578","2,413","3,850","1,392","1,813","1,380","1,846","3,065","2,352"
2021년08월_계_30~39세,"33,776","2,213","3,089","1,894","3,699","5,286","2,034","3,145","1,300","1,507","1,087","3,006","3,270","2,246"
2021년08월_계_40~49세,"40,047","1,922","3,343","2,732","5,037","6,490","2,206","5,304","1,270","1,458","1,442","2,251","4,078","2,514"
2021년08월_계_50~59세,"52,677","2,965","4,969","4,181","7,346","8,111","3,371","5,391","2,020","2,173","1,917","2,579","4,349","3,305"
2021년08월_계_60~69세,"47,994","3,028","4,666","3,657","6,896","5,567","2,580","3,342","2,450","2,447","2,142","2,808","4,590","3,821"
2021년08월_계_70~79세,"21,902","1,370","2,026","1,607","3,681","1,826","1,190","1,728","1,298","1,165","1,296","1,206","1,968","1,541"
2021년08월_계_80~89세,"8,648",531,728,526,"1,976",603,486,730,602,452,485,393,642,494
2021년08월_계_90~99세,"1,089",65,74,64,210,91,71,86,76,65,55,46,102,84
2021년08월_계_100세 이상,34,2,4,3,3,2,3,3,6,0,1,2,2,3
2021년08월_남_총인구수,"140,302","7,964","13,002","10,177","18,484","20,574","8,263","14,634","5,574","6,027","5,286","8,116","13,016","9,185"
2021년08월_남_연령구간인구수,"140,302","7,964","13,002","10,177","18,484","20,574","8,263","14,634","5,574","6,027","5,286","8,116","13,016","9,185"
2021년08월_남_0~9세,"9,612",406,714,436,"1,040","2,036",631,"1,262",186,224,214,721,"1,130",612
2021년08월_남_10~19세,"11,812",359,897,781,"1,536","2,270",676,"2,007",275,304,315,512,"1,186",694
2021년08월_남_20~29세,"19,491","1,079","1,881","1,621","2,348","2,961","1,310","2,044",761,950,739,910,"1,607","1,280"
2021년08월_남_30~39세,"17,630","1,227","1,705","1,069","1,999","2,541","1,057","1,499",727,860,592,"1,567","1,638","1,149"
2021년08월_남_40~49세,"19,917","1,058","1,769","1,405","2,456","3,013","1,063","2,435",657,780,794,"1,177","2,038","1,272"
2021년08월_남_50~59세,"24,971","1,476","2,455","2,087","3,442","3,735","1,526","2,655","1,010","1,053",925,"1,148","2,029","1,430"
2021년08월_남_60~69세,"23,599","1,506","2,324","1,818","3,482","2,906","1,286","1,636","1,139","1,173",996,"1,355","2,183","1,795"
2021년08월_남_70~79세,"10,111",656,977,752,"1,539",902,535,774,599,525,552,592,964,744
2021년08월_남_80~89세,"2,943",181,271,200,592,199,161,297,201,147,150,132,220,192
2021년08월_남_90~99세,213,15,9,8,50,11,16,25,19,11,9,2,21,17
2021년08월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021년08월_여_총인구수,"143,599","7,768","12,380","9,608","19,732","21,304","8,634","15,236","5,730","6,064","5,530","8,430","13,526","9,657"
2021년08월_여_연령구간인구수,"143,599","7,768","12,380","9,608","19,732","21,304","8,634","15,236","5,730","6,064","5,530","8,430","13,526","9,657"
2021년08월_여_0~9세,"9,039",428,632,413,966,"1,904",559,"1,228",202,203,194,683,"1,056",571
2021년08월_여_10~19세,"10,867",392,796,650,"1,447","2,114",677,"1,794",227,280,288,493,"1,104",605
2021년08월_여_20~29세,"16,913",972,"1,563","1,220","2,031","2,617","1,103","1,806",631,863,641,936,"1,458","1,072"
2021년08월_여_30~39세,"16,146",986,"1,384",825,"1,700","2,745",977,"1,646",573,647,495,"1,439","1,632","1,097"
2021년08월_여_40~49세,"20,130",864,"1,574","1,327","2,581","3,477","1,143","2,869",613,678,648,"1,074","2,040","1,242"
2021년08월_여_50~59세,"27,706","1,489","2,514","2,094","3,904","4,376","1,845","2,736","1,010","1,120",992,"1,431","2,320","1,875"
2021년08월_여_60~69세,"24,395","1,522","2,342","1,839","3,414","2,661","1,294","1,706","1,311","1,274","1,146","1,453","2,407","2,026"
2021년08월_여_70~79세,"11,791",714,"1,049",855,"2,142",924,655,954,699,640,744,614,"1,004",797
2021년08월_여_80~89세,"5,705",350,457,326,"1,384",404,325,433,401,305,335,261,422,302
2021년08월_여_90~99세,876,50,65,56,160,80,55,61,57,54,46,44,81,67
2021년08월_여_100세 이상,31,1,4,3,3,2,1,3,6,0,1,2,2,3
