카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년07월_계_총인구수,"30,493","9,900","2,111","2,232","3,569","1,509","1,905","2,290","2,718","2,179","2,080"
2021년07월_계_연령구간인구수,"30,493","9,900","2,111","2,232","3,569","1,509","1,905","2,290","2,718","2,179","2,080"
2021년07월_계_0~9세,"1,207",621,49,71,141,39,44,72,72,49,49
2021년07월_계_10~19세,"1,980",960,85,83,259,83,101,104,101,109,95
2021년07월_계_20~29세,"2,527","1,203",140,152,330,83,110,125,168,111,105
2021년07월_계_30~39세,"1,967",886,96,103,259,66,99,98,131,112,117
2021년07월_계_40~49세,"3,016","1,237",164,213,390,122,164,193,201,174,158
2021년07월_계_50~59세,"5,067","1,642",346,415,599,298,296,354,457,310,350
2021년07월_계_60~69세,"6,436","1,616",492,537,713,346,459,545,639,555,534
2021년07월_계_70~79세,"4,469",999,367,339,500,238,337,450,478,402,359
2021년07월_계_80~89세,"3,353",630,331,280,333,204,258,313,422,307,275
2021년07월_계_90~99세,462,104,41,38,45,29,36,35,49,49,36
2021년07월_계_100세 이상,9,2,0,1,0,1,1,1,0,1,2
2021년07월_남_총인구수,"15,488","4,990","1,060","1,169","1,869",795,982,"1,156","1,355","1,092","1,020"
2021년07월_남_연령구간인구수,"15,488","4,990","1,060","1,169","1,869",795,982,"1,156","1,355","1,092","1,020"
2021년07월_남_0~9세,611,318,26,38,69,25,18,34,36,26,21
2021년07월_남_10~19세,"1,040",485,52,45,144,50,51,49,60,50,54
2021년07월_남_20~29세,"1,485",690,86,88,209,52,69,62,95,70,64
2021년07월_남_30~39세,"1,105",455,56,64,157,36,62,59,81,68,67
2021년07월_남_40~49세,"1,773",663,92,135,223,74,111,135,124,114,102
2021년07월_남_50~59세,"2,786",871,185,239,325,177,177,208,258,160,186
2021년07월_남_60~69세,"3,307",781,266,283,379,190,240,277,338,281,272
2021년07월_남_70~79세,"2,057",480,168,169,222,107,156,198,207,193,157
2021년07월_남_80~89세,"1,200",220,119,99,121,76,87,125,146,115,92
2021년07월_남_90~99세,121,26,10,9,20,7,10,9,10,15,5
2021년07월_남_100세 이상,3,1,0,0,0,1,1,0,0,0,0
2021년07월_여_총인구수,"15,005","4,910","1,051","1,063","1,700",714,923,"1,134","1,363","1,087","1,060"
2021년07월_여_연령구간인구수,"15,005","4,910","1,051","1,063","1,700",714,923,"1,134","1,363","1,087","1,060"
2021년07월_여_0~9세,596,303,23,33,72,14,26,38,36,23,28
2021년07월_여_10~19세,940,475,33,38,115,33,50,55,41,59,41
2021년07월_여_20~29세,"1,042",513,54,64,121,31,41,63,73,41,41
2021년07월_여_30~39세,862,431,40,39,102,30,37,39,50,44,50
2021년07월_여_40~49세,"1,243",574,72,78,167,48,53,58,77,60,56
2021년07월_여_50~59세,"2,281",771,161,176,274,121,119,146,199,150,164
2021년07월_여_60~69세,"3,129",835,226,254,334,156,219,268,301,274,262
2021년07월_여_70~79세,"2,412",519,199,170,278,131,181,252,271,209,202
2021년07월_여_80~89세,"2,153",410,212,181,212,128,171,188,276,192,183
2021년07월_여_90~99세,341,78,31,29,25,22,26,26,39,34,31
2021년07월_여_100세 이상,6,1,0,1,0,0,0,1,0,1,2
