,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년04월_계_총인구수,"42,684","7,176","1,126","10,467","1,632","2,166","3,991","2,255","4,559","2,127","3,365","3,820"
2020년04월_계_연령구간인구수,"42,684","7,176","1,126","10,467","1,632","2,166","3,991","2,255","4,559","2,127","3,365","3,820"
2020년04월_계_0~9세,"1,583",471,49,484,36,51,133,64,133,37,61,64
2020년04월_계_10~19세,"2,370",674,23,743,58,83,178,73,273,47,114,104
2020년04월_계_20~29세,"2,942",593,55,908,92,122,231,136,292,133,186,194
2020년04월_계_30~39세,"2,969",664,100,898,100,118,266,113,265,111,149,185
2020년04월_계_40~49세,"4,581","1,049",104,"1,364",138,176,362,165,474,193,267,289
2020년04월_계_50~59세,"7,545","1,230",171,"1,821",277,348,733,459,793,431,600,682
2020년04월_계_60~69세,"9,374","1,207",266,"2,069",439,520,926,567,"1,040",514,836,990
2020년04월_계_70~79세,"6,525",754,195,"1,306",304,428,644,395,736,352,666,745
2020년04월_계_80~89세,"4,208",462,146,774,164,277,463,257,468,273,417,507
2020년04월_계_90~99세,568,67,15,97,24,43,52,26,83,36,66,59
2020년04월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,3,1
2020년04월_남_총인구수,"20,937","3,495",566,"5,147",793,"1,027","1,951","1,119","2,199","1,036","1,693","1,911"
2020년04월_남_연령구간인구수,"20,937","3,495",566,"5,147",793,"1,027","1,951","1,119","2,199","1,036","1,693","1,911"
2020년04월_남_0~9세,811,247,25,236,11,31,66,36,67,23,39,30
2020년04월_남_10~19세,"1,205",330,17,372,38,36,83,29,149,30,67,54
2020년04월_남_20~29세,"1,750",338,34,528,59,80,136,87,164,75,120,129
2020년04월_남_30~39세,"1,585",328,54,481,61,70,148,62,123,59,84,115
2020년04월_남_40~49세,"2,560",547,71,746,84,98,215,87,258,99,167,188
2020년04월_남_50~59세,"3,948",609,91,949,141,177,388,232,419,240,342,360
2020년04월_남_60~69세,"4,699",611,125,"1,023",208,260,457,311,493,282,421,508
2020년04월_남_70~79세,"2,953",331,89,559,136,185,292,179,372,141,319,350
2020년04월_남_80~89세,"1,306",136,57,235,53,78,149,94,141,78,123,162
2020년04월_남_90~99세,119,18,2,18,2,12,17,2,13,9,11,15
2020년04월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"21,747","3,681",560,"5,320",839,"1,139","2,040","1,136","2,360","1,091","1,672","1,909"
2020년04월_여_연령구간인구수,"21,747","3,681",560,"5,320",839,"1,139","2,040","1,136","2,360","1,091","1,672","1,909"
2020년04월_여_0~9세,772,224,24,248,25,20,67,28,66,14,22,34
2020년04월_여_10~19세,"1,165",344,6,371,20,47,95,44,124,17,47,50
2020년04월_여_20~29세,"1,192",255,21,380,33,42,95,49,128,58,66,65
2020년04월_여_30~39세,"1,384",336,46,417,39,48,118,51,142,52,65,70
2020년04월_여_40~49세,"2,021",502,33,618,54,78,147,78,216,94,100,101
2020년04월_여_50~59세,"3,597",621,80,872,136,171,345,227,374,191,258,322
2020년04월_여_60~69세,"4,675",596,141,"1,046",231,260,469,256,547,232,415,482
2020년04월_여_70~79세,"3,572",423,106,747,168,243,352,216,364,211,347,395
2020년04월_여_80~89세,"2,902",326,89,539,111,199,314,163,327,195,294,345
2020년04월_여_90~99세,449,49,13,79,22,31,35,24,70,27,55,44
2020년04월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,3,1
