카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년07월_계_총인구수,"43,209","7,292","18,473","8,768","8,676"
2021년07월_계_연령구간인구수,"43,209","7,292","18,473","8,768","8,676"
2021년07월_계_0~9세,"3,858",610,"1,197","1,324",727
2021년07월_계_10~19세,"6,262",923,"2,315","1,943","1,081"
2021년07월_계_20~29세,"4,887",775,"2,305",813,994
2021년07월_계_30~39세,"4,634",702,"1,730","1,335",867
2021년07월_계_40~49세,"8,298","1,197","3,073","2,484","1,544"
2021년07월_계_50~59세,"7,093","1,336","3,533",712,"1,512"
2021년07월_계_60~69세,"4,762","1,067","2,370",81,"1,244"
2021년07월_계_70~79세,"2,092",441,"1,120",55,476
2021년07월_계_80~89세,"1,127",191,714,19,203
2021년07월_계_90~99세,193,49,114,2,28
2021년07월_계_100세 이상,3,1,2,0,0
2021년07월_남_총인구수,"21,529","3,582","9,025","4,573","4,349"
2021년07월_남_연령구간인구수,"21,529","3,582","9,025","4,573","4,349"
2021년07월_남_0~9세,"1,931",309,606,656,360
2021년07월_남_10~19세,"3,287",463,"1,237","1,018",569
2021년07월_남_20~29세,"2,741",419,"1,251",483,588
2021년07월_남_30~39세,"2,324",341,886,671,426
2021년07월_남_40~49세,"4,033",563,"1,469","1,272",729
2021년07월_남_50~59세,"3,564",670,"1,717",432,745
2021년07월_남_60~69세,"2,293",533,"1,136",21,603
2021년07월_남_70~79세,949,214,478,12,245
2021년07월_남_80~89세,367,64,221,7,75
2021년07월_남_90~99세,40,6,24,1,9
2021년07월_남_100세 이상,0,0,0,0,0
2021년07월_여_총인구수,"21,680","3,710","9,448","4,195","4,327"
2021년07월_여_연령구간인구수,"21,680","3,710","9,448","4,195","4,327"
2021년07월_여_0~9세,"1,927",301,591,668,367
2021년07월_여_10~19세,"2,975",460,"1,078",925,512
2021년07월_여_20~29세,"2,146",356,"1,054",330,406
2021년07월_여_30~39세,"2,310",361,844,664,441
2021년07월_여_40~49세,"4,265",634,"1,604","1,212",815
2021년07월_여_50~59세,"3,529",666,"1,816",280,767
2021년07월_여_60~69세,"2,469",534,"1,234",60,641
2021년07월_여_70~79세,"1,143",227,642,43,231
2021년07월_여_80~89세,760,127,493,12,128
2021년07월_여_90~99세,153,43,90,1,19
2021년07월_여_100세 이상,3,1,2,0,0
