카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년12월_계_총인구수,"359,886","15,533","9,915","20,941","22,434","20,536","12,934","21,842","21,097","23,088","17,959","23,800","10,365","11,691","19,826","17,158","17,190","11,299","29,438","12,016","20,824"
2020년12월_계_연령구간인구수,"359,886","15,533","9,915","20,941","22,434","20,536","12,934","21,842","21,097","23,088","17,959","23,800","10,365","11,691","19,826","17,158","17,190","11,299","29,438","12,016","20,824"
2020년12월_계_0~9세,"21,318",630,620,"1,462","1,307","1,191",568,"1,367",985,"1,956","1,145","1,181",756,702,895,"1,030","1,268",638,"1,846",507,"1,264"
2020년12월_계_10~19세,"25,005",551,465,"1,878","1,579","1,545",600,"1,256","1,177","1,887","1,928","1,981",705,950,"1,211","1,393","1,010",833,"2,523",481,"1,052"
2020년12월_계_20~29세,"52,781","3,297","1,937","2,140","2,318","2,993","2,958","4,601","3,401","2,582","2,048","2,939","1,313","1,270","3,227","2,151","3,274","1,574","3,644","2,501","2,613"
2020년12월_계_30~39세,"47,994","2,407","1,751","2,338","2,457","2,496","2,276","4,104","3,022","3,073","1,756","2,356","1,644","1,321","2,284","1,872","2,786","1,177","3,411","2,265","3,198"
2020년12월_계_40~49세,"51,698","1,796","1,474","3,364","3,140","3,009","1,782","3,008","2,957","3,797","2,893","3,458","1,494","1,800","2,685","2,442","2,436","1,534","4,288","1,544","2,797"
2020년12월_계_50~59세,"58,636","2,512","1,530","3,305","3,696","3,616","1,635","2,778","3,097","3,794","3,379","4,465","1,501","2,225","3,397","2,893","2,561","1,942","5,350","1,697","3,263"
2020년12월_계_60~69세,"56,014","2,423","1,302","3,427","4,092","3,076","1,616","2,454","3,323","3,227","2,714","4,123","1,626","1,900","3,373","2,953","2,128","1,938","5,036","1,660","3,623"
2020년12월_계_70~79세,"31,765","1,304",564,"2,083","2,677","1,710","1,013","1,502","2,148","1,973","1,475","2,154",920,"1,056","1,967","1,715","1,203","1,163","2,202",889,"2,047"
2020년12월_계_80~89세,"12,919",530,219,829,"1,040",804,425,664,887,687,543,985,365,414,702,616,469,457,"1,022",414,847
2020년12월_계_90~99세,"1,524",67,46,108,116,84,52,92,87,81,65,146,34,46,77,80,53,40,107,49,94
2020년12월_계_100세 이상,232,16,7,7,12,12,9,16,13,31,13,12,7,7,8,13,2,3,9,9,26
2020년12월_남_총인구수,"173,920","7,818","4,970","9,887","10,887","9,720","5,960","10,482","9,929","11,284","8,836","11,361","4,984","5,723","9,869","8,360","8,228","5,528","14,250","5,713","10,131"
2020년12월_남_연령구간인구수,"173,920","7,818","4,970","9,887","10,887","9,720","5,960","10,482","9,929","11,284","8,836","11,361","4,984","5,723","9,869","8,360","8,228","5,528","14,250","5,713","10,131"
2020년12월_남_0~9세,"10,780",310,337,726,683,587,293,683,510,"1,003",583,574,383,367,437,524,643,297,952,237,651
2020년12월_남_10~19세,"12,741",299,226,939,867,783,286,628,605,954,992,"1,016",355,460,633,718,486,424,"1,259",245,566
2020년12월_남_20~29세,"25,915","1,515",930,"1,123","1,237","1,471","1,196","2,056","1,586","1,338","1,124","1,593",642,682,"1,740","1,134","1,447",853,"1,925","1,088","1,235"
2020년12월_남_30~39세,"24,512","1,301",948,"1,200","1,267","1,231","1,094","2,131","1,502","1,509",885,"1,224",834,677,"1,221",950,"1,400",641,"1,702","1,134","1,661"
2020년12월_남_40~49세,"26,091",987,782,"1,595","1,580","1,480",896,"1,515","1,446","1,927","1,395","1,682",768,909,"1,442","1,211","1,264",769,"2,135",793,"1,515"
2020년12월_남_50~59세,"28,430","1,369",749,"1,525","1,773","1,703",835,"1,378","1,476","1,837","1,678","2,097",699,"1,088","1,673","1,386","1,265",950,"2,499",876,"1,574"
2020년12월_남_60~69세,"26,356","1,228",651,"1,529","1,858","1,442",749,"1,173","1,506","1,558","1,290","1,930",730,918,"1,572","1,350",976,913,"2,435",799,"1,749"
2020년12월_남_70~79세,"14,031",600,257,905,"1,200",717,437,650,927,886,679,899,417,472,873,808,560,508,983,385,868
2020년12월_남_80~89세,"4,663",191,77,311,398,281,158,244,350,242,192,317,145,141,263,252,177,162,341,140,281
2020년12월_남_90~99세,353,15,13,32,23,21,12,21,17,23,15,28,10,7,15,24,10,10,18,14,25
2020년12월_남_100세 이상,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2020년12월_여_총인구수,"185,966","7,715","4,945","11,054","11,547","10,816","6,974","11,360","11,168","11,804","9,123","12,439","5,381","5,968","9,957","8,798","8,962","5,771","15,188","6,303","10,693"
2020년12월_여_연령구간인구수,"185,966","7,715","4,945","11,054","11,547","10,816","6,974","11,360","11,168","11,804","9,123","12,439","5,381","5,968","9,957","8,798","8,962","5,771","15,188","6,303","10,693"
2020년12월_여_0~9세,"10,538",320,283,736,624,604,275,684,475,953,562,607,373,335,458,506,625,341,894,270,613
2020년12월_여_10~19세,"12,264",252,239,939,712,762,314,628,572,933,936,965,350,490,578,675,524,409,"1,264",236,486
2020년12월_여_20~29세,"26,866","1,782","1,007","1,017","1,081","1,522","1,762","2,545","1,815","1,244",924,"1,346",671,588,"1,487","1,017","1,827",721,"1,719","1,413","1,378"
2020년12월_여_30~39세,"23,482","1,106",803,"1,138","1,190","1,265","1,182","1,973","1,520","1,564",871,"1,132",810,644,"1,063",922,"1,386",536,"1,709","1,131","1,537"
2020년12월_여_40~49세,"25,607",809,692,"1,769","1,560","1,529",886,"1,493","1,511","1,870","1,498","1,776",726,891,"1,243","1,231","1,172",765,"2,153",751,"1,282"
2020년12월_여_50~59세,"30,206","1,143",781,"1,780","1,923","1,913",800,"1,400","1,621","1,957","1,701","2,368",802,"1,137","1,724","1,507","1,296",992,"2,851",821,"1,689"
2020년12월_여_60~69세,"29,658","1,195",651,"1,898","2,234","1,634",867,"1,281","1,817","1,669","1,424","2,193",896,982,"1,801","1,603","1,152","1,025","2,601",861,"1,874"
2020년12월_여_70~79세,"17,734",704,307,"1,178","1,477",993,576,852,"1,221","1,087",796,"1,255",503,584,"1,094",907,643,655,"1,219",504,"1,179"
2020년12월_여_80~89세,"8,256",339,142,518,642,523,267,420,537,445,351,668,220,273,439,364,292,295,681,274,566
2020년12월_여_90~99세,"1,171",52,33,76,93,63,40,71,70,58,50,118,24,39,62,56,43,30,89,35,69
2020년12월_여_100세 이상,184,13,7,5,11,8,5,13,9,24,10,11,6,5,8,10,2,2,8,7,20
