,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년07월_계_총인구수,"49,308","18,097","3,706","4,347",786,"3,189","3,408","4,208","2,326","2,068",225,"2,486",986,"2,652",824
2021년07월_계_연령구간인구수,"49,308","18,097","3,706","4,347",786,"3,189","3,408","4,208","2,326","2,068",225,"2,486",986,"2,652",824
2021년07월_계_0~9세,"3,007","1,402",205,302,50,87,132,174,113,62,5,144,43,244,44
2021년07월_계_10~19세,"3,540","1,702",195,395,48,119,196,269,95,89,10,133,50,214,25
2021년07월_계_20~29세,"3,770","1,864",216,277,44,184,208,268,134,132,10,137,61,164,71
2021년07월_계_30~39세,"3,758","1,684",283,355,71,163,214,226,112,128,5,169,62,234,52
2021년07월_계_40~49세,"6,076","2,652",414,583,115,315,362,412,201,183,26,285,99,338,91
2021년07월_계_50~59세,"7,947","3,071",579,636,125,530,577,620,393,342,37,334,162,408,133
2021년07월_계_60~69세,"8,714","2,894",742,650,158,720,646,704,486,433,38,462,171,451,159
2021년07월_계_70~79세,"7,330","1,823",614,640,134,629,590,868,467,369,46,475,177,351,147
2021년07월_계_80~89세,"4,532",877,411,450,38,389,428,589,284,280,40,301,141,217,87
2021년07월_계_90~99세,618,123,47,58,2,53,54,76,40,49,7,45,19,31,14
2021년07월_계_100세 이상,16,5,0,1,1,0,1,2,1,1,1,1,1,0,1
2021년07월_남_총인구수,"24,836","9,132","1,880","2,169",432,"1,601","1,734","2,070","1,186","1,011",118,"1,226",493,"1,349",435
2021년07월_남_연령구간인구수,"24,836","9,132","1,880","2,169",432,"1,601","1,734","2,070","1,186","1,011",118,"1,226",493,"1,349",435
2021년07월_남_0~9세,"1,548",752,101,142,23,52,58,83,70,29,3,68,20,125,22
2021년07월_남_10~19세,"1,834",875,97,219,27,58,95,135,43,49,5,69,31,115,16
2021년07월_남_20~29세,"2,219","1,080",129,160,28,100,136,166,83,78,10,81,34,92,42
2021년07월_남_30~39세,"2,035",841,167,203,49,103,115,128,63,80,2,94,36,123,31
2021년07월_남_40~49세,"3,554","1,381",273,339,83,201,230,247,137,108,18,192,66,210,69
2021년07월_남_50~59세,"4,473","1,642",338,354,68,311,341,373,234,202,24,191,94,225,76
2021년07월_남_60~69세,"4,346","1,410",374,335,76,354,338,344,243,223,23,225,90,231,80
2021년07월_남_70~79세,"3,265",839,269,273,65,300,259,371,214,150,23,187,79,165,71
2021년07월_남_80~89세,"1,441",285,124,138,13,116,148,207,91,80,10,107,39,57,26
2021년07월_남_90~99세,119,27,8,6,0,6,14,16,8,11,0,11,4,6,2
2021년07월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년07월_여_총인구수,"24,472","8,965","1,826","2,178",354,"1,588","1,674","2,138","1,140","1,057",107,"1,260",493,"1,303",389
2021년07월_여_연령구간인구수,"24,472","8,965","1,826","2,178",354,"1,588","1,674","2,138","1,140","1,057",107,"1,260",493,"1,303",389
2021년07월_여_0~9세,"1,459",650,104,160,27,35,74,91,43,33,2,76,23,119,22
2021년07월_여_10~19세,"1,706",827,98,176,21,61,101,134,52,40,5,64,19,99,9
2021년07월_여_20~29세,"1,551",784,87,117,16,84,72,102,51,54,0,56,27,72,29
2021년07월_여_30~39세,"1,723",843,116,152,22,60,99,98,49,48,3,75,26,111,21
2021년07월_여_40~49세,"2,522","1,271",141,244,32,114,132,165,64,75,8,93,33,128,22
2021년07월_여_50~59세,"3,474","1,429",241,282,57,219,236,247,159,140,13,143,68,183,57
2021년07월_여_60~69세,"4,368","1,484",368,315,82,366,308,360,243,210,15,237,81,220,79
2021년07월_여_70~79세,"4,065",984,345,367,69,329,331,497,253,219,23,288,98,186,76
2021년07월_여_80~89세,"3,091",592,287,312,25,273,280,382,193,200,30,194,102,160,61
2021년07월_여_90~99세,499,96,39,52,2,47,40,60,32,38,7,34,15,25,12
2021년07월_여_100세 이상,14,5,0,1,1,0,1,2,1,0,1,0,1,0,1
