,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년12월_계_총인구수,"101,942","10,485","2,295","1,422","1,938","2,143","2,962","2,700","1,983","1,831","2,995","7,430","6,007","3,912","4,915","6,511","9,837","7,599","15,303","9,674"
2021년12월_계_연령구간인구수,"101,942","10,485","2,295","1,422","1,938","2,143","2,962","2,700","1,983","1,831","2,995","7,430","6,007","3,912","4,915","6,511","9,837","7,599","15,303","9,674"
2021년12월_계_0~9세,"5,742",430,54,26,48,48,77,66,26,22,45,417,328,134,205,436,461,385,"1,765",769
2021년12월_계_10~19세,"8,608",700,83,48,86,98,122,125,66,55,109,857,569,270,326,821,679,646,"1,946","1,002"
2021년12월_계_20~29세,"9,477",912,164,74,136,153,176,155,114,90,128,694,559,310,358,713,"1,108",859,"1,696","1,078"
2021년12월_계_30~39세,"8,121",692,116,44,104,105,140,115,75,79,117,515,432,255,325,486,771,572,"2,107","1,071"
2021년12월_계_40~49세,"13,410","1,161",173,91,158,158,238,259,133,133,192,"1,145",825,439,543,"1,059","1,201",955,"2,967","1,580"
2021년12월_계_50~59세,"17,337","1,763",442,255,319,350,479,448,345,315,508,"1,369","1,086",640,835,"1,200","1,753","1,489","2,166","1,575"
2021년12월_계_60~69세,"19,200","2,386",594,352,474,532,755,762,599,478,883,"1,165","1,058",872,"1,097",894,"1,911","1,448","1,545","1,395"
2021년12월_계_70~79세,"11,785","1,432",339,273,311,363,515,453,342,330,556,772,707,606,762,563,"1,235",796,704,726
2021년12월_계_80~89세,"7,112",844,291,219,235,275,385,274,238,282,389,423,399,343,412,304,632,390,363,414
2021년12월_계_90~99세,"1,101",152,39,39,66,56,72,40,42,46,67,69,41,41,50,34,84,58,43,62
2021년12월_계_100세 이상,49,13,0,1,1,5,3,3,3,1,1,4,3,2,2,1,2,1,1,2
2021년12월_남_총인구수,"50,591","5,214","1,187",725,995,"1,083","1,486","1,375",991,903,"1,494","3,706","2,866","1,924","2,361","3,227","4,861","3,771","7,702","4,720"
2021년12월_남_연령구간인구수,"50,591","5,214","1,187",725,995,"1,083","1,486","1,375",991,903,"1,494","3,706","2,866","1,924","2,361","3,227","4,861","3,771","7,702","4,720"
2021년12월_남_0~9세,"2,996",225,23,18,28,26,42,31,14,11,26,220,167,81,118,217,222,202,916,409
2021년12월_남_10~19세,"4,493",371,42,22,47,49,65,65,36,33,57,455,286,133,175,435,362,346,999,515
2021년12월_남_20~29세,"5,514",571,104,52,79,94,111,99,73,62,76,417,315,185,203,427,622,518,929,577
2021년12월_남_30~39세,"4,369",367,63,26,66,65,87,64,44,47,67,273,227,139,165,256,447,308,"1,085",573
2021년12월_남_40~49세,"6,889",625,101,62,97,94,147,160,78,84,129,553,412,230,278,494,631,466,"1,488",760
2021년12월_남_50~59세,"8,966",902,258,138,176,191,256,227,176,164,280,735,556,360,426,608,857,726,"1,143",787
2021년12월_남_60~69세,"9,254","1,180",316,188,265,282,386,395,313,262,444,546,472,389,487,418,864,667,730,650
2021년12월_남_70~79세,"5,331",641,167,130,141,168,248,228,157,146,265,339,287,262,330,255,576,382,294,315
2021년12월_남_80~89세,"2,528",296,106,77,84,104,128,94,92,86,134,161,132,129,166,106,260,139,109,125
2021년12월_남_90~99세,244,33,7,12,12,10,16,12,7,7,16,7,11,16,13,11,20,17,9,8
2021년12월_남_100세 이상,7,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
2021년12월_여_총인구수,"51,351","5,271","1,108",697,943,"1,060","1,476","1,325",992,928,"1,501","3,724","3,141","1,988","2,554","3,284","4,976","3,828","7,601","4,954"
2021년12월_여_연령구간인구수,"51,351","5,271","1,108",697,943,"1,060","1,476","1,325",992,928,"1,501","3,724","3,141","1,988","2,554","3,284","4,976","3,828","7,601","4,954"
2021년12월_여_0~9세,"2,746",205,31,8,20,22,35,35,12,11,19,197,161,53,87,219,239,183,849,360
2021년12월_여_10~19세,"4,115",329,41,26,39,49,57,60,30,22,52,402,283,137,151,386,317,300,947,487
2021년12월_여_20~29세,"3,963",341,60,22,57,59,65,56,41,28,52,277,244,125,155,286,486,341,767,501
2021년12월_여_30~39세,"3,752",325,53,18,38,40,53,51,31,32,50,242,205,116,160,230,324,264,"1,022",498
2021년12월_여_40~49세,"6,521",536,72,29,61,64,91,99,55,49,63,592,413,209,265,565,570,489,"1,479",820
2021년12월_여_50~59세,"8,371",861,184,117,143,159,223,221,169,151,228,634,530,280,409,592,896,763,"1,023",788
2021년12월_여_60~69세,"9,946","1,206",278,164,209,250,369,367,286,216,439,619,586,483,610,476,"1,047",781,815,745
2021년12월_여_70~79세,"6,454",791,172,143,170,195,267,225,185,184,291,433,420,344,432,308,659,414,410,411
2021년12월_여_80~89세,"4,584",548,185,142,151,171,257,180,146,196,255,262,267,214,246,198,372,251,254,289
2021년12월_여_90~99세,857,119,32,27,54,46,56,28,35,39,51,62,30,25,37,23,64,41,34,54
2021년12월_여_100세 이상,42,10,0,1,1,5,3,3,2,0,1,4,2,2,2,1,2,1,1,1
