,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년05월_계_총인구수,"53,512","21,894","4,800","7,012","1,810","1,799","1,384","2,401","2,418","4,080","5,320",406,188
2020년05월_계_연령구간인구수,"53,512","21,894","4,800","7,012","1,810","1,799","1,384","2,401","2,418","4,080","5,320",406,188
2020년05월_계_0~9세,"3,801","2,102",196,652,86,89,57,94,85,147,270,12,11
2020년05월_계_10~19세,"4,275","2,379",268,557,124,76,56,198,70,157,372,15,3
2020년05월_계_20~29세,"5,085","2,437",367,859,144,134,97,168,130,247,470,24,8
2020년05월_계_30~39세,"4,962","2,368",279,939,141,118,122,132,139,274,418,21,11
2020년05월_계_40~49세,"6,726","3,401",475,888,183,156,103,262,192,382,588,71,25
2020년05월_계_50~59세,"8,754","3,441",833,"1,177",289,294,255,397,351,677,919,84,37
2020년05월_계_60~69세,"8,287","2,790",842,860,318,335,286,404,453,904,939,105,51
2020년05월_계_70~79세,"7,130","1,913",928,699,298,315,243,431,549,842,836,43,33
2020년05월_계_80~89세,"3,919",908,541,338,187,245,147,273,404,402,443,23,8
2020년05월_계_90~99세,539,143,66,38,38,36,18,39,43,48,61,8,1
2020년05월_계_100세 이상,34,12,5,5,2,1,0,3,2,0,4,0,0
2020년05월_남_총인구수,"26,687","10,724","2,416","3,675",964,872,683,"1,219","1,159","2,005","2,610",249,111
2020년05월_남_연령구간인구수,"26,687","10,724","2,416","3,675",964,872,683,"1,219","1,159","2,005","2,610",249,111
2020년05월_남_0~9세,"1,937","1,068",95,351,45,48,21,44,48,65,140,6,6
2020년05월_남_10~19세,"2,226","1,223",142,274,93,39,26,110,42,80,187,7,3
2020년05월_남_20~29세,"2,843","1,299",231,497,87,62,51,99,70,151,276,17,3
2020년05월_남_30~39세,"2,574","1,130",165,522,80,59,59,78,77,161,222,15,6
2020년05월_남_40~49세,"3,849","1,738",310,512,123,102,72,175,121,264,358,54,20
2020년05월_남_50~59세,"4,764","1,744",494,668,167,165,142,253,206,370,475,56,24
2020년05월_남_60~69세,"4,137","1,334",415,446,181,175,155,198,224,437,479,65,28
2020년05월_남_70~79세,"3,043",867,376,298,124,135,105,174,220,361,341,23,19
2020년05월_남_80~89세,"1,213",293,170,102,55,80,48,81,145,107,124,6,2
2020년05월_남_90~99세,97,28,15,4,9,7,4,7,6,9,8,0,0
2020년05월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"26,825","11,170","2,384","3,337",846,927,701,"1,182","1,259","2,075","2,710",157,77
2020년05월_여_연령구간인구수,"26,825","11,170","2,384","3,337",846,927,701,"1,182","1,259","2,075","2,710",157,77
2020년05월_여_0~9세,"1,864","1,034",101,301,41,41,36,50,37,82,130,6,5
2020년05월_여_10~19세,"2,049","1,156",126,283,31,37,30,88,28,77,185,8,0
2020년05월_여_20~29세,"2,242","1,138",136,362,57,72,46,69,60,96,194,7,5
2020년05월_여_30~39세,"2,388","1,238",114,417,61,59,63,54,62,113,196,6,5
2020년05월_여_40~49세,"2,877","1,663",165,376,60,54,31,87,71,118,230,17,5
2020년05월_여_50~59세,"3,990","1,697",339,509,122,129,113,144,145,307,444,28,13
2020년05월_여_60~69세,"4,150","1,456",427,414,137,160,131,206,229,467,460,40,23
2020년05월_여_70~79세,"4,087","1,046",552,401,174,180,138,257,329,481,495,20,14
2020년05월_여_80~89세,"2,706",615,371,236,132,165,99,192,259,295,319,17,6
2020년05월_여_90~99세,442,115,51,34,29,29,14,32,37,39,53,8,1
2020년05월_여_100세 이상,30,12,2,4,2,1,0,3,2,0,4,0,0
