카테고리,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년10월_계_총인구수,"395,572","24,940","18,985","14,416","34,581","22,313","25,584","24,869","19,795","20,263","25,809","35,602","19,478","30,409","17,202","40,010","21,316"
2020년10월_계_연령구간인구수,"395,572","24,940","18,985","14,416","34,581","22,313","25,584","24,869","19,795","20,263","25,809","35,602","19,478","30,409","17,202","40,010","21,316"
2020년10월_계_0~9세,"23,403","1,303","1,047","1,278","1,648","1,186","1,139","1,879",793,"1,293","1,087","2,449","1,121","1,486",812,"3,467","1,415"
2020년10월_계_10~19세,"27,097","1,632","1,222",917,"2,028","1,290","1,532","2,023",827,"1,347","1,211","3,173","1,238","1,911","1,177","3,821","1,748"
2020년10월_계_20~29세,"56,186","3,425","2,497","1,761","5,254","3,104","3,798","3,605","3,981","2,945","3,823","5,043","2,756","4,234","2,340","4,986","2,634"
2020년10월_계_30~39세,"58,379","3,350","2,683","2,598","5,354","3,429","3,617","3,665","4,078","3,230","3,757","4,998","3,156","4,084","2,192","5,220","2,968"
2020년10월_계_40~49세,"58,169","3,747","2,967","2,203","5,115","3,189","3,569","3,601","2,629","2,831","3,542","5,949","2,907","4,133","2,464","6,067","3,256"
2020년10월_계_50~59세,"69,885","4,920","3,294","2,463","6,382","3,957","4,700","4,471","3,108","3,413","5,030","5,586","3,223","5,764","3,362","6,629","3,583"
2020년10월_계_60~69세,"57,706","3,649","2,847","1,847","4,870","3,480","3,993","3,270","2,487","3,059","4,112","4,676","2,928","5,005","2,718","5,527","3,238"
2020년10월_계_70~79세,"31,330","2,053","1,818",977,"2,809","1,937","2,293","1,619","1,357","1,523","2,281","2,596","1,535","2,624","1,472","2,814","1,622"
2020년10월_계_80~89세,"11,628",735,514,337,979,648,827,647,456,549,856,981,541,"1,000",564,"1,241",753
2020년10월_계_90~99세,"1,585",116,85,30,115,81,105,86,68,68,92,128,61,149,86,221,94
