카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년01월_계_총인구수,"1,147,037","223,060","323,704","159,294","218,053","222,926"
2020년01월_계_연령구간인구수,"1,147,037","223,060","323,704","159,294","218,053","222,926"
2020년01월_계_0~9세,"103,835","17,884","24,815","16,049","26,152","18,935"
2020년01월_계_10~19세,"116,334","21,076","32,320","15,820","23,814","23,304"
2020년01월_계_20~29세,"148,649","28,424","46,877","18,446","28,321","26,581"
2020년01월_계_30~39세,"158,880","28,204","43,226","24,921","35,446","27,083"
2020년01월_계_40~49세,"190,754","35,501","53,234","25,736","38,084","38,199"
2020년01월_계_50~59세,"211,323","42,501","62,505","26,756","38,233","41,328"
2020년01월_계_60~69세,"135,476","30,215","39,045","21,184","17,679","27,353"
2020년01월_계_70~79세,"57,248","13,736","15,737","7,674","6,984","13,117"
2020년01월_계_80~89세,"21,413","4,855","5,270","2,327","2,891","6,070"
2020년01월_계_90~99세,"2,967",612,642,358,432,923
2020년01월_계_100세 이상,158,52,33,23,17,33
2020년01월_남_총인구수,"589,233","113,235","164,993","83,217","112,773","115,015"
2020년01월_남_연령구간인구수,"589,233","113,235","164,993","83,217","112,773","115,015"
2020년01월_남_0~9세,"53,431","9,264","12,769","8,249","13,426","9,723"
2020년01월_남_10~19세,"61,350","11,290","17,077","8,314","12,465","12,204"
2020년01월_남_20~29세,"83,217","15,820","26,170","10,351","15,853","15,023"
2020년01월_남_30~39세,"83,874","14,754","22,797","13,717","18,316","14,290"
2020년01월_남_40~49세,"96,761","17,991","25,859","13,901","19,424","19,586"
2020년01월_남_50~59세,"107,834","21,224","31,509","13,158","19,968","21,975"
2020년01월_남_60~69세,"68,504","14,825","19,453","10,868","9,260","14,098"
2020년01월_남_70~79세,"26,868","6,284","7,485","3,882","3,166","6,051"
2020년01월_남_80~89세,"6,884","1,669","1,755",728,829,"1,903"
2020년01월_남_90~99세,480,105,109,45,63,158
2020년01월_남_100세 이상,30,9,10,4,3,4
2020년01월_여_총인구수,"557,804","109,825","158,711","76,077","105,280","107,911"
2020년01월_여_연령구간인구수,"557,804","109,825","158,711","76,077","105,280","107,911"
2020년01월_여_0~9세,"50,404","8,620","12,046","7,800","12,726","9,212"
2020년01월_여_10~19세,"54,984","9,786","15,243","7,506","11,349","11,100"
2020년01월_여_20~29세,"65,432","12,604","20,707","8,095","12,468","11,558"
2020년01월_여_30~39세,"75,006","13,450","20,429","11,204","17,130","12,793"
2020년01월_여_40~49세,"93,993","17,510","27,375","11,835","18,660","18,613"
2020년01월_여_50~59세,"103,489","21,277","30,996","13,598","18,265","19,353"
2020년01월_여_60~69세,"66,972","15,390","19,592","10,316","8,419","13,255"
2020년01월_여_70~79세,"30,380","7,452","8,252","3,792","3,818","7,066"
2020년01월_여_80~89세,"14,529","3,186","3,515","1,599","2,062","4,167"
2020년01월_여_90~99세,"2,487",507,533,313,369,765
2020년01월_여_100세 이상,128,43,23,19,14,29
