,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년09월_계_총인구수,"69,153","24,898","2,948","3,273","2,845","6,215","2,857","2,020","3,033","2,180","2,443","4,887","3,822","4,087","3,645"
2020년09월_계_연령구간인구수,"69,153","24,898","2,948","3,273","2,845","6,215","2,857","2,020","3,033","2,180","2,443","4,887","3,822","4,087","3,645"
2020년09월_계_0~9세,"4,146","2,375",98,137,68,306,104,46,100,84,88,199,201,200,140
2020년09월_계_10~19세,"5,326","2,965",156,157,145,374,173,105,166,80,124,250,200,228,203
2020년09월_계_20~29세,"5,558","2,694",213,195,156,478,182,116,199,92,141,294,246,279,273
2020년09월_계_30~39세,"5,221","2,674",178,209,137,403,143,84,135,115,109,284,261,248,241
2020년09월_계_40~49세,"8,122","3,829",280,322,262,653,255,177,331,204,235,401,393,394,386
2020년09월_계_50~59세,"11,694","4,097",542,533,497,"1,111",464,325,510,325,430,882,633,726,619
2020년09월_계_60~69세,"12,211","3,165",610,666,625,"1,191",584,412,566,450,474,"1,134",728,840,766
2020년09월_계_70~79세,"10,062","2,024",518,638,567,"1,014",573,421,559,420,471,843,707,725,582
2020년09월_계_80~89세,"5,955",934,309,382,337,620,338,297,384,355,319,533,392,386,369
2020년09월_계_90~99세,812,140,42,33,47,62,40,36,76,50,47,62,58,59,60
2020년09월_계_100세 이상,46,1,2,1,4,3,1,1,7,5,5,5,3,2,6
2020년09월_남_총인구수,"34,137","12,259","1,457","1,638","1,416","3,054","1,377",956,"1,512","1,018","1,233","2,401","1,921","2,028","1,867"
2020년09월_남_연령구간인구수,"34,137","12,259","1,457","1,638","1,416","3,054","1,377",956,"1,512","1,018","1,233","2,401","1,921","2,028","1,867"
2020년09월_남_0~9세,"2,091","1,182",44,74,36,158,49,27,51,35,55,98,103,104,75
2020년09월_남_10~19세,"2,765","1,528",87,80,79,189,95,52,89,45,68,134,96,122,101
2020년09월_남_20~29세,"3,126","1,458",115,102,97,297,101,65,112,55,88,185,132,173,146
2020년09월_남_30~39세,"2,716","1,299",96,130,88,223,73,45,74,59,57,166,143,121,142
2020년09월_남_40~49세,"4,589","1,896",172,208,157,385,151,115,202,133,157,237,277,238,261
2020년09월_남_50~59세,"6,428","2,138",294,318,279,575,247,188,305,172,267,495,369,405,376
2020년09월_남_60~69세,"6,071","1,523",320,317,331,572,290,205,294,223,239,554,386,421,396
2020년09월_남_70~79세,"4,355",913,214,285,233,456,253,157,240,168,196,364,300,327,249
2020년09월_남_80~89세,"1,837",288,105,117,111,193,103,99,132,111,94,157,109,108,110
2020년09월_남_90~99세,158,34,10,7,5,6,15,3,13,16,12,11,6,9,11
2020년09월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년09월_여_총인구수,"35,016","12,639","1,491","1,635","1,429","3,161","1,480","1,064","1,521","1,162","1,210","2,486","1,901","2,059","1,778"
2020년09월_여_연령구간인구수,"35,016","12,639","1,491","1,635","1,429","3,161","1,480","1,064","1,521","1,162","1,210","2,486","1,901","2,059","1,778"
2020년09월_여_0~9세,"2,055","1,193",54,63,32,148,55,19,49,49,33,101,98,96,65
2020년09월_여_10~19세,"2,561","1,437",69,77,66,185,78,53,77,35,56,116,104,106,102
2020년09월_여_20~29세,"2,432","1,236",98,93,59,181,81,51,87,37,53,109,114,106,127
2020년09월_여_30~39세,"2,505","1,375",82,79,49,180,70,39,61,56,52,118,118,127,99
2020년09월_여_40~49세,"3,533","1,933",108,114,105,268,104,62,129,71,78,164,116,156,125
2020년09월_여_50~59세,"5,266","1,959",248,215,218,536,217,137,205,153,163,387,264,321,243
2020년09월_여_60~69세,"6,140","1,642",290,349,294,619,294,207,272,227,235,580,342,419,370
2020년09월_여_70~79세,"5,707","1,111",304,353,334,558,320,264,319,252,275,479,407,398,333
2020년09월_여_80~89세,"4,118",646,204,265,226,427,235,198,252,244,225,376,283,278,259
2020년09월_여_90~99세,654,106,32,26,42,56,25,33,63,34,35,51,52,50,49
2020년09월_여_100세 이상,45,1,2,1,4,3,1,1,7,4,5,5,3,2,6
