,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년09월_계_총인구수,"65,639","10,286","3,347","1,728","5,180","1,339",722,"1,847",701,681,"7,753","14,660","9,167","8,228"
2020년09월_계_연령구간인구수,"65,639","10,286","3,347","1,728","5,180","1,339",722,"1,847",701,681,"7,753","14,660","9,167","8,228"
2020년09월_계_0~9세,"3,905",339,94,39,99,29,8,43,14,20,298,"1,695",673,554
2020년09월_계_10~19세,"5,263",849,141,67,235,41,10,65,25,13,494,"1,687",858,778
2020년09월_계_20~29세,"7,383","1,969",263,125,350,67,33,91,27,25,748,"1,908",995,782
2020년09월_계_30~39세,"5,887",591,219,96,282,76,27,94,28,45,609,"2,084",977,759
2020년09월_계_40~49세,"9,023","1,113",401,187,477,150,60,196,80,75,958,"2,567","1,532","1,227"
2020년09월_계_50~59세,"11,406","1,685",640,359,"1,002",296,151,349,141,127,"1,484","2,257","1,538","1,377"
2020년09월_계_60~69세,"10,999","1,832",670,368,"1,161",364,177,418,168,160,"1,591","1,397","1,301","1,392"
2020년09월_계_70~79세,"7,221","1,254",521,303,859,182,140,331,128,124,"1,027",680,830,842
2020년09월_계_80~89세,"3,922",572,340,158,605,119,95,223,79,83,486,321,388,453
2020년09월_계_90~99세,580,67,50,26,103,15,21,36,10,8,56,59,67,62
2020년09월_계_100세 이상,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020년09월_남_총인구수,"33,245","5,123","1,744",858,"2,666",727,394,959,353,372,"3,822","7,471","4,679","4,077"
2020년09월_남_연령구간인구수,"33,245","5,123","1,744",858,"2,666",727,394,959,353,372,"3,822","7,471","4,679","4,077"
2020년09월_남_0~9세,"1,987",162,52,21,53,16,4,24,11,10,160,859,335,280
2020년09월_남_10~19세,"2,733",395,69,38,155,23,5,43,11,6,260,858,470,400
2020년09월_남_20~29세,"4,143","1,050",176,68,224,34,22,61,17,14,421,"1,083",543,430
2020년09월_남_30~39세,"3,194",310,133,62,169,51,16,53,14,26,342,"1,080",522,416
2020년09월_남_40~49세,"4,979",628,267,115,317,108,43,141,53,57,513,"1,270",816,651
2020년09월_남_50~59세,"6,088",900,375,183,580,155,97,198,79,79,725,"1,171",860,686
2020년09월_남_60~69세,"5,490",930,346,193,593,202,104,218,81,91,742,703,628,659
2020년09월_남_70~79세,"3,181",549,216,114,361,85,61,152,56,57,474,306,364,386
2020년09월_남_80~89세,"1,328",174,101,59,200,50,36,64,30,31,174,126,126,157
2020년09월_남_90~99세,110,20,6,5,13,3,6,5,1,1,11,14,14,11
2020년09월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년09월_여_총인구수,"32,394","5,163","1,603",870,"2,514",612,328,888,348,309,"3,931","7,189","4,488","4,151"
2020년09월_여_연령구간인구수,"32,394","5,163","1,603",870,"2,514",612,328,888,348,309,"3,931","7,189","4,488","4,151"
2020년09월_여_0~9세,"1,918",177,42,18,46,13,4,19,3,10,138,836,338,274
2020년09월_여_10~19세,"2,530",454,72,29,80,18,5,22,14,7,234,829,388,378
2020년09월_여_20~29세,"3,240",919,87,57,126,33,11,30,10,11,327,825,452,352
2020년09월_여_30~39세,"2,693",281,86,34,113,25,11,41,14,19,267,"1,004",455,343
2020년09월_여_40~49세,"4,044",485,134,72,160,42,17,55,27,18,445,"1,297",716,576
2020년09월_여_50~59세,"5,318",785,265,176,422,141,54,151,62,48,759,"1,086",678,691
2020년09월_여_60~69세,"5,509",902,324,175,568,162,73,200,87,69,849,694,673,733
2020년09월_여_70~79세,"4,040",705,305,189,498,97,79,179,72,67,553,374,466,456
2020년09월_여_80~89세,"2,594",398,239,99,405,69,59,159,49,52,312,195,262,296
2020년09월_여_90~99세,470,47,44,21,90,12,15,31,9,7,45,45,53,51
2020년09월_여_100세 이상,38,10,5,0,6,0,0,1,1,1,2,4,7,1
