,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년02월_계_총인구수,"69,041","34,718","4,670","2,427","2,379","3,749","3,997","6,188","3,810","3,897","3,206"
2021년02월_계_연령구간인구수,"69,041","34,718","4,670","2,427","2,379","3,749","3,997","6,188","3,810","3,897","3,206"
2021년02월_계_0~9세,"3,773","2,587",129,49,46,135,103,389,99,116,120
2021년02월_계_10~19세,"5,071","3,537",165,106,83,190,163,377,126,183,141
2021년02월_계_20~29세,"6,829","4,163",386,146,118,272,240,810,237,267,190
2021년02월_계_30~39세,"6,044","3,845",300,108,99,204,216,609,240,234,189
2021년02월_계_40~49세,"8,219","5,298",390,160,183,304,344,540,359,359,282
2021년02월_계_50~59세,"12,630","6,008",804,453,486,792,763,"1,001",740,827,756
2021년02월_계_60~69세,"14,049","5,092","1,268",688,716,997,"1,118","1,245","1,081",995,849
2021년02월_계_70~79세,"7,300","2,540",707,408,375,488,625,676,552,518,411
2021년02월_계_80~89세,"4,429","1,418",436,255,247,323,374,473,315,354,234
2021년02월_계_90~99세,652,211,82,52,25,40,45,67,58,39,33
2021년02월_계_100세 이상,45,19,3,2,1,4,6,1,3,5,1
2021년02월_남_총인구수,"35,564","17,579","2,466","1,215","1,244","1,904","2,061","3,346","2,006","2,047","1,696"
2021년02월_남_연령구간인구수,"35,564","17,579","2,466","1,215","1,244","1,904","2,061","3,346","2,006","2,047","1,696"
2021년02월_남_0~9세,"1,894","1,288",62,29,32,72,47,192,51,54,67
2021년02월_남_10~19세,"2,623","1,836",92,56,44,100,94,165,66,101,69
2021년02월_남_20~29세,"4,152","2,403",257,90,68,169,143,610,135,160,117
2021년02월_남_30~39세,"3,323","2,061",181,59,59,101,124,349,156,132,101
2021년02월_남_40~49세,"4,400","2,661",246,91,125,165,208,315,216,215,158
2021년02월_남_50~59세,"6,633","3,116",434,242,250,410,406,528,382,449,416
2021년02월_남_60~69세,"7,336","2,568",672,354,376,519,582,675,593,542,455
2021년02월_남_70~79세,"3,439","1,088",358,185,196,247,309,326,263,252,215
2021년02월_남_80~89세,"1,589",500,142,96,85,111,136,172,125,133,89
2021년02월_남_90~99세,167,57,22,12,9,9,11,14,19,6,8
2021년02월_남_100세 이상,8,1,0,1,0,1,1,0,0,3,1
2021년02월_여_총인구수,"33,477","17,139","2,204","1,212","1,135","1,845","1,936","2,842","1,804","1,850","1,510"
2021년02월_여_연령구간인구수,"33,477","17,139","2,204","1,212","1,135","1,845","1,936","2,842","1,804","1,850","1,510"
2021년02월_여_0~9세,"1,879","1,299",67,20,14,63,56,197,48,62,53
2021년02월_여_10~19세,"2,448","1,701",73,50,39,90,69,212,60,82,72
2021년02월_여_20~29세,"2,677","1,760",129,56,50,103,97,200,102,107,73
2021년02월_여_30~39세,"2,721","1,784",119,49,40,103,92,260,84,102,88
2021년02월_여_40~49세,"3,819","2,637",144,69,58,139,136,225,143,144,124
2021년02월_여_50~59세,"5,997","2,892",370,211,236,382,357,473,358,378,340
2021년02월_여_60~69세,"6,713","2,524",596,334,340,478,536,570,488,453,394
2021년02월_여_70~79세,"3,861","1,452",349,223,179,241,316,350,289,266,196
2021년02월_여_80~89세,"2,840",918,294,159,162,212,238,301,190,221,145
2021년02월_여_90~99세,485,154,60,40,16,31,34,53,39,33,25
2021년02월_여_100세 이상,37,18,3,1,1,3,5,1,3,2,0
