카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년11월_계_총인구수,"91,445","14,243","25,929","7,121","4,424","14,343","6,192","5,818","4,715","1,918","1,948","2,739","1,089",966
2020년11월_계_연령구간인구수,"91,445","14,243","25,929","7,121","4,424","14,343","6,192","5,818","4,715","1,918","1,948","2,739","1,089",966
2020년11월_계_0~9세,"6,909",713,"2,937",380,281,"1,672",235,196,236,65,56,78,39,21
2020년11월_계_10~19세,"8,339","1,202","3,364",514,394,"1,349",349,389,296,117,62,217,42,44
2020년11월_계_20~29세,"8,901","1,700","2,638",706,401,"1,418",546,548,384,130,103,207,79,41
2020년11월_계_30~39세,"9,381","1,201","3,410",585,339,"2,261",442,375,347,106,89,127,53,46
2020년11월_계_40~49세,"13,528","2,072","4,740",929,645,"2,514",606,591,559,196,184,319,93,80
2020년11월_계_50~59세,"15,272","2,458","3,616","1,318",813,"2,146","1,250","1,204",857,337,381,463,257,172
2020년11월_계_60~69세,"13,810","2,309","2,555","1,284",742,"1,554","1,337","1,246",860,394,462,551,279,237
2020년11월_계_70~79세,"9,232","1,517","1,649",878,511,918,865,756,690,326,368,425,142,187
2020년11월_계_80~89세,"5,245",939,869,458,244,445,495,445,414,199,218,299,93,127
2020년11월_계_90~99세,783,127,145,62,48,63,60,64,71,45,25,51,12,10
2020년11월_계_100세 이상,45,5,6,7,6,3,7,4,1,3,0,2,0,1
2020년11월_남_총인구수,"46,970","7,310","13,502","3,690","2,272","7,223","3,192","2,919","2,414",972,978,"1,443",561,494
2020년11월_남_연령구간인구수,"46,970","7,310","13,502","3,690","2,272","7,223","3,192","2,919","2,414",972,978,"1,443",561,494
2020년11월_남_0~9세,"3,479",345,"1,518",175,144,841,116,89,121,35,24,41,22,8
2020년11월_남_10~19세,"4,333",598,"1,766",282,200,667,194,197,177,58,40,113,17,24
2020년11월_남_20~29세,"4,967",949,"1,512",424,238,704,302,289,224,74,57,118,46,30
2020년11월_남_30~39세,"4,833",678,"1,688",312,177,"1,113",253,184,195,49,61,72,25,26
2020년11월_남_40~49세,"7,490","1,147","2,604",516,333,"1,361",357,319,325,111,109,197,58,53
2020년11월_남_50~59세,"8,502","1,413","2,027",750,461,"1,145",669,651,470,194,208,286,134,94
2020년11월_남_60~69세,"7,163","1,164","1,309",654,374,799,702,673,446,212,242,299,162,127
2020년11월_남_70~79세,"4,261",676,759,402,247,424,417,360,304,160,158,204,69,81
2020년11월_남_80~89세,"1,765",311,287,154,91,149,171,146,135,69,74,104,26,48
2020년11월_남_90~99세,167,27,30,20,7,20,9,11,16,8,5,9,2,3
2020년11월_남_100세 이상,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020년11월_여_총인구수,"44,475","6,933","12,427","3,431","2,152","7,120","3,000","2,899","2,301",946,970,"1,296",528,472
2020년11월_여_연령구간인구수,"44,475","6,933","12,427","3,431","2,152","7,120","3,000","2,899","2,301",946,970,"1,296",528,472
2020년11월_여_0~9세,"3,430",368,"1,419",205,137,831,119,107,115,30,32,37,17,13
2020년11월_여_10~19세,"4,006",604,"1,598",232,194,682,155,192,119,59,22,104,25,20
2020년11월_여_20~29세,"3,934",751,"1,126",282,163,714,244,259,160,56,46,89,33,11
2020년11월_여_30~39세,"4,548",523,"1,722",273,162,"1,148",189,191,152,57,28,55,28,20
2020년11월_여_40~49세,"6,038",925,"2,136",413,312,"1,153",249,272,234,85,75,122,35,27
2020년11월_여_50~59세,"6,770","1,045","1,589",568,352,"1,001",581,553,387,143,173,177,123,78
2020년11월_여_60~69세,"6,647","1,145","1,246",630,368,755,635,573,414,182,220,252,117,110
2020년11월_여_70~79세,"4,971",841,890,476,264,494,448,396,386,166,210,221,73,106
2020년11월_여_80~89세,"3,480",628,582,304,153,296,324,299,279,130,144,195,67,79
2020년11월_여_90~99세,616,100,115,42,41,43,51,53,55,37,20,42,10,7
2020년11월_여_100세 이상,35,3,4,6,6,3,5,4,0,1,0,2,0,1
