카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년02월_계_총인구수,"37,419","35,473","1,946"
2020년02월_계_연령구간인구수,"37,419","35,473","1,946"
2020년02월_계_0~9세,"3,548","3,505",43
2020년02월_계_10~19세,"3,465","3,370",95
2020년02월_계_20~29세,"4,574","4,435",139
2020년02월_계_30~39세,"4,943","4,850",93
2020년02월_계_40~49세,"5,768","5,542",226
2020년02월_계_50~59세,"6,113","5,761",352
2020년02월_계_60~69세,"4,724","4,266",458
2020년02월_계_70~79세,"2,680","2,372",308
2020년02월_계_80~89세,"1,434","1,230",204
2020년02월_계_90~99세,159,133,26
2020년02월_계_100세 이상,11,9,2
2020년02월_남_총인구수,"19,373","18,345","1,028"
2020년02월_남_연령구간인구수,"19,373","18,345","1,028"
2020년02월_남_0~9세,"1,811","1,784",27
2020년02월_남_10~19세,"1,799","1,750",49
2020년02월_남_20~29세,"2,634","2,556",78
2020년02월_남_30~39세,"2,720","2,662",58
2020년02월_남_40~49세,"3,121","2,974",147
2020년02월_남_50~59세,"3,198","3,002",196
2020년02월_남_60~69세,"2,384","2,131",253
2020년02월_남_70~79세,"1,188","1,045",143
2020년02월_남_80~89세,471,404,67
2020년02월_남_90~99세,44,34,10
2020년02월_남_100세 이상,3,3,0
2020년02월_여_총인구수,"18,046","17,128",918
2020년02월_여_연령구간인구수,"18,046","17,128",918
2020년02월_여_0~9세,"1,737","1,721",16
2020년02월_여_10~19세,"1,666","1,620",46
2020년02월_여_20~29세,"1,940","1,879",61
2020년02월_여_30~39세,"2,223","2,188",35
2020년02월_여_40~49세,"2,647","2,568",79
2020년02월_여_50~59세,"2,915","2,759",156
2020년02월_여_60~69세,"2,340","2,135",205
2020년02월_여_70~79세,"1,492","1,327",165
2020년02월_여_80~89세,963,826,137
2020년02월_여_90~99세,115,99,16
2020년02월_여_100세 이상,8,6,2
