카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년06월_계_총인구수,"81,742","30,067","25,780",0,"3,238","3,589","2,087","6,239","10,742"
2020년06월_계_연령구간인구수,"81,742","30,067","25,780",0,"3,238","3,589","2,087","6,239","10,742"
2020년06월_계_0~9세,"7,630","2,385","3,965",0,81,131,54,237,777
2020년06월_계_10~19세,"8,004","3,311","2,650",0,192,137,76,419,"1,219"
2020년06월_계_20~29세,"8,969","3,821","2,753",0,210,305,108,535,"1,237"
2020년06월_계_30~39세,"11,221","3,309","5,496",0,184,269,116,508,"1,339"
2020년06월_계_40~49세,"13,173","5,045","4,634",0,319,376,180,744,"1,875"
2020년06월_계_50~59세,"13,521","5,290","3,119",0,642,763,394,"1,257","2,056"
2020년06월_계_60~69세,"9,842","3,553","1,772",0,726,775,533,"1,246","1,237"
2020년06월_계_70~79세,"5,509","2,063",819,0,472,464,344,736,611
2020년06월_계_80~89세,"3,403","1,136",503,0,372,323,245,482,342
2020년06월_계_90~99세,452,150,64,0,40,45,35,69,49
2020년06월_계_100세 이상,18,4,5,0,0,1,2,6,0
2020년06월_남_총인구수,"42,813","15,438","13,610",0,"1,660","1,892","1,062","3,290","5,861"
2020년06월_남_연령구간인구수,"42,813","15,438","13,610",0,"1,660","1,892","1,062","3,290","5,861"
2020년06월_남_0~9세,"3,938","1,243","2,027",0,41,67,27,126,407
2020년06월_남_10~19세,"4,195","1,739","1,343",0,100,69,44,217,683
2020년06월_남_20~29세,"5,178","2,181","1,553",0,123,184,69,334,734
2020년06월_남_30~39세,"6,125","1,741","2,960",0,118,156,67,303,780
2020년06월_남_40~49세,"7,228","2,649","2,579",0,191,241,106,430,"1,032"
2020년06월_남_50~59세,"7,384","2,831","1,687",0,376,424,229,693,"1,144"
2020년06월_남_60~69세,"5,022","1,714",891,0,379,417,267,680,674
2020년06월_남_70~79세,"2,505",923,370,0,213,223,154,345,277
2020년06월_남_80~89세,"1,148",383,183,0,112,101,94,153,122
2020년06월_남_90~99세,86,32,17,0,7,10,5,7,8
2020년06월_남_100세 이상,4,2,0,0,0,0,0,2,0
2020년06월_여_총인구수,"38,929","14,629","12,170",0,"1,578","1,697","1,025","2,949","4,881"
2020년06월_여_연령구간인구수,"38,929","14,629","12,170",0,"1,578","1,697","1,025","2,949","4,881"
2020년06월_여_0~9세,"3,692","1,142","1,938",0,40,64,27,111,370
2020년06월_여_10~19세,"3,809","1,572","1,307",0,92,68,32,202,536
2020년06월_여_20~29세,"3,791","1,640","1,200",0,87,121,39,201,503
2020년06월_여_30~39세,"5,096","1,568","2,536",0,66,113,49,205,559
2020년06월_여_40~49세,"5,945","2,396","2,055",0,128,135,74,314,843
2020년06월_여_50~59세,"6,137","2,459","1,432",0,266,339,165,564,912
2020년06월_여_60~69세,"4,820","1,839",881,0,347,358,266,566,563
2020년06월_여_70~79세,"3,004","1,140",449,0,259,241,190,391,334
2020년06월_여_80~89세,"2,255",753,320,0,260,222,151,329,220
2020년06월_여_90~99세,366,118,47,0,33,35,30,62,41
2020년06월_여_100세 이상,14,2,5,0,0,1,2,4,0
