카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년07월_계_총인구수,"27,219","10,114","1,520","1,991","1,690","1,709","1,408","1,958","2,142","1,263","1,090","2,334"
2021년07월_계_연령구간인구수,"27,219","10,114","1,520","1,991","1,690","1,709","1,408","1,958","2,142","1,263","1,090","2,334"
2021년07월_계_0~9세,"1,375",808,49,57,61,41,52,61,102,35,49,60
2021년07월_계_10~19세,"2,170","1,297",89,98,83,72,73,115,143,36,46,118
2021년07월_계_20~29세,"1,984","1,029",103,99,85,85,71,110,123,88,69,122
2021년07월_계_30~39세,"1,844",941,86,100,101,107,98,91,109,57,55,99
2021년07월_계_40~49세,"3,197","1,592",131,209,184,134,121,177,189,121,116,223
2021년07월_계_50~59세,"4,383","1,537",269,319,255,293,231,360,381,196,148,394
2021년07월_계_60~69세,"4,970","1,345",311,403,322,428,287,459,460,264,210,481
2021년07월_계_70~79세,"4,083",935,261,389,326,287,242,334,371,252,210,476
2021년07월_계_80~89세,"2,805",541,194,281,243,230,209,214,225,184,171,313
2021년07월_계_90~99세,387,86,22,33,28,31,23,37,39,25,15,48
2021년07월_계_100세 이상,21,3,5,3,2,1,1,0,0,5,1,0
2021년07월_남_총인구수,"13,304","4,919",738,978,845,848,711,966,"1,032",615,516,"1,136"
2021년07월_남_연령구간인구수,"13,304","4,919",738,978,845,848,711,966,"1,032",615,516,"1,136"
2021년07월_남_0~9세,715,433,24,30,29,23,28,25,52,10,29,32
2021년07월_남_10~19세,"1,120",660,48,48,43,37,44,66,72,21,23,58
2021년07월_남_20~29세,"1,118",564,61,52,55,53,41,63,76,54,31,68
2021년07월_남_30~39세,898,422,38,58,60,62,50,45,47,31,29,56
2021년07월_남_40~49세,"1,810",814,73,142,118,91,80,104,101,73,74,140
2021년07월_남_50~59세,"2,390",815,153,173,147,149,138,181,211,120,87,216
2021년07월_남_60~69세,"2,548",644,167,230,165,240,148,250,235,129,102,238
2021년07월_남_70~79세,"1,691",371,117,150,143,119,106,145,151,101,86,202
2021년07월_남_80~89세,911,175,53,90,78,67,72,72,74,66,52,112
2021년07월_남_90~99세,102,21,4,5,7,7,4,15,13,9,3,14
2021년07월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0
2021년07월_여_총인구수,"13,915","5,195",782,"1,013",845,861,697,992,"1,110",648,574,"1,198"
2021년07월_여_연령구간인구수,"13,915","5,195",782,"1,013",845,861,697,992,"1,110",648,574,"1,198"
2021년07월_여_0~9세,660,375,25,27,32,18,24,36,50,25,20,28
2021년07월_여_10~19세,"1,050",637,41,50,40,35,29,49,71,15,23,60
2021년07월_여_20~29세,866,465,42,47,30,32,30,47,47,34,38,54
2021년07월_여_30~39세,946,519,48,42,41,45,48,46,62,26,26,43
2021년07월_여_40~49세,"1,387",778,58,67,66,43,41,73,88,48,42,83
2021년07월_여_50~59세,"1,993",722,116,146,108,144,93,179,170,76,61,178
2021년07월_여_60~69세,"2,422",701,144,173,157,188,139,209,225,135,108,243
2021년07월_여_70~79세,"2,392",564,144,239,183,168,136,189,220,151,124,274
2021년07월_여_80~89세,"1,894",366,141,191,165,163,137,142,151,118,119,201
2021년07월_여_90~99세,285,65,18,28,21,24,19,22,26,16,12,34
2021년07월_여_100세 이상,20,3,5,3,2,1,1,0,0,4,1,0
