카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년12월_계_총인구수,"104,831","5,383","1,299","7,165","5,240","3,066","2,821","3,962","4,315","8,496","3,424","5,024","1,760","2,765","15,836","20,399","7,974","5,902"
2020년12월_계_연령구간인구수,"104,831","5,383","1,299","7,165","5,240","3,066","2,821","3,962","4,315","8,496","3,424","5,024","1,760","2,765","15,836","20,399","7,974","5,902"
2020년12월_계_0~9세,"5,620",148,20,287,125,62,58,92,79,467,76,111,32,67,"1,307","1,976",365,348
2020년12월_계_10~19세,"7,829",249,48,432,245,88,118,217,152,531,129,255,56,142,"1,381","2,601",630,555
2020년12월_계_20~29세,"9,214",334,121,496,373,160,189,223,238,672,182,320,85,241,"1,952","2,164",797,667
2020년12월_계_30~39세,"8,907",323,69,494,326,147,150,185,252,673,158,251,68,194,"2,115","2,177",710,615
2020년12월_계_40~49세,"12,942",512,98,761,481,209,258,367,313,"1,012",310,379,126,308,"2,387","3,490","1,056",875
2020년12월_계_50~59세,"18,736",995,234,"1,324","1,020",523,566,741,888,"1,501",583,881,278,544,"2,776","3,311","1,455","1,116"
2020년12월_계_60~69세,"21,102","1,379",332,"1,610","1,326",935,718,"1,061","1,269","1,775",930,"1,291",498,611,"2,292","2,610","1,457","1,008"
2020년12월_계_70~79세,"12,650",915,216,"1,069",791,557,472,673,688,"1,149",636,851,343,427,"1,070","1,353",940,500
2020년12월_계_80~89세,"6,878",463,141,620,481,336,252,351,382,628,376,596,245,205,472,631,503,196
2020년12월_계_90~99세,905,63,20,65,70,49,36,51,51,82,40,86,29,19,81,83,60,20
2020년12월_계_100세 이상,48,2,0,7,2,0,4,1,3,6,4,3,0,7,3,3,1,2
2020년12월_남_총인구수,"51,356","2,660",643,"3,571","2,695","1,475","1,443","2,034","2,134","4,195","1,692","2,447",855,"1,347","7,802","9,834","3,685","2,844"
2020년12월_남_연령구간인구수,"51,356","2,660",643,"3,571","2,695","1,475","1,443","2,034","2,134","4,195","1,692","2,447",855,"1,347","7,802","9,834","3,685","2,844"
2020년12월_남_0~9세,"2,856",76,9,153,70,31,32,48,44,226,36,59,13,35,626,"1,047",188,163
2020년12월_남_10~19세,"4,117",130,26,233,132,49,69,122,79,271,70,138,30,75,727,"1,378",306,282
2020년12월_남_20~29세,"5,296",191,67,297,245,102,120,149,148,402,107,179,59,159,"1,091","1,210",406,364
2020년12월_남_30~39세,"4,701",192,43,281,197,84,84,112,144,360,97,143,38,100,"1,099","1,034",376,317
2020년12월_남_40~49세,"6,860",305,65,463,287,132,157,228,182,577,195,217,79,168,"1,212","1,644",514,435
2020년12월_남_50~59세,"9,481",513,131,696,563,259,303,390,447,768,308,492,128,274,"1,378","1,573",719,539
2020년12월_남_60~69세,"10,273",694,157,777,683,457,368,549,644,897,456,639,269,283,"1,076","1,180",674,470
2020년12월_남_70~79세,"5,485",398,97,465,344,261,221,324,329,495,297,381,155,183,427,557,338,213
2020년12월_남_80~89세,"2,107",147,45,194,161,90,85,106,109,181,119,185,79,64,144,192,149,57
2020년12월_남_90~99세,171,13,3,11,13,10,3,6,7,18,6,14,5,3,22,18,15,4
2020년12월_남_100세 이상,9,1,0,1,0,0,1,0,1,0,1,0,0,3,0,1,0,0
2020년12월_여_총인구수,"53,475","2,723",656,"3,594","2,545","1,591","1,378","1,928","2,181","4,301","1,732","2,577",905,"1,418","8,034","10,565","4,289","3,058"
2020년12월_여_연령구간인구수,"53,475","2,723",656,"3,594","2,545","1,591","1,378","1,928","2,181","4,301","1,732","2,577",905,"1,418","8,034","10,565","4,289","3,058"
2020년12월_여_0~9세,"2,764",72,11,134,55,31,26,44,35,241,40,52,19,32,681,929,177,185
2020년12월_여_10~19세,"3,712",119,22,199,113,39,49,95,73,260,59,117,26,67,654,"1,223",324,273
2020년12월_여_20~29세,"3,918",143,54,199,128,58,69,74,90,270,75,141,26,82,861,954,391,303
2020년12월_여_30~39세,"4,206",131,26,213,129,63,66,73,108,313,61,108,30,94,"1,016","1,143",334,298
2020년12월_여_40~49세,"6,082",207,33,298,194,77,101,139,131,435,115,162,47,140,"1,175","1,846",542,440
2020년12월_여_50~59세,"9,255",482,103,628,457,264,263,351,441,733,275,389,150,270,"1,398","1,738",736,577
2020년12월_여_60~69세,"10,829",685,175,833,643,478,350,512,625,878,474,652,229,328,"1,216","1,430",783,538
2020년12월_여_70~79세,"7,165",517,119,604,447,296,251,349,359,654,339,470,188,244,643,796,602,287
2020년12월_여_80~89세,"4,771",316,96,426,320,246,167,245,273,447,257,411,166,141,328,439,354,139
2020년12월_여_90~99세,734,50,17,54,57,39,33,45,44,64,34,72,24,16,59,65,45,16
2020년12월_여_100세 이상,39,1,0,6,2,0,3,1,2,6,3,3,0,4,3,2,1,2
