,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년12월_계_총인구수,"51,413","22,858","3,320","2,841","2,462","2,527","2,871","2,154","3,213","3,072","6,095"
2020년12월_계_연령구간인구수,"51,413","22,858","3,320","2,841","2,462","2,527","2,871","2,154","3,213","3,072","6,095"
2020년12월_계_0~9세,"2,565","1,673",86,79,63,123,82,60,73,78,248
2020년12월_계_10~19세,"4,289","2,464",158,110,68,141,403,163,209,146,427
2020년12월_계_20~29세,"4,020","2,180",226,189,113,134,162,100,196,208,512
2020년12월_계_30~39세,"3,765","2,164",198,158,111,145,130,89,141,193,436
2020년12월_계_40~49세,"6,216","3,556",296,241,175,249,243,168,312,298,678
2020년12월_계_50~59세,"9,087","3,759",619,502,425,421,428,439,639,595,"1,260"
2020년12월_계_60~69세,"9,838","3,411",730,715,605,584,589,472,692,732,"1,308"
2020년12월_계_70~79세,"6,845","2,367",552,465,473,414,452,372,567,483,700
2020년12월_계_80~89세,"4,202","1,131",378,332,376,282,348,259,347,286,463
2020년12월_계_90~99세,555,138,74,49,50,34,33,30,35,51,61
2020년12월_계_100세 이상,31,15,3,1,3,0,1,2,2,2,2
2020년12월_남_총인구수,"25,928","11,228","1,714","1,480","1,237","1,264","1,451","1,109","1,619","1,620","3,206"
2020년12월_남_연령구간인구수,"25,928","11,228","1,714","1,480","1,237","1,264","1,451","1,109","1,619","1,620","3,206"
2020년12월_남_0~9세,"1,305",823,56,42,32,60,48,30,40,40,134
2020년12월_남_10~19세,"2,239","1,255",88,69,33,75,197,88,118,84,232
2020년12월_남_20~29세,"2,309","1,230",137,119,66,76,102,69,102,118,290
2020년12월_남_30~39세,"1,977","1,094",114,90,69,74,64,40,70,103,259
2020년12월_남_40~49세,"3,442","1,854",167,152,122,148,149,106,182,184,378
2020년12월_남_50~59세,"5,017","1,930",364,284,256,254,249,251,373,350,706
2020년12월_남_60~69세,"4,990","1,612",375,379,309,298,312,263,354,385,703
2020년12월_남_70~79세,"3,088",990,259,229,220,182,209,164,257,242,336
2020년12월_남_80~89세,"1,423",408,137,103,117,91,113,91,113,100,150
2020년12월_남_90~99세,129,28,16,13,13,6,8,6,8,13,18
2020년12월_남_100세 이상,9,4,1,0,0,0,0,1,2,1,0
2020년12월_여_총인구수,"25,485","11,630","1,606","1,361","1,225","1,263","1,420","1,045","1,594","1,452","2,889"
2020년12월_여_연령구간인구수,"25,485","11,630","1,606","1,361","1,225","1,263","1,420","1,045","1,594","1,452","2,889"
2020년12월_여_0~9세,"1,260",850,30,37,31,63,34,30,33,38,114
2020년12월_여_10~19세,"2,050","1,209",70,41,35,66,206,75,91,62,195
2020년12월_여_20~29세,"1,711",950,89,70,47,58,60,31,94,90,222
2020년12월_여_30~39세,"1,788","1,070",84,68,42,71,66,49,71,90,177
2020년12월_여_40~49세,"2,774","1,702",129,89,53,101,94,62,130,114,300
2020년12월_여_50~59세,"4,070","1,829",255,218,169,167,179,188,266,245,554
2020년12월_여_60~69세,"4,848","1,799",355,336,296,286,277,209,338,347,605
2020년12월_여_70~79세,"3,757","1,377",293,236,253,232,243,208,310,241,364
2020년12월_여_80~89세,"2,779",723,241,229,259,191,235,168,234,186,313
2020년12월_여_90~99세,426,110,58,36,37,28,25,24,27,38,43
2020년12월_여_100세 이상,22,11,2,1,3,0,1,1,0,1,2
