카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년01월_계_총인구수,"88,292","4,930","5,915","8,634","6,621","4,373","10,142","4,337","5,850","11,453","12,406","8,986","4,645"
2020년01월_계_연령구간인구수,"88,292","4,930","5,915","8,634","6,621","4,373","10,142","4,337","5,850","11,453","12,406","8,986","4,645"
2020년01월_계_0~9세,"4,164",200,185,715,241,209,431,138,218,493,424,528,382
2020년01월_계_10~19세,"5,312",279,286,505,457,351,633,273,399,706,696,459,268
2020년01월_계_20~29세,"10,429",683,670,"1,234",683,506,"1,248",388,626,"1,383","1,382","1,179",447
2020년01월_계_30~39세,"10,237",553,554,"1,713",570,422,"1,175",333,494,"1,247","1,226","1,222",728
2020년01월_계_40~49세,"12,129",721,800,"1,298",885,649,"1,351",538,775,"1,530","1,561","1,310",711
2020년01월_계_50~59세,"14,959",802,"1,044","1,252","1,122",724,"1,730",753,"1,026","1,945","2,268","1,642",651
2020년01월_계_60~69세,"15,577",862,"1,227","1,053","1,199",745,"1,792",835,"1,089","2,012","2,506","1,513",744
2020년01월_계_70~79세,"10,522",585,782,553,957,546,"1,230",741,838,"1,468","1,555",798,469
2020년01월_계_80~89세,"4,318",211,311,247,439,194,488,301,332,594,700,295,206
2020년01월_계_90~99세,549,28,47,56,56,22,49,35,51,64,75,32,34
2020년01월_계_100세 이상,96,6,9,8,12,5,15,2,2,11,13,8,5
2020년01월_남_총인구수,"43,376","2,467","2,910","4,272","3,233","2,131","4,887","2,171","2,816","5,542","6,134","4,524","2,289"
2020년01월_남_연령구간인구수,"43,376","2,467","2,910","4,272","3,233","2,131","4,887","2,171","2,816","5,542","6,134","4,524","2,289"
2020년01월_남_0~9세,"2,181",89,103,379,124,105,213,78,126,269,231,279,185
2020년01월_남_10~19세,"2,740",160,146,271,257,172,311,156,202,348,334,237,146
2020년01월_남_20~29세,"5,339",340,341,540,378,267,629,221,350,731,736,594,212
2020년01월_남_30~39세,"5,510",304,315,888,325,234,658,196,265,632,675,635,383
2020년01월_남_40~49세,"6,539",413,447,669,462,342,707,300,414,820,870,706,389
2020년01월_남_50~59세,"7,571",420,543,662,562,362,841,423,492,949,"1,147",845,325
2020년01월_남_60~69세,"7,383",409,558,514,553,337,832,394,492,952,"1,217",740,385
2020년01월_남_70~79세,"4,434",254,330,244,397,228,514,283,356,610,669,359,190
2020년01월_남_80~89세,"1,504",66,109,84,158,75,163,110,107,215,233,116,68
2020년01월_남_90~99세,148,9,14,16,13,9,16,10,12,14,19,11,5
2020년01월_남_100세 이상,27,3,4,5,4,0,3,0,0,2,3,2,1
2020년01월_여_총인구수,"44,916","2,463","3,005","4,362","3,388","2,242","5,255","2,166","3,034","5,911","6,272","4,462","2,356"
2020년01월_여_연령구간인구수,"44,916","2,463","3,005","4,362","3,388","2,242","5,255","2,166","3,034","5,911","6,272","4,462","2,356"
2020년01월_여_0~9세,"1,983",111,82,336,117,104,218,60,92,224,193,249,197
2020년01월_여_10~19세,"2,572",119,140,234,200,179,322,117,197,358,362,222,122
2020년01월_여_20~29세,"5,090",343,329,694,305,239,619,167,276,652,646,585,235
2020년01월_여_30~39세,"4,727",249,239,825,245,188,517,137,229,615,551,587,345
2020년01월_여_40~49세,"5,590",308,353,629,423,307,644,238,361,710,691,604,322
2020년01월_여_50~59세,"7,388",382,501,590,560,362,889,330,534,996,"1,121",797,326
2020년01월_여_60~69세,"8,194",453,669,539,646,408,960,441,597,"1,060","1,289",773,359
2020년01월_여_70~79세,"6,088",331,452,309,560,318,716,458,482,858,886,439,279
2020년01월_여_80~89세,"2,814",145,202,163,281,119,325,191,225,379,467,179,138
2020년01월_여_90~99세,401,19,33,40,43,13,33,25,39,50,56,21,29
2020년01월_여_100세 이상,69,3,5,3,8,5,12,2,2,9,10,6,4
