카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년11월_계_총인구수,"101,904","11,070","4,189","3,875","3,257","2,215","3,147","1,201","4,230","5,902","4,440","3,091","29,490","9,780","4,832","6,953","4,232"
2020년11월_계_연령구간인구수,"101,904","11,070","4,189","3,875","3,257","2,215","3,147","1,201","4,230","5,902","4,440","3,091","29,490","9,780","4,832","6,953","4,232"
2020년11월_계_0~9세,"5,739",406,110,105,61,67,69,15,118,271,77,83,"2,630",737,176,564,250
2020년11월_계_10~19세,"6,685",489,142,169,93,82,92,37,156,228,127,93,"2,976",961,274,562,204
2020년11월_계_20~29세,"10,125",992,311,248,197,115,173,71,262,892,266,202,"3,543","1,241",490,715,407
2020년11월_계_30~39세,"9,450",792,297,215,183,97,172,46,231,482,247,200,"3,692","1,108",394,842,452
2020년11월_계_40~49세,"12,695","1,287",371,340,284,174,250,66,385,499,405,259,"4,778","1,482",547,"1,061",507
2020년11월_계_50~59세,"18,300","2,306",773,663,580,405,597,272,710,880,786,560,"5,246","1,693",902,"1,125",802
2020년11월_계_60~69세,"18,593","2,290","1,017",952,776,557,821,293,977,"1,139","1,100",851,"3,778","1,287",974,"1,021",760
2020년11월_계_70~79세,"12,548","1,593",726,714,639,384,589,221,853,926,846,505,"1,810",835,693,702,512
2020년11월_계_80~89세,"6,926",825,388,419,396,295,339,158,476,526,517,300,939,384,344,328,292
2020년11월_계_90~99세,801,86,51,49,48,38,39,21,62,56,66,37,93,47,37,26,45
2020년11월_계_100세 이상,42,4,3,1,0,1,6,1,0,3,3,1,5,5,1,7,1
2020년11월_남_총인구수,"51,749","5,811","2,180","1,903","1,701","1,094","1,603",600,"2,150","3,229","2,287","1,629","14,561","4,863","2,390","3,461","2,287"
2020년11월_남_연령구간인구수,"51,749","5,811","2,180","1,903","1,701","1,094","1,603",600,"2,150","3,229","2,287","1,629","14,561","4,863","2,390","3,461","2,287"
2020년11월_남_0~9세,"2,903",210,58,59,33,41,32,9,58,143,34,43,"1,321",375,87,270,130
2020년11월_남_10~19세,"3,590",287,77,81,55,43,56,20,85,122,70,43,"1,605",484,141,317,104
2020년11월_남_20~29세,"5,977",572,187,160,144,70,103,37,157,698,158,119,"1,984",674,267,391,256
2020년11월_남_30~39세,"5,160",444,187,125,102,53,107,27,130,280,151,125,"1,928",577,220,429,275
2020년11월_남_40~49세,"6,986",761,242,194,177,101,155,41,240,310,247,174,"2,374",787,316,555,312
2020년11월_남_50~59세,"9,779","1,340",418,367,354,218,335,139,395,465,450,344,"2,580",826,487,575,486
2020년11월_남_60~69세,"9,289","1,161",517,470,416,290,418,169,487,602,585,438,"1,751",653,462,486,384
2020년11월_남_70~79세,"5,608",733,353,304,287,175,275,95,397,420,409,231,746,348,298,300,237
2020년11월_남_80~89세,"2,251",279,128,135,119,98,112,57,178,174,170,103,250,131,102,122,93
2020년11월_남_90~99세,193,23,12,8,14,5,9,6,23,14,12,8,21,7,10,11,10
2020년11월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년11월_여_총인구수,"50,155","5,259","2,009","1,972","1,556","1,121","1,544",601,"2,080","2,673","2,153","1,462","14,929","4,917","2,442","3,492","1,945"
2020년11월_여_연령구간인구수,"50,155","5,259","2,009","1,972","1,556","1,121","1,544",601,"2,080","2,673","2,153","1,462","14,929","4,917","2,442","3,492","1,945"
2020년11월_여_0~9세,"2,836",196,52,46,28,26,37,6,60,128,43,40,"1,309",362,89,294,120
2020년11월_여_10~19세,"3,095",202,65,88,38,39,36,17,71,106,57,50,"1,371",477,133,245,100
2020년11월_여_20~29세,"4,148",420,124,88,53,45,70,34,105,194,108,83,"1,559",567,223,324,151
2020년11월_여_30~39세,"4,290",348,110,90,81,44,65,19,101,202,96,75,"1,764",531,174,413,177
2020년11월_여_40~49세,"5,709",526,129,146,107,73,95,25,145,189,158,85,"2,404",695,231,506,195
2020년11월_여_50~59세,"8,521",966,355,296,226,187,262,133,315,415,336,216,"2,666",867,415,550,316
2020년11월_여_60~69세,"9,304","1,129",500,482,360,267,403,124,490,537,515,413,"2,027",634,512,535,376
2020년11월_여_70~79세,"6,940",860,373,410,352,209,314,126,456,506,437,274,"1,064",487,395,402,275
2020년11월_여_80~89세,"4,675",546,260,284,277,197,227,101,298,352,347,197,689,253,242,206,199
2020년11월_여_90~99세,608,63,39,41,34,33,30,15,39,42,54,29,72,40,27,15,35
2020년11월_여_100세 이상,29,3,2,1,0,1,5,1,0,2,2,0,4,4,1,2,1
