카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년02월_계_총인구수,"41,903","8,618","1,680",850,"1,629","5,381","5,716","3,112","8,953","5,964"
2020년02월_계_연령구간인구수,"41,903","8,618","1,680",850,"1,629","5,381","5,716","3,112","8,953","5,964"
2020년02월_계_0~9세,"2,000",453,38,31,49,246,290,126,462,305
2020년02월_계_10~19세,"3,053",758,95,38,82,361,443,211,691,374
2020년02월_계_20~29세,"3,435",773,97,49,84,411,440,232,761,588
2020년02월_계_30~39세,"3,339",741,77,44,89,356,517,184,684,647
2020년02월_계_40~49세,"5,503","1,137",195,74,151,668,796,399,"1,177",906
2020년02월_계_50~59세,"8,269","1,624",373,182,370,998,"1,160",694,"1,743","1,125"
2020년02월_계_60~69세,"8,364","1,587",408,216,445,"1,162","1,142",654,"1,716","1,034"
2020년02월_계_70~79세,"5,035",918,262,136,234,714,612,359,"1,137",663
2020년02월_계_80~89세,"2,518",549,111,70,108,400,286,226,485,283
2020년02월_계_90~99세,348,72,24,10,16,60,30,26,78,32
2020년02월_계_100세 이상,39,6,0,0,1,5,0,1,19,7
2020년02월_남_총인구수,"21,472","4,388",890,436,861,"2,730","2,996","1,573","4,486","3,112"
2020년02월_남_연령구간인구수,"21,472","4,388",890,436,861,"2,730","2,996","1,573","4,486","3,112"
2020년02월_남_0~9세,"1,017",233,17,21,22,124,140,62,244,154
2020년02월_남_10~19세,"1,608",389,53,20,39,182,244,109,355,217
2020년02월_남_20~29세,"1,975",444,57,31,52,240,254,130,422,345
2020년02월_남_30~39세,"1,817",391,50,18,47,196,285,90,357,383
2020년02월_남_40~49세,"3,029",602,124,40,87,382,429,224,634,507
2020년02월_남_50~59세,"4,401",865,203,94,202,532,615,376,906,608
2020년02월_남_60~69세,"4,322",832,229,121,256,593,603,335,871,482
2020년02월_남_70~79세,"2,327",430,118,58,115,325,315,159,519,288
2020년02월_남_80~89세,882,186,36,32,39,137,103,79,156,114
2020년02월_남_90~99세,83,14,3,1,2,18,8,8,17,12
2020년02월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년02월_여_총인구수,"20,431","4,230",790,414,768,"2,651","2,720","1,539","4,467","2,852"
2020년02월_여_연령구간인구수,"20,431","4,230",790,414,768,"2,651","2,720","1,539","4,467","2,852"
2020년02월_여_0~9세,983,220,21,10,27,122,150,64,218,151
2020년02월_여_10~19세,"1,445",369,42,18,43,179,199,102,336,157
2020년02월_여_20~29세,"1,460",329,40,18,32,171,186,102,339,243
2020년02월_여_30~39세,"1,522",350,27,26,42,160,232,94,327,264
2020년02월_여_40~49세,"2,474",535,71,34,64,286,367,175,543,399
2020년02월_여_50~59세,"3,868",759,170,88,168,466,545,318,837,517
2020년02월_여_60~69세,"4,042",755,179,95,189,569,539,319,845,552
2020년02월_여_70~79세,"2,708",488,144,78,119,389,297,200,618,375
2020년02월_여_80~89세,"1,636",363,75,38,69,263,183,147,329,169
2020년02월_여_90~99세,265,58,21,9,14,42,22,18,61,20
2020년02월_여_100세 이상,28,4,0,0,1,4,0,0,14,5
