카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년02월_계_총인구수,"99,438","6,754","1,468","3,917","3,113","1,032","2,730","4,076","1,697","2,064","2,643","1,769",753,"2,049","2,861","1,265",355,"2,855","1,206",390,"2,223","2,125",855,"12,636","9,500","7,681","8,260","3,815","9,346"
2020년02월_계_연령구간인구수,"99,438","6,754","1,468","3,917","3,113","1,032","2,730","4,076","1,697","2,064","2,643","1,769",753,"2,049","2,861","1,265",355,"2,855","1,206",390,"2,223","2,125",855,"12,636","9,500","7,681","8,260","3,815","9,346"
2020년02월_계_0~9세,"5,417",297,42,112,104,31,90,79,54,63,104,55,19,73,131,37,9,105,20,12,35,59,34,997,788,541,520,218,788
2020년02월_계_10~19세,"8,010",519,67,168,164,52,130,232,74,106,161,79,37,106,163,65,13,160,50,19,101,110,39,"1,384",888,779,821,369,"1,154"
2020년02월_계_20~29세,"8,788",467,90,217,178,58,159,237,88,124,189,108,43,117,199,85,18,128,60,14,129,110,53,"1,418","1,067",779,901,335,"1,417"
2020년02월_계_30~39세,"7,900",487,79,242,143,42,161,212,87,121,123,81,38,123,186,74,15,176,37,9,115,73,36,"1,376","1,196",692,750,327,899
2020년02월_계_40~49세,"12,034",785,114,339,280,81,228,315,128,181,264,178,67,185,283,130,31,329,107,31,179,198,75,"1,832","1,414","1,131","1,218",526,"1,405"
2020년02월_계_50~59세,"17,406","1,140",241,682,553,212,452,693,327,419,539,351,170,385,551,272,70,527,193,72,343,336,162,"2,131","1,624","1,345","1,517",646,"1,453"
2020년02월_계_60~69세,"17,720","1,303",322,847,629,213,603,990,366,453,611,410,171,453,578,270,94,575,287,67,501,429,184,"1,804","1,386","1,148","1,222",632,"1,172"
2020년02월_계_70~79세,"12,720",996,298,696,566,163,485,753,298,336,383,279,114,343,429,190,61,466,268,83,452,433,145,"1,096",708,757,813,471,638
2020년02월_계_80~89세,"8,189",664,187,537,418,161,361,493,234,229,233,206,83,217,299,122,38,333,160,72,316,317,106,513,379,450,445,251,365
2020년02월_계_90~99세,"1,201",89,28,75,73,17,59,70,41,32,33,21,11,47,41,18,6,52,22,11,50,58,20,80,50,57,49,37,54
2020년02월_계_100세 이상,53,7,0,2,5,2,2,2,0,0,3,1,0,0,1,2,0,4,2,0,2,2,1,5,0,2,4,3,1
2020년02월_남_총인구수,"48,785","3,281",710,"1,897","1,506",501,"1,340","2,011",848,"1,063","1,322",899,359,"1,023","1,377",645,182,"1,351",565,201,"1,045","1,009",413,"6,182","4,765","3,657","4,032","1,896","4,705"
2020년02월_남_연령구간인구수,"48,785","3,281",710,"1,897","1,506",501,"1,340","2,011",848,"1,063","1,322",899,359,"1,023","1,377",645,182,"1,351",565,201,"1,045","1,009",413,"6,182","4,765","3,657","4,032","1,896","4,705"
2020년02월_남_0~9세,"2,801",158,26,56,59,15,53,36,24,29,48,29,9,36,72,20,5,50,8,6,15,34,16,515,405,280,273,123,401
