,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년02월_계_총인구수,"166,218","9,055","30,030","5,444","9,707","2,425","3,658","3,543","5,089","5,181","15,701","11,813","24,588","21,810","18,174"
2021년02월_계_연령구간인구수,"166,218","9,055","30,030","5,444","9,707","2,425","3,658","3,543","5,089","5,181","15,701","11,813","24,588","21,810","18,174"
2021년02월_계_0~9세,"15,309",316,"3,902",169,416,63,107,96,165,186,"1,445","1,139","2,516","2,736","2,053"
2021년02월_계_10~19세,"15,659",584,"2,566",281,479,93,186,187,310,339,"1,787",990,"2,564","2,574","2,719"
2021년02월_계_20~29세,"15,972",687,"2,300",378,915,138,281,236,358,402,"1,415","1,003","3,431","2,268","2,160"
2021년02월_계_30~39세,"22,565",689,"5,407",302,"1,137",123,212,229,277,317,"1,634","1,936","4,478","3,364","2,460"
2021년02월_계_40~49세,"26,793","1,119","5,353",546,"1,364",208,328,372,526,586,"2,612","2,011","4,305","3,892","3,571"
2021년02월_계_50~59세,"25,990","1,565","4,429",941,"1,917",343,604,643,977,851,"2,487","1,851","3,446","3,164","2,772"
2021년02월_계_60~69세,"21,366","1,816","3,249","1,233","1,755",615,851,809,"1,059","1,070","2,110","1,400","2,115","2,019","1,265"
2021년02월_계_70~79세,"13,284","1,319","1,681",858,"1,010",507,606,559,779,823,"1,324",874,"1,141","1,092",711
2021년02월_계_80~89세,"8,040",823,"1,007",627,618,288,414,350,544,531,771,528,518,618,403
2021년02월_계_90~99세,"1,168",121,130,105,91,43,67,60,89,74,108,75,73,73,59
2021년02월_계_100세 이상,72,16,6,4,5,4,2,2,5,2,8,6,1,10,1
2021년02월_남_총인구수,"88,241","4,745","16,634","2,771","5,721","1,210","1,866","1,817","2,566","2,613","7,994","6,739","13,099","11,106","9,360"
2021년02월_남_연령구간인구수,"88,241","4,745","16,634","2,771","5,721","1,210","1,866","1,817","2,566","2,613","7,994","6,739","13,099","11,106","9,360"
2021년02월_남_0~9세,"7,817",172,"2,015",84,214,41,46,48,76,91,711,560,"1,281","1,428","1,050"
2021년02월_남_10~19세,"8,228",325,"1,351",145,256,51,98,96,165,183,929,504,"1,347","1,338","1,440"
2021년02월_남_20~29세,"9,287",412,"1,327",216,626,79,171,145,200,245,812,645,"1,955","1,236","1,218"
2021년02월_남_30~39세,"12,901",423,"3,043",170,796,75,125,135,161,173,845,"1,267","2,648","1,756","1,284"
2021년02월_남_40~49세,"15,104",678,"3,289",320,937,131,183,229,314,342,"1,399","1,252","2,296","1,979","1,755"
2021년02월_남_50~59세,"14,586",896,"2,657",545,"1,218",171,331,344,539,461,"1,352","1,131","1,794","1,657","1,490"
2021년02월_남_60~69세,"10,925",877,"1,747",622,954,306,438,399,520,542,"1,060",763,"1,070",995,632
2021년02월_남_70~79세,"6,219",612,822,410,468,242,299,287,379,362,590,402,508,501,337
2021년02월_남_80~89세,"2,867",315,340,234,227,102,164,119,188,188,272,195,185,204,134
2021년02월_남_90~99세,293,33,43,25,23,11,11,13,23,25,22,20,15,10,19
2021년02월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2021년02월_여_총인구수,"77,977","4,310","13,396","2,673","3,986","1,215","1,792","1,726","2,523","2,568","7,707","5,074","11,489","10,704","8,814"
2021년02월_여_연령구간인구수,"77,977","4,310","13,396","2,673","3,986","1,215","1,792","1,726","2,523","2,568","7,707","5,074","11,489","10,704","8,814"
2021년02월_여_0~9세,"7,492",144,"1,887",85,202,22,61,48,89,95,734,579,"1,235","1,308","1,003"
2021년02월_여_10~19세,"7,431",259,"1,215",136,223,42,88,91,145,156,858,486,"1,217","1,236","1,279"
2021년02월_여_20~29세,"6,685",275,973,162,289,59,110,91,158,157,603,358,"1,476","1,032",942
2021년02월_여_30~39세,"9,664",266,"2,364",132,341,48,87,94,116,144,789,669,"1,830","1,608","1,176"
2021년02월_여_40~49세,"11,689",441,"2,064",226,427,77,145,143,212,244,"1,213",759,"2,009","1,913","1,816"
2021년02월_여_50~59세,"11,404",669,"1,772",396,699,172,273,299,438,390,"1,135",720,"1,652","1,507","1,282"
2021년02월_여_60~69세,"10,441",939,"1,502",611,801,309,413,410,539,528,"1,050",637,"1,045","1,024",633
2021년02월_여_70~79세,"7,065",707,859,448,542,265,307,272,400,461,734,472,633,591,374
2021년02월_여_80~89세,"5,173",508,667,393,391,186,250,231,356,343,499,333,333,414,269
2021년02월_여_90~99세,875,88,87,80,68,32,56,47,66,49,86,55,58,63,40
2021년02월_여_100세 이상,58,14,6,4,3,3,2,0,4,1,6,6,1,8,0
