,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년01월_계_총인구수,"16,638","7,266","2,137","1,736","1,762","1,697","2,040"
2021년01월_계_연령구간인구수,"16,638","7,266","2,137","1,736","1,762","1,697","2,040"
2021년01월_계_0~9세,728,443,72,57,41,53,62
2021년01월_계_10~19세,924,544,79,55,77,93,76
2021년01월_계_20~29세,"1,158",656,101,81,112,93,115
2021년01월_계_30~39세,"1,021",632,111,58,67,68,85
2021년01월_계_40~49세,"1,708",937,174,125,135,166,171
2021년01월_계_50~59세,"2,961","1,244",380,293,341,315,388
2021년01월_계_60~69세,"3,461","1,286",503,423,386,386,477
2021년01월_계_70~79세,"2,677",899,416,374,311,288,389
2021년01월_계_80~89세,"1,716",516,262,236,260,199,243
2021년01월_계_90~99세,255,101,36,30,30,30,28
2021년01월_계_100세 이상,29,8,3,4,2,6,6
2021년01월_남_총인구수,"8,237","3,577","1,034",878,869,854,"1,025"
2021년01월_남_연령구간인구수,"8,237","3,577","1,034",878,869,854,"1,025"
2021년01월_남_0~9세,386,245,34,30,20,32,25
2021년01월_남_10~19세,472,268,47,28,39,46,44
2021년01월_남_20~29세,678,377,59,44,68,59,71
2021년01월_남_30~39세,551,332,60,36,40,38,45
2021년01월_남_40~49세,"1,006",519,117,86,74,104,106
2021년01월_남_50~59세,"1,625",647,209,182,191,176,220
2021년01월_남_60~69세,"1,732",634,240,205,201,198,254
2021년01월_남_70~79세,"1,161",373,175,188,136,119,170
2021년01월_남_80~89세,558,161,83,71,91,69,83
2021년01월_남_90~99세,60,19,7,7,9,12,6
2021년01월_남_100세 이상,8,2,3,1,0,1,1
2021년01월_여_총인구수,"8,401","3,689","1,103",858,893,843,"1,015"
2021년01월_여_연령구간인구수,"8,401","3,689","1,103",858,893,843,"1,015"
2021년01월_여_0~9세,342,198,38,27,21,21,37
2021년01월_여_10~19세,452,276,32,27,38,47,32
2021년01월_여_20~29세,480,279,42,37,44,34,44
2021년01월_여_30~39세,470,300,51,22,27,30,40
2021년01월_여_40~49세,702,418,57,39,61,62,65
2021년01월_여_50~59세,"1,336",597,171,111,150,139,168
2021년01월_여_60~69세,"1,729",652,263,218,185,188,223
2021년01월_여_70~79세,"1,516",526,241,186,175,169,219
2021년01월_여_80~89세,"1,158",355,179,165,169,130,160
2021년01월_여_90~99세,195,82,29,23,21,18,22
2021년01월_여_100세 이상,21,6,0,3,2,5,5
